Gebied-Specialiteit;Unnamed: 1;Unnamed: 2;Totaal;Geslacht;Unnamed: 5;Vrouw;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Man;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
;;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
;België;Alle apothekers;21065.0;14990;6075;537;2088;1916;1397;1473;1521;1498;1130;836;2594;117;586;581;368;489;452;531;493;439;2019
;Vlaams Gewest;Alle apothekers;12576.0;8944;3632;373;1424;1160;831;863;877;852;669;464;1431;88;344;300;193;279;259;274;283;270;1342
;Waals Gewest;Alle apothekers;6572.0;4711;1861;138;467;561;429;493;532;532;370;292;897;25;156;184;120;159;158;209;165;124;561
;"Brussels Hoofdstedelijk
Gewest";Alle apothekers;1917.0;1335;582;26;197;195;137;117;112;114;91;80;266;4;86;97;55;51;35;48;45;45;116
;Vlaams Brabant;Alle apothekers;2688.0;1954;734;60;238;231;196;220;191;207;164;117;330;15;60;66;56;60;64;73;59;69;212
;West-Vlaanderen;Alle apothekers;2256.0;1585;671;80;242;175;143;144;165;140;120;83;293;19;46;39;22;45;33;43;49;56;319
;Oost-Vlaanderen;Alle apothekers;3231.0;2290;941;117;411;311;186;242;222;213;140;111;337;27;102;73;50;80;80;61;60;66;342
;Antwerpen;Alle apothekers;3261.0;2310;951;88;399;321;228;183;221;211;196;115;348;21;98;95;46;63;68;77;91;66;326
;Limburg;Alle apothekers;1140.0;805;335;28;134;122;78;74;78;81;49;38;123;6;38;27;19;31;14;20;24;13;143
;Waals Brabant;Alle apothekers;1142.0;848;294;22;56;97;79;97;95;114;54;65;169;1;13;24;22;27;36;28;34;17;92
;Henegouwen;Alle apothekers;1866.0;1314;552;43;131;145;117;138;156;141;123;87;233;6;55;54;38;55;43;59;55;41;146
;Luik;Alle apothekers;2139.0;1506;633;36;172;185;136;130;164;162;114;86;321;13;60;71;34;42;49;78;44;41;201
;Namen;Alle apothekers;1002.0;737;265;21;75;95;62;102;80;75;61;41;125;5;19;25;18;24;17;30;24;21;82
;Luxemburg;Alle apothekers;423.0;306;117;16;33;39;35;26;37;40;18;13;49;0;9;10;8;11;13;14;8;4;40
;"Brussels Hoofdstedelijk
Gewest";Alle apothekers;1917.0;1335;582;26;197;195;137;117;112;114;91;80;266;4;86;97;55;51;35;48;45;45;116
;België;Geen FOD-erkenning;19875.0;13972;5903;509;1894;1676;1248;1359;1430;1421;1074;796;2565;115;560;538;348;472;441;512;482;431;2004
