Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Man;Unnamed: 12;Unnamed: 13;Unnamed: 14
;;;Vrouw;Man;25-29;30-34;35-39;40-44;45-49;55-59;30-34;35-39;40-44;45-49
België;Alle specialiteiten;197.0;105;92;1;82;7;10;3;2;78;7;5;2
;Functionele en professionele revalidatie van gehandicapten;28.0;15;13;0;9;1;3;2;0;9;2;2;0
;Mond-, kaak- en aangezichtschirurgie;18.0;6;12;0;6;0;0;0;0;12;0;0;0
;Intensieve zorgen;66.0;30;36;0;26;1;2;0;1;33;2;0;1
;Pediatrische neurologie;12.0;12;0;0;12;0;0;0;0;0;0;0;0
;Nefrologie;10.0;5;5;0;5;0;0;0;0;5;0;0;0
;Urgentiegeneeskunde;23.0;8;15;1;2;1;3;0;1;8;3;3;1
;Endocrino-diabetologie;10.0;7;3;0;6;0;0;1;0;3;0;0;0
;Neonatologie;6.0;6;0;0;5;1;0;0;0;0;0;0;0
;Oncologie;13.0;10;3;0;7;2;1;0;0;3;0;0;0
;Pediatrische hematologie en oncologie;5.0;4;1;0;2;1;1;0;0;1;0;0;0
;Klinische hematologie;6.0;2;4;0;2;0;0;0;0;4;0;0;0
Vlaams Gewest;Alle specialiteiten;139.0;73;66;1;58;5;5;2;2;61;3;1;1
;Functionele en professionele revalidatie van gehandicapten;20.0;10;10;0;7;1;1;1;0;9;1;0;0
;Mond-, kaak- en aangezichtschirurgie;13.0;5;8;0;5;0;0;0;0;8;0;0;0
;Intensieve zorgen;48.0;22;26;0;21;0;0;0;1;25;0;0;1
;Pediatrische neurologie;6.0;6;0;0;6;0;0;0;0;0;0;0;0
;Nefrologie;3.0;2;1;0;2;0;0;0;0;1;0;0;0
;Urgentiegeneeskunde;19.0;8;11;1;2;1;3;0;1;8;2;1;0
;Endocrino-diabetologie;6.0;4;2;0;3;0;0;1;0;2;0;0;0
;Neonatologie;5.0;5;0;0;4;1;0;0;0;0;0;0;0
;Oncologie;11.0;8;3;0;6;1;1;0;0;3;0;0;0
;Pediatrische hematologie en oncologie;3.0;2;1;0;1;1;0;0;0;1;0;0;0
;Klinische hematologie;5.0;1;4;0;1;0;0;0;0;4;0;0;0
Waals Gewest;Alle specialiteiten;36.0;16;20;0;12;1;3;0;0;14;2;3;1
;Functionele en professionele revalidatie van gehandicapten;3.0;1;2;0;0;0;1;0;0;0;1;1;0
;Mond-, kaak- en aangezichtschirurgie;3.0;0;3;0;0;0;0;0;0;3;0;0;0
;Intensieve zorgen;11.0;4;7;0;2;1;1;0;0;7;0;0;0
;Pediatrische neurologie;4.0;4;0;0;4;0;0;0;0;0;0;0;0
;Nefrologie;5.0;2;3;0;2;0;0;0;0;3;0;0;0
;Urgentiegeneeskunde;4.0;0;4;0;0;0;0;0;0;0;1;2;1
;Endocrino-diabetologie;3.0;2;1;0;2;0;0;0;0;1;0;0;0
;Pediatrische hematologie en oncologie;2.0;2;0;0;1;0;1;0;0;0;0;0;0
;Klinische hematologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;22.0;16;6;0;12;1;2;1;0;3;2;1;0
;Functionele en professionele revalidatie van gehandicapten;5.0;4;1;0;2;0;1;1;0;0;0;1;0
;Mond-, kaak- en aangezichtschirurgie;2.0;1;1;0;1;0;0;0;0;1;0;0;0
;Intensieve zorgen;7.0;4;3;0;3;0;1;0;0;1;2;0;0
;Pediatrische neurologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0
;Nefrologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0
;Endocrino-diabetologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Neonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Oncologie;2.0;2;0;0;1;1;0;0;0;0;0;0;0
Vlaams Brabant;Alle specialiteiten;46.0;26;20;0;19;2;2;1;2;19;0;0;1
;Functionele en professionele revalidatie van gehandicapten;5.0;5;0;0;4;0;1;0;0;0;0;0;0
;Mond-, kaak- en aangezichtschirurgie;2.0;0;2;0;0;0;0;0;0;2;0;0;0
;Intensieve zorgen;20.0;9;11;0;8;0;0;0;1;10;0;0;1
;Pediatrische neurologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Nefrologie;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Urgentiegeneeskunde;5.0;3;2;0;1;0;1;0;1;2;0;0;0
;Endocrino-diabetologie;2.0;2;0;0;1;0;0;1;0;0;0;0;0
;Neonatologie;2.0;2;0;0;1;1;0;0;0;0;0;0;0
;Oncologie;4.0;2;2;0;2;0;0;0;0;2;0;0;0
;Pediatrische hematologie en oncologie;2.0;2;0;0;1;1;0;0;0;0;0;0;0
;Klinische hematologie;2.0;0;2;0;0;0;0;0;0;2;0;0;0
West-Vlaanderen;Alle specialiteiten;8.0;5;3;1;4;0;0;0;0;3;0;0;0
;Functionele en professionele revalidatie van gehandicapten;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Mond-, kaak- en aangezichtschirurgie;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Intensieve zorgen;2.0;1;1;0;1;0;0;0;0;1;0;0;0
;Pediatrische neurologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Nefrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Oncologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Alle specialiteiten;32.0;16;16;0;13;2;0;1;0;15;1;0;0
;Functionele en professionele revalidatie van gehandicapten;5.0;3;2;0;1;1;0;1;0;2;0;0;0
;Mond-, kaak- en aangezichtschirurgie;4.0;1;3;0;1;0;0;0;0;3;0;0;0
;Intensieve zorgen;9.0;3;6;0;3;0;0;0;0;6;0;0;0
;Pediatrische neurologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;2.0;0;2;0;0;0;0;0;0;1;1;0;0
;Endocrino-diabetologie;3.0;2;1;0;2;0;0;0;0;1;0;0;0
;Neonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Oncologie;3.0;3;0;0;2;1;0;0;0;0;0;0;0
;Klinische hematologie;3.0;1;2;0;1;0;0;0;0;2;0;0;0
Antwerpen;Alle specialiteiten;39.0;19;20;0;17;1;1;0;0;17;2;1;0
;Functionele en professionele revalidatie van gehandicapten;6.0;1;5;0;1;0;0;0;0;4;1;0;0
;Mond-, kaak- en aangezichtschirurgie;4.0;3;1;0;3;0;0;0;0;1;0;0;0
;Intensieve zorgen;13.0;7;6;0;7;0;0;0;0;6;0;0;0
;Pediatrische neurologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0
;Nefrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;7.0;2;5;0;0;1;1;0;0;3;1;1;0
;Endocrino-diabetologie;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Neonatologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0
;Oncologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0
;Pediatrische hematologie en oncologie;1.0;0;1;0;0;0;0;0;0;1;0;0;0
Limburg;Alle specialiteiten;14.0;7;7;0;5;0;2;0;0;7;0;0;0
;Functionele en professionele revalidatie van gehandicapten;3.0;1;2;0;1;0;0;0;0;2;0;0;0
;Mond-, kaak- en aangezichtschirurgie;2.0;1;1;0;1;0;0;0;0;1;0;0;0
;Intensieve zorgen;4.0;2;2;0;2;0;0;0;0;2;0;0;0
;Urgentiegeneeskunde;4.0;2;2;0;1;0;1;0;0;2;0;0;0
;Oncologie;1.0;1;0;0;0;0;1;0;0;0;0;0;0
Waals Brabant;Alle specialiteiten;9.0;3;6;0;2;0;1;0;0;5;0;0;1
;Mond-, kaak- en aangezichtschirurgie;2.0;0;2;0;0;0;0;0;0;2;0;0;0
;Intensieve zorgen;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Pediatrische neurologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Nefrologie;2.0;0;2;0;0;0;0;0;0;2;0;0;0
;Urgentiegeneeskunde;1.0;0;1;0;0;0;0;0;0;0;0;0;1
;Pediatrische hematologie en oncologie;1.0;1;0;0;0;0;1;0;0;0;0;0;0
;Klinische hematologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
Henegouwen;Alle specialiteiten;3.0;0;3;0;0;0;0;0;0;2;0;1;0
;Nefrologie;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Urgentiegeneeskunde;1.0;0;1;0;0;0;0;0;0;0;0;1;0
;Endocrino-diabetologie;1.0;0;1;0;0;0;0;0;0;1;0;0;0
Luik;Alle specialiteiten;17.0;8;9;0;5;1;2;0;0;6;1;2;0
;Functionele en professionele revalidatie van gehandicapten;2.0;1;1;0;0;0;1;0;0;0;0;1;0
;Intensieve zorgen;9.0;3;6;0;1;1;1;0;0;6;0;0;0
;Pediatrische neurologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Nefrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;2.0;0;2;0;0;0;0;0;0;0;1;1;0
;Endocrino-diabetologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0
Namen;Alle specialiteiten;5.0;4;1;0;4;0;0;0;0;1;0;0;0
;Mond-, kaak- en aangezichtschirurgie;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Pediatrische neurologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0
;Nefrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Pediatrische hematologie en oncologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
Luxemburg;Alle specialiteiten;2.0;1;1;0;1;0;0;0;0;0;1;0;0
;Functionele en professionele revalidatie van gehandicapten;1.0;0;1;0;0;0;0;0;0;0;1;0;0
;Intensieve zorgen;1.0;1;0;0;1;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;22.0;16;6;0;12;1;2;1;0;3;2;1;0
;Functionele en professionele revalidatie van gehandicapten;5.0;4;1;0;2;0;1;1;0;0;0;1;0
;Mond-, kaak- en aangezichtschirurgie;2.0;1;1;0;1;0;0;0;0;1;0;0;0
;Intensieve zorgen;7.0;4;3;0;3;0;1;0;0;1;2;0;0
;Pediatrische neurologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0
;Nefrologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0
;Endocrino-diabetologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Neonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Oncologie;2.0;2;0;0;1;1;0;0;0;0;0;0;0
