Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Man;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
België;Alle specialiteiten;9846.0;4907;4939;40;489;544;358;408;503;475;661;755;674;9;247;304;211;252;228;287;780;1101;1520
;Algemeen tandarts;9109.0;4430;4679;40;462;478;309;360;449;399;598;709;626;9;232;267;188;225;205;273;734;1061;1485
;Parodontologie;197.0;107;90;0;6;20;16;16;14;22;9;3;1;0;10;17;11;15;8;9;12;3;5
;Orthodontie;540.0;370;170;0;21;46;33;32;40;54;54;43;47;0;5;20;12;12;15;5;34;37;30
Vlaams Gewest;Alle specialiteiten;5752.0;2890;2862;26;261;320;201;238;342;272;421;471;338;6;125;155;95;135;129;135;454;707;921
;Algemeen tandarts;5288.0;2584;2704;26;246;273;173;210;308;223;378;435;312;6;114;136;79;119;117;126;428;680;899
;Parodontologie;144.0;82;62;0;5;16;8;11;13;18;7;3;1;0;8;12;9;8;6;5;8;2;4
;Orthodontie;320.0;224;96;0;10;31;20;17;21;31;36;33;25;0;3;7;7;8;6;4;18;25;18
Waals Gewest;Alle specialiteiten;2858.0;1407;1451;12;135;132;109;117;120;141;182;225;234;1;61;70;68;73;67;97;240;308;466
;Algemeen tandarts;2674.0;1284;1390;12;126;123;93;104;104;122;168;217;215;1;61;62;64;68;62;93;226;296;457
;Parodontologie;34.0;18;16;0;1;2;5;4;1;4;1;0;0;0;0;3;2;3;2;3;2;1;0
;Orthodontie;150.0;105;45;0;8;7;11;9;15;15;13;8;19;0;0;5;2;2;3;1;12;11;9
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;1236.0;610;626;2;93;92;48;53;41;62;58;59;102;2;61;79;48;44;32;55;86;86;133
;Algemeen tandarts;1147.0;562;585;2;90;82;43;46;37;54;52;57;99;2;57;69;45;38;26;54;80;85;129
;Parodontologie;19.0;7;12;0;0;2;3;1;0;0;1;0;0;0;2;2;0;4;0;1;2;0;1
;Orthodontie;70.0;41;29;0;3;8;2;6;4;8;5;2;3;0;2;8;3;2;6;0;4;1;3
Vlaams Brabant;Alle specialiteiten;1292.0;721;571;5;47;62;56;61;95;87;111;117;80;2;24;34;25;31;39;30;108;129;149
;Algemeen tandarts;1169.0;638;531;5;44;55;50;53;82;72;100;105;72;2;22;29;23;25;35;28;103;122;142
;Parodontologie;39.0;20;19;0;0;2;2;0;6;5;2;3;0;0;2;4;1;3;3;1;2;1;2
