territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_45-49;femme_55-59;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54
Belgique;Toutes les spécialités;315;197;118;91;83;15;6;1;1;31;66;14;2;2;1;2
Belgique;Dentisterie générale;241;149;92;78;51;13;5;1;1;24;52;10;1;2;1;2
Belgique;Parodontologie;25;11;14;4;7;0;0;0;0;4;8;2;0;0;0;0
Belgique;Orthodontie;49;37;12;9;25;2;1;0;0;3;6;2;1;0;0;0
Région flamande;Toutes les spécialités;138;93;45;56;30;4;2;0;1;17;21;5;0;0;0;2
Région flamande;Dentisterie générale;97;67;30;47;14;3;2;0;1;12;13;3;0;0;0;2
Région flamande;Parodontologie;16;5;11;3;2;0;0;0;0;4;5;2;0;0;0;0
Région flamande;Orthodontie;25;21;4;6;14;1;0;0;0;1;3;0;0;0;0;0
Région wallonne;Toutes les spécialités;90;58;32;27;25;3;2;1;0;9;19;3;0;0;1;0
Région wallonne;Dentisterie générale;72;45;27;23;16;3;2;1;0;7;17;2;0;0;1;0
Région wallonne;Parodontologie;7;5;2;1;4;0;0;0;0;0;2;0;0;0;0;0
Région wallonne;Orthodontie;11;8;3;3;5;0;0;0;0;2;0;1;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;87;46;41;8;28;8;2;0;0;5;26;6;2;2;0;0
Région de Bruxelles Capitale;Dentisterie générale;72;37;35;8;21;7;1;0;0;5;22;5;1;2;0;0
Région de Bruxelles Capitale;Parodontologie;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Orthodontie;13;8;5;0;6;1;1;0;0;0;3;1;1;0;0;0
Brabant flamand;Toutes les spécialités;37;23;14;9;11;2;1;0;0;5;5;3;0;0;0;1
Brabant flamand;Dentisterie générale;24;18;6;9;6;2;1;0;0;2;2;1;0;0;0;1
Brabant flamand;Parodontologie;8;1;7;0;1;0;0;0;0;2;3;2;0;0;0;0
Brabant flamand;Orthodontie;5;4;1;0;4;0;0;0;0;1;0;0;0;0;0;0
Flandre occidentale;Toutes les spécialités;25;20;5;14;6;0;0;0;0;0;4;1;0;0;0;0
Flandre occidentale;Dentisterie générale;17;12;5;10;2;0;0;0;0;0;4;1;0;0;0;0
Flandre occidentale;Parodontologie;3;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Orthodontie;5;5;0;2;3;0;0;0;0;0;0;0;0;0;0;0
Flandre orientale;Toutes les spécialités;41;25;16;15;8;2;0;0;0;7;8;1;0;0;0;0
Flandre orientale;Dentisterie générale;27;18;9;13;4;1;0;0;0;5;3;1;0;0;0;0
Flandre orientale;Parodontologie;5;1;4;1;0;0;0;0;0;2;2;0;0;0;0;0
Flandre orientale;Orthodontie;9;6;3;1;4;1;0;0;0;0;3;0;0;0;0;0
Anvers;Toutes les spécialités;27;21;6;14;5;0;1;0;1;3;2;0;0;0;0;1
Anvers;Dentisterie générale;22;16;6;12;2;0;1;0;1;3;2;0;0;0;0;1
Anvers;Orthodontie;5;5;0;2;3;0;0;0;0;0;0;0;0;0;0;0
Limbourg;Toutes les spécialités;8;4;4;4;0;0;0;0;0;2;2;0;0;0;0;0
Limbourg;Dentisterie générale;7;3;4;3;0;0;0;0;0;2;2;0;0;0;0;0
Limbourg;Orthodontie;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Brabant Wallon;Toutes les spécialités;8;8;0;6;1;1;0;0;0;0;0;0;0;0;0;0
Brabant Wallon;Dentisterie générale;8;8;0;6;1;1;0;0;0;0;0;0;0;0;0;0
Hainaut;Toutes les spécialités;17;13;4;2;7;2;2;0;0;0;2;1;0;0;1;0
Hainaut;Dentisterie générale;14;10;4;1;5;2;2;0;0;0;2;1;0;0;1;0
Hainaut;Parodontologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Hainaut;Orthodontie;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Liège;Toutes les spécialités;49;29;20;15;13;0;0;1;0;6;13;1;0;0;0;0
Liège;Dentisterie générale;37;22;15;13;8;0;0;1;0;4;11;0;0;0;0;0
Liège;Parodontologie;4;2;2;1;1;0;0;0;0;0;2;0;0;0;0;0
Liège;Orthodontie;8;5;3;1;4;0;0;0;0;2;0;1;0;0;0;0
Namur;Toutes les spécialités;11;7;4;3;4;0;0;0;0;2;2;0;0;0;0;0
Namur;Dentisterie générale;8;4;4;2;2;0;0;0;0;2;2;0;0;0;0;0
Namur;Parodontologie;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Namur;Orthodontie;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Luxembourg;Toutes les spécialités;5;1;4;1;0;0;0;0;0;1;2;1;0;0;0;0
Luxembourg;Dentisterie générale;5;1;4;1;0;0;0;0;0;1;2;1;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;87;46;41;8;28;8;2;0;0;5;26;6;2;2;0;0
Région de Bruxelles Capitale;Dentisterie générale;72;37;35;8;21;7;1;0;0;5;22;5;1;2;0;0
Région de Bruxelles Capitale;Parodontologie;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Orthodontie;13;8;5;0;6;1;1;0;0;0;3;1;1;0;0;0
