gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_min20;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_min20;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);181121;157343;23778;1;6447;12867;13474;17011;17092;18098;21503;18970;12578;19302;0;953;2471;2349;2999;2864;2718;3181;3123;1581;1539
Gewest Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);117896;101746;16150;1;4524;8008;8431;10755;10931;11996;14419;12359;8061;12261;0;668;1442;1358;1766;1713;1930;2367;2368;1269;1269
Gewest Wallonië;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);53866;47512;6354;0;1605;3858;4234;5414;5393;5362;6193;5712;3955;5786;0;234;802;765;1011;998;667;701;666;269;241
Gewest Brussels hoofdstedelijk gewest;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);9359;8085;1274;0;318;1001;809;842;768;740;891;899;562;1255;0;51;227;226;222;153;121;113;89;43;29
Prov Vlaams Brabant;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);19419;16604;2815;0;626;1170;1145;1625;1742;2011;2605;2338;1435;1907;0;96;227;220;242;276;309;456;499;254;236
Prov West-Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);25751;22409;3342;1;1141;1976;2061;2378;2331;2368;2996;2658;1805;2694;0;156;320;290;395;341;382;467;467;272;252
Prov Oost-Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);27771;23979;3792;0;1078;1716;1951;2533;2682;2955;3369;2814;1890;2991;0;178;319;310;433;424;471;538;585;298;236
Prov Antwerpen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);27965;24152;3813;0;1017;1847;1897;2420;2534;2937;3603;3012;1819;3066;0;127;328;316;405;414;462;598;575;286;302
Prov Limburg;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);16990;14602;2388;0;662;1299;1377;1799;1642;1725;1846;1537;1112;1603;0;111;248;222;291;258;306;308;242;159;243
Prov Waals Brabant;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);5392;4911;481;0;132;314;316;476;516;545;732;708;452;720;0;11;70;61;66;68;73;51;47;18;16
Prov Henegouwen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);19653;17275;2378;0;557;1374;1454;1969;2065;2059;2384;2045;1419;1949;0;107;276;268;392;346;251;285;272;103;78
