Gebied-Specialiteit;Unnamed: 1;Unnamed: 2;Totaal;Geslacht;Unnamed: 5;Vrouw;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Man;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
;;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
;België;Alle apothekers;22508.0;16255;6253;581;2083;2224;1592;1458;1484;1504;1449;926;2954;118;537;656;480;420;482;486;520;477;2077
;Vlaams Gewest;Alle apothekers;13518.0;9795;3723;384;1353;1475;953;885;862;829;872;518;1664;79;307;372;248;223;278;253;298;284;1381
;Waals Gewest;Alle apothekers;6966.0;5059;1907;171;496;547;502;455;511;568;467;331;1011;29;144;184;150;151;162;189;178;143;577
;"Brussels Hoofdstedelijk
Gewest";Alle apothekers;2024.0;1401;623;26;234;202;137;118;111;107;110;77;279;10;86;100;82;46;42;44;44;50;119
;Vlaams Brabant;Alle apothekers;2874.0;2127;747;57;251;256;212;225;220;195;196;133;382;13;47;70;73;52;66;62;69;70;225
;West-Vlaanderen;Alle apothekers;2405.0;1727;678;89;232;228;159;137;152;143;154;94;339;9;41;46;27;33;50;34;45;51;342
;Oost-Vlaanderen;Alle apothekers;3518.0;2532;986;120;402;414;225;223;224;214;203;109;398;36;101;94;62;58;72;82;67;64;350
;Antwerpen;Alle apothekers;3525.0;2543;982;86;368;430;261;226;187;205;237;147;396;13;91;128;63;55;71;55;93;82;331
;Limburg;Alle apothekers;1196.0;866;330;32;100;147;96;74;79;72;82;35;149;8;27;34;23;25;19;20;24;17;133
;Waals Brabant;Alle apothekers;1236.0;910;326;12;67;85;94;80;109;112;78;69;204;1;18;30;23;25;32;43;30;21;103
;Henegouwen;Alle apothekers;1969.0;1422;547;46;141;155;133;121;153;158;136;109;270;11;36;54;48;50;49;46;53;45;155
;Luik;Alle apothekers;2225.0;1601;624;65;170;188;151;145;127;183;147;90;335;9;52;66;53;37;48;66;51;53;189
;Namen;Alle apothekers;1079.0;792;287;32;72;83;86;78;87;79;76;52;147;6;30;24;18;29;18;22;32;18;90
;Luxemburg;Alle apothekers;457.0;334;123;16;46;36;38;31;35;36;30;11;55;2;8;10;8;10;15;12;12;6;40
;"Brussels Hoofdstedelijk
Gewest";Alle apothekers;2024.0;1401;623;26;234;202;137;118;111;107;110;77;279;10;86;100;82;46;42;44;44;50;119
;België;Geen FOD-erkenning;21404.0;15299;6105;581;1943;2007;1410;1320;1398;1416;1384;895;2945;118;521;620;448;407;467;476;505;467;2076
;Vlaams Gewest;Geen FOD-erkenning;12839.0;9194;3645;384;1266;1331;840;792;818;775;826;503;1659;79;297;357;231;215;266;251;290;279;1380
;Waals Gewest;Geen FOD-erkenning;6614.0;4761;1853;171;452;489;443;416;479;539;450;315;1007;29;139;166;138;150;159;182;173;140;577
;"Brussels Hoofdstedelijk
Gewest";Geen FOD-erkenning;1951.0;1344;607;26;225;187;127;112;101;102;108;77;279;10;85;97;79;42;42;43;42;48;119
;Vlaams Brabant;Geen FOD-erkenning;2737.0;2009;728;57;235;225;193;201;211;188;189;129;381;13;47;63;69;47;65;61;69;69;225
;West-Vlaanderen;Geen FOD-erkenning;2297.0;1633;664;89;212;210;138;128;142;136;147;93;338;9;39;44;23;33;48;34;43;50;341
;Oost-Vlaanderen;Geen FOD-erkenning;3322.0;2356;966;120;379;369;185;195;210;201;192;107;398;36;99;91;57;55;67;82;66;63;350
;Antwerpen;Geen FOD-erkenning;3347.0;2384;963;86;348;393;236;199;180;186;222;140;394;13;88;125;60;55;68;55;88;80;331
;Limburg;Geen FOD-erkenning;1136.0;812;324;32;92;134;88;69;75;64;76;34;148;8;24;34;22;25;18;19;24;17;133
;Waals Brabant;Geen FOD-erkenning;1179.0;858;321;12;64;77;81;72;101;107;76;66;202;1;18;27;22;25;32;43;30;20;103
;Henegouwen;Geen FOD-erkenning;1868.0;1334;534;46;126;137;120;108;143;154;128;103;269;11;35;48;48;49;48;45;51;44;155
;Luik;Geen FOD-erkenning;2115.0;1517;598;65;158;170;135;137;117;171;143;87;334;9;49;59;44;37;47;62;49;53;189
;Namen;Geen FOD-erkenning;1016.0;735;281;32;64;72;71;71;84;72;74;48;147;6;29;23;17;29;17;21;32;17;90
;Luxemburg;Geen FOD-erkenning;436.0;317;119;16;40;33;36;28;34;35;29;11;55;2;8;9;7;10;15;11;11;6;40
;"Brussels Hoofdstedelijk
Gewest";Geen FOD-erkenning;1951.0;1344;607;26;225;187;127;112;101;102;108;77;279;10;85;97;79;42;42;43;42;48;119
;België;Ziekenhuisapothekers;1104.0;956;148;0;140;217;182;138;86;88;65;31;9;0;16;36;32;13;15;10;15;10;1
;Vlaams Gewest;Ziekenhuisapothekers;679.0;601;78;0;87;144;113;93;44;54;46;15;5;0;10;15;17;8;12;2;8;5;1
;Waals Gewest;Ziekenhuisapothekers;352.0;298;54;0;44;58;59;39;32;29;17;16;4;0;5;18;12;1;3;7;5;3;0
;"Brussels Hoofdstedelijk
Gewest";Ziekenhuisapothekers;73.0;57;16;0;9;15;10;6;10;5;2;0;0;0;1;3;3;4;0;1;2;2;0
;Vlaams Brabant;Ziekenhuisapothekers;137.0;118;19;0;16;31;19;24;9;7;7;4;1;0;0;7;4;5;1;1;0;1;0
