territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Tous les professionnels de la santé mentale;11824;10152;1672;444;2397;2046;1643;1395;903;567;414;249;94;26;184;227;220;242;189;159;194;139;92
Région flamande;Tous les professionnels de la santé mentale;7942;6890;1052;395;1733;1450;1112;913;519;359;245;128;36;22;128;141;133;156;113;91;127;85;56
Région wallonne;Tous les professionnels de la santé mentale;2842;2396;446;38;462;424;402;392;296;147;120;81;34;4;36;63;67;63;54;48;50;36;25
Région de Bruxelles Capitale;Tous les professionnels de la santé mentale;1040;866;174;11;202;172;129;90;88;61;49;40;24;0;20;23;20;23;22;20;17;18;11
Brabant flamand;Tous les professionnels de la santé mentale;1756;1534;222;74;375;266;225;227;142;99;72;40;14;1;22;28;26;34;28;19;32;19;13
Flandre occidentale;Tous les professionnels de la santé mentale;1058;908;150;67;234;189;154;112;61;44;30;13;4;6;16;18;16;26;13;9;23;13;10
Flandre orientale;Tous les professionnels de la santé mentale;2233;1897;336;127;461;369;300;272;150;104;66;39;9;6;39;46;45;50;46;30;32;28;14
Anvers;Tous les professionnels de la santé mentale;1972;1718;254;86;436;427;275;213;111;87;52;23;8;3;40;33;38;36;17;27;29;19;12
Limbourg;Tous les professionnels de la santé mentale;923;833;90;41;227;199;158;89;55;25;25;13;1;6;11;16;8;10;9;6;11;6;7
Brabant Wallon;Tous les professionnels de la santé mentale;590;505;85;3;77;85;84;68;91;35;27;28;7;2;3;14;12;13;13;10;7;6;5
Hainaut;Tous les professionnels de la santé mentale;690;578;112;15;110;103;83;103;71;45;25;14;9;0;10;13;19;16;15;8;12;6;13
Liège;Tous les professionnels de la santé mentale;1003;845;158;13;189;146;155;135;76;48;46;27;10;1;15;24;24;22;16;18;20;15;3
Namur;Tous les professionnels de la santé mentale;404;336;68;6;55;71;62;61;34;16;14;9;8;1;5;10;10;8;6;10;8;7;3
Luxembourg;Tous les professionnels de la santé mentale;155;132;23;1;31;19;18;25;24;3;8;3;0;0;3;2;2;4;4;2;3;2;1
Région de Bruxelles Capitale;Tous les professionnels de la santé mentale;1040;866;174;11;202;172;129;90;88;61;49;40;24;0;20;23;20;23;22;20;17;18;11
Belgique;Psychologue clinicien;10785;9197;1588;367;2135;1835;1512;1272;841;530;387;227;91;19;172;214;213;228;184;153;185;133;87
Région flamande;Psychologue clinicien;6922;5954;968;320;1479;1240;983;792;459;323;219;106;33;15;116;128;126;142;108;85;118;79;51
Région wallonne;Psychologue clinicien;2833;2387;446;36;459;424;402;392;294;146;119;81;34;4;36;63;67;63;54;48;50;36;25
Région de Bruxelles Capitale;Psychologue clinicien;1030;856;174;11;197;171;127;88;88;61;49;40;24;0;20;23;20;23;22;20;17;18;11
Brabant flamand;Psychologue clinicien;1554;1348;206;68;329;224;202;199;130;85;63;34;14;0;20;26;24;32;27;19;29;17;12
Flandre occidentale;Psychologue clinicien;900;765;135;52;196;157;135;91;53;40;27;11;3;4;14;16;15;23;12;9;21;13;8
Flandre orientale;Psychologue clinicien;1955;1649;306;98;398;306;269;244;131;98;61;36;8;3;36;39;43;45;43;28;30;27;12
Anvers;Psychologue clinicien;1737;1499;238;69;370;384;240;184;99;78;49;19;7;2;37;32;37;32;17;25;28;16;12
Limbourg;Psychologue clinicien;776;693;83;33;186;169;137;74;46;22;19;6;1;6;9;15;7;10;9;4;10;6;7
Brabant Wallon;Psychologue clinicien;586;501;85;3;76;85;84;68;90;34;26;28;7;2;3;14;12;13;13;10;7;6;5
Hainaut;Psychologue clinicien;687;575;112;13;109;103;83;103;71;45;25;14;9;0;10;13;19;16;15;8;12;6;13
Liège;Psychologue clinicien;1001;843;158;13;188;146;155;135;75;48;46;27;10;1;15;24;24;22;16;18;20;15;3
Namur;Psychologue clinicien;404;336;68;6;55;71;62;61;34;16;14;9;8;1;5;10;10;8;6;10;8;7;3
Luxembourg;Psychologue clinicien;155;132;23;1;31;19;18;25;24;3;8;3;0;0;3;2;2;4;4;2;3;2;1
Région de Bruxelles Capitale;Psychologue clinicien;1030;856;174;11;197;171;127;88;88;61;49;40;24;0;20;23;20;23;22;20;17;18;11
Belgique;Orthopédagogue clinicien;1039;955;84;77;262;211;131;123;62;37;27;22;3;7;12;13;7;14;5;6;9;6;5
Région flamande;Orthopédagogue clinicien;1020;936;84;75;254;210;129;121;60;36;26;22;3;7;12;13;7;14;5;6;9;6;5
Région wallonne;Orthopédagogue clinicien;9;9;0;2;3;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
