gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle apothekers;21986;15825;6161;590;2032;2152;1507;1457;1493;1516;1341;871;2866;113;522;651;432;439;473;495;511;480;2045
Vlaams Gewest;Alle apothekers;13208;9526;3682;396;1361;1383;911;866;858;832;815;493;1611;81;310;351;234;247;272;250;298;280;1359
Waals Gewest;Alle apothekers;6787;4910;1877;159;463;556;459;472;521;578;420;303;979;27;138;194;128;146;159;198;169;145;573
Brussels Hoofdstedelijk Gewest;Alle apothekers;1991;1389;602;35;208;213;137;119;114;106;106;75;276;5;74;106;70;46;42;47;44;55;113
Vlaams Brabant;Alle apothekers;2823;2081;742;65;241;254;216;219;206;193;192;126;369;11;59;60;71;54;73;61;67;74;212
West-Vlaanderen;Alle apothekers;2352;1686;666;86;238;203;159;133;162;140;144;90;331;13;35;44;25;38;41;37;47;52;334
Oost-Vlaanderen;Alle apothekers;3426;2449;977;107;410;400;196;227;212;214;194;106;383;34;97;97;59;60;80;73;65;63;349
Antwerpen;Alle apothekers;3435;2463;972;107;367;384;253;211;199;208;215;138;381;19;90;117;58;65;63;60;94;77;329
Limburg;Alle apothekers;1172;847;325;31;105;142;87;76;79;77;70;33;147;4;29;33;21;30;15;19;25;14;135
Waals Brabant;Alle apothekers;1204;890;314;14;66;85;90;88;99;116;69;65;198;0;15;31;21;26;32;35;31;23;100
Henegouwen;Alle apothekers;1919;1375;544;47;124;159;119;125;164;157;125;101;254;6;40;58;37;51;48;51;49;49;155
Luik;Alle apothekers;2182;1558;624;55;168;178;148;133;146;186;128;88;328;12;54;70;41;39;47;71;49;50;191
Namen;Alle apothekers;1044;766;278;23;69;93;72;92;81;77;75;39;145;8;22;26;20;23;18;25;32;17;87
Luxemburg;Alle apothekers;438;321;117;20;36;41;30;34;31;42;23;10;54;1;7;9;9;7;14;16;8;6;40
Brussels Hoofdstedelijk Gewest;Alle apothekers;1991;1389;602;35;208;213;137;119;114;106;106;75;276;5;74;106;70;46;42;47;44;55;113
België;Geen FOD-erkenning;20925;14905;6020;590;1902;1923;1334;1336;1402;1436;1273;849;2860;113;507;612;406;425;458;488;495;471;2045
Vlaams Gewest;Geen FOD-erkenning;12564;8953;3611;396;1282;1229;808;787;806;786;772;481;1606;81;301;335;220;239;262;249;290;275;1359
Waals Gewest;Geen FOD-erkenning;6447;4621;1826;159;424;492;403;437;489;549;397;293;978;27;133;176;119;145;155;192;164;142;573
