gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle specialiteiten;29560;12691;16869;35;1681;1713;1906;1918;1543;1255;949;1691;13;1063;1070;1427;1627;1587;2116;2079;5887
België;Geriatrie;368;238;130;0;47;34;41;49;27;18;11;11;0;6;11;9;11;10;15;26;42
België;Urgentiegeneeskunde;254;123;131;0;45;49;12;8;6;3;0;0;0;39;35;20;18;9;5;4;1
België;Gerechtelijke geneeskunde;16;5;11;0;3;0;1;1;0;0;0;0;0;0;4;3;0;0;1;1;2
België;Beheer van gezondheidsgegevens;58;22;36;0;0;0;0;1;6;8;6;1;0;0;0;1;4;5;8;12;6
België;Anesthesie-reanimatie;2723;1127;1596;3;173;155;155;177;137;97;65;165;2;177;146;183;198;196;201;176;317
België;Heelkunde;1801;386;1415;0;63;68;64;66;35;27;33;30;0;69;102;120;135;135;159;169;526
België;Neurochirurgie;250;32;218;0;8;7;1;7;5;3;1;0;0;19;24;29;32;20;19;25;50
België;Plastische, reconstructieve en esthetische heelkunde;286;73;213;0;9;16;8;10;5;9;10;6;0;11;20;29;23;28;34;16;52
België;Urologie;512;76;436;0;18;15;17;7;10;4;5;0;0;40;44;37;57;32;51;41;134
België;Orthopedische heelkunde;1276;144;1132;0;31;27;15;21;18;15;7;10;0;81;100;125;113;119;158;139;297
België;Neurologie;659;325;334;0;50;66;59;41;47;23;19;20;1;31;22;37;44;37;49;42;71
België;Psychiatrie;951;433;518;0;1;10;16;72;110;91;48;85;0;0;5;10;57;71;80;64;231
België;Neuropsychiatrie;221;52;169;0;0;0;0;0;0;4;7;41;0;0;0;0;0;0;2;11;156
België;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;388;307;81;0;42;71;73;59;17;13;6;26;0;11;8;15;11;4;7;8;17
België;Psychiatrie, meer bepaald volwassenpsychiatrie;832;412;420;0;59;82;100;69;18;14;24;46;0;30;26;63;51;12;17;54;167
België;Pneumologie;649;278;371;0;39;53;68;48;24;17;9;20;0;27;20;34;34;35;54;66;101
België;Gastro-enterologie;808;282;526;0;50;65;49;42;24;19;11;22;0;32;30;59;54;57;77;68;149
België;Cardiologie;1315;316;999;0;38;62;56;49;40;25;24;22;0;63;79;118;115;111;132;104;277
België;Inwendige geneeskunde;1950;772;1178;1;116;132;164;119;79;51;48;62;1;57;63;70;124;106;145;107;505
België;Reumatologie;284;132;152;0;11;19;16;22;18;15;8;23;0;5;7;9;7;11;21;18;74
België;Acute geneeskunde;312;137;175;2;9;12;19;39;27;10;14;5;0;5;11;17;35;44;30;17;16
België;Gynaecologie-verloskunde;1767;979;788;0;191;141;152;133;119;85;73;85;0;24;28;45;62;68;95;108;358
België;Oftalmologie;1313;806;507;12;96;83;100;93;80;85;70;187;8;34;26;39;44;43;57;56;200
België;Otorhinolaryngologie;774;344;430;2;49;50;50;43;54;36;22;38;0;23;20;25;38;33;60;67;164
België;Stomatologie;386;101;285;0;17;10;19;17;10;5;10;13;0;28;22;29;26;27;29;31;93
België;Dermato-venereologie;901;650;251;14;83;59;87;87;86;65;44;125;1;10;15;12;19;17;35;30;112
