Territoire;Specialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;3630;2202;1428;23;1717;378;60;16;5;3;0;0;0;10;980;312;76;28;14;5;2;0;1
Région Flandre;TOUTES SPECIALITES;1989;1202;787;11;972;184;26;8;0;1;0;0;0;3;582;148;35;14;4;1;0;0;0
Région Wallonie;TOUTES SPECIALITES;855;528;327;10;426;77;10;2;3;0;0;0;0;4;229;66;13;7;4;2;1;0;1
Région de Bruxelles-capitale;TOUTES SPECIALITES;786;472;314;2;319;117;24;6;2;2;0;0;0;3;169;98;28;7;6;2;1;0;0
Prov Brabant flamand;TOUTES SPECIALITES;605;378;227;3;295;69;9;2;0;0;0;0;0;0;161;48;11;5;2;0;0;0;0
Prov Flandre occidentale;TOUTES SPECIALITES;246;142;104;3;124;14;1;0;0;0;0;0;0;0;86;15;3;0;0;0;0;0;0
Prov Flandre orientale;TOUTES SPECIALITES;485;309;176;0;254;49;4;1;0;1;0;0;0;0;127;33;11;2;2;1;0;0;0
Prov Anvers;TOUTES SPECIALITES;510;280;230;2;223;42;8;5;0;0;0;0;0;2;168;44;9;7;0;0;0;0;0
Prov Limbourg;TOUTES SPECIALITES;143;93;50;3;76;10;4;0;0;0;0;0;0;1;40;8;1;0;0;0;0;0;0
Prov Brabant wallon;TOUTES SPECIALITES;125;91;34;0;72;14;2;2;1;0;0;0;0;1;19;12;1;1;0;0;0;0;0
Prov Hainaut;TOUTES SPECIALITES;196;126;70;4;96;24;2;0;0;0;0;0;0;1;52;13;1;0;1;1;1;0;0
Prov Liège;TOUTES SPECIALITES;385;220;165;3;182;30;3;0;2;0;0;0;0;2;115;33;7;6;1;0;0;0;1
Prov Namur;TOUTES SPECIALITES;114;63;51;1;51;9;2;0;0;0;0;0;0;0;38;8;3;0;1;1;0;0;0
Prov Luxembourg;TOUTES SPECIALITES;35;28;7;2;25;0;1;0;0;0;0;0;0;0;5;0;1;0;1;0;0;0;0
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;786;472;314;2;319;117;24;6;2;2;0;0;0;3;169;98;28;7;6;2;1;0;0
Belgique;ANESTHESIE-REANIMATION;399;213;186;1;177;26;7;2;0;0;0;0;0;1;124;39;11;8;3;0;0;0;0
Belgique;CHIRURGIE;253;101;152;2;75;22;2;0;0;0;0;0;0;1;110;34;4;1;2;0;0;0;0
Belgique;NEUROCHIRURGIE;48;11;37;0;10;1;0;0;0;0;0;0;0;1;23;8;4;0;0;1;0;0;0
