gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle kinesitherapeuten;37063;22206;14857;1483;3788;2131;1850;2589;2224;2064;2127;1664;2286;693;2337;1221;836;1568;1380;1205;1452;1457;2708
Vlaams Gewest;Alle kinesitherapeuten;20793;12896;7897;819;2096;1159;1231;1638;1436;1185;1221;941;1170;320;1126;512;474;877;724;632;821;832;1579
Waals Gewest;Alle kinesitherapeuten;13260;7564;5696;542;1311;786;525;836;680;749;758;567;810;310;924;512;273;598;583;495;553;514;934
Brussels Hoofdstedelijk Gewest;Alle kinesitherapeuten;3010;1746;1264;122;381;186;94;115;108;130;148;156;306;63;287;197;89;93;73;78;78;111;195
Vlaams Brabant;Alle kinesitherapeuten;4469;2843;1626;166;477;284;271;328;315;277;252;222;251;76;237;126;97;202;143;139;137;184;285
West-Vlaanderen;Alle kinesitherapeuten;3914;2293;1621;161;356;149;197;318;269;212;218;175;238;60;164;59;94;188;155;128;208;184;381
Oost-Vlaanderen;Alle kinesitherapeuten;4768;3071;1697;184;455;275;312;440;332;282;289;208;294;61;252;88;93;184;150;159;185;186;339
Antwerpen;Alle kinesitherapeuten;5083;3177;1906;206;536;301;305;373;326;297;346;232;255;82;293;153;124;183;165;143;198;191;374
Limburg;Alle kinesitherapeuten;2559;1512;1047;102;272;150;146;179;194;117;116;104;132;41;180;86;66;120;111;63;93;87;200
Waals Brabant;Alle kinesitherapeuten;2288;1459;829;98;224;137;92;166;121;124;187;124;186;43;140;85;38;101;93;53;92;65;119
Henegouwen;Alle kinesitherapeuten;4012;2061;1951;123;342;191;138;219;195;224;211;156;262;85;296;174;76;178;204;163;194;182;399
Luik;Alle kinesitherapeuten;3824;2222;1602;161;386;240;151;256;201;226;211;176;214;80;277;121;81;178;162;166;147;159;231
Namen;Alle kinesitherapeuten;1896;1077;819;88;193;111;80;101;99;120;97;80;108;51;116;68;36;96;82;75;83;79;133
Luxemburg;Alle kinesitherapeuten;1240;745;495;72;166;107;64;94;64;55;52;31;40;51;95;64;42;45;42;38;37;29;52
Brussels Hoofdstedelijk Gewest;Alle kinesitherapeuten;3010;1746;1264;122;381;186;94;115;108;130;148;156;306;63;287;197;89;93;73;78;78;111;195
België;Zonder bijzondere beroepsbekwaamheid (BB);33738;19854;13884;1480;3428;1604;1470;2236;1987;1851;1953;1582;2263;693;2226;1061;712;1409;1262;1114;1355;1388;2664
Vlaams Gewest;Zonder bijzondere beroepsbekwaamheid (BB);18175;11044;7131;816;1797;734;922;1375;1244;1023;1100;883;1150;320;1037;392;372;759;632;557;742;775;1545
Waals Gewest;Zonder bijzondere beroepsbekwaamheid (BB);12719;7170;5549;542;1260;716;474;759;641;707;714;550;807;310;912;486;257;567;563;485;540;503;926
Brussels Hoofdstedelijk Gewest;Zonder bijzondere beroepsbekwaamheid (BB);2844;1640;1204;122;371;154;74;102;102;121;139;149;306;63;277;183;83;83;67;72;73;110;193
Vlaams Brabant;Zonder bijzondere beroepsbekwaamheid (BB);3954;2473;1481;166;425;194;208;273;268;249;232;207;251;76;217;99;81;174;131;123;127;170;283
West-Vlaanderen;Zonder bijzondere beroepsbekwaamheid (BB);3362;1914;1448;159;284;80;136;261;230;179;192;161;232;60;144;40;70;151;137;114;191;173;368
Oost-Vlaanderen;Zonder bijzondere beroepsbekwaamheid (BB);4098;2575;1523;183;376;157;225;361;282;240;264;199;288;61;234;60;66;160;128;140;166;177;331
Antwerpen;Zonder bijzondere beroepsbekwaamheid (BB);4489;2761;1728;206;463;204;238;320;286;262;310;222;250;82;273;121;101;168;141;125;172;176;369
Limburg;Zonder bijzondere beroepsbekwaamheid (BB);2272;1321;951;102;249;99;115;160;178;93;102;94;129;41;169;72;54;106;95;55;86;79;194
Waals Brabant;Zonder bijzondere beroepsbekwaamheid (BB);2135;1342;793;98;207;115;77;149;109;110;175;118;184;43;137;79;33;90;90;53;89;63;116
Henegouwen;Zonder bijzondere beroepsbekwaamheid (BB);3890;1981;1909;123;333;182;130;199;185;213;199;155;262;85;293;166;72;170;199;160;191;177;396
Luik;Zonder bijzondere beroepsbekwaamheid (BB);3640;2087;1553;161;368;214;134;232;188;212;198;167;213;80;271;116;78;168;152;161;142;156;229
Namen;Zonder bijzondere beroepsbekwaamheid (BB);1837;1032;805;88;190;102;73;87;96;118;91;79;108;51;116;63;32;94;81;74;82;79;133
Luxemburg;Zonder bijzondere beroepsbekwaamheid (BB);1217;728;489;72;162;103;60;92;63;54;51;31;40;51;95;62;42;45;41;37;36;28;52
Brussels Hoofdstedelijk Gewest;Zonder bijzondere beroepsbekwaamheid (BB);2844;1640;1204;122;371;154;74;102;102;121;139;149;306;63;277;183;83;83;67;72;73;110;193
België;Cardiovasculaire kinesitherapie;159;93;66;0;15;9;12;16;15;15;9;2;0;0;7;4;9;8;9;8;11;8;2
België;Manuele therapie;1411;751;660;0;175;237;119;87;52;34;27;13;7;0;91;129;85;102;71;55;59;40;28
België;Neurologische kinesitherapie;368;277;91;1;47;50;50;37;25;38;16;12;1;0;7;6;11;24;17;10;7;6;3
België;Pediatrische kinesitherapie;713;652;61;2;87;137;125;105;60;51;58;21;6;0;3;10;6;11;8;8;4;8;3
België;Bekkenbodemreëducatie en perinatale kinesitherapie;445;426;19;0;16;61;52;85;67;62;49;29;5;0;0;0;2;1;4;2;4;2;4
België;Respiratoire kinesitherapie;229;153;76;0;20;33;22;23;18;13;15;5;4;0;3;11;11;13;9;8;12;5;4
Vlaams Gewest;Cardiovasculaire kinesitherapie;93;54;39;0;10;8;6;5;10;11;3;1;0;0;2;2;4;5;5;3;9;7;2
Vlaams Gewest;Manuele therapie;1260;683;577;0;161;210;113;76;51;32;24;11;5;0;81;105;79;85;64;51;50;38;24
Vlaams Gewest;Neurologische kinesitherapie;247;189;58;1;33;39;37;20;18;26;7;7;1;0;2;5;9;14;12;7;6;2;1
Vlaams Gewest;Pediatrische kinesitherapie;558;519;39;2;76;103;100;89;49;36;42;17;5;0;2;4;3;8;4;6;2;7;3
Vlaams Gewest;Bekkenbodemreëducatie en perinatale kinesitherapie;305;296;9;0;7;41;40;56;49;46;33;19;5;0;0;0;0;0;2;1;3;1;2
Vlaams Gewest;Respiratoire kinesitherapie;155;111;44;0;12;24;13;17;15;11;12;3;4;0;2;4;7;6;5;7;9;2;2
Waals Gewest;Cardiovasculaire kinesitherapie;48;32;16;0;4;0;5;10;4;3;6;0;0;0;3;1;4;1;2;3;1;1;0
Waals Gewest;Manuele therapie;110;49;61;0;12;17;3;10;0;2;1;2;2;0;5;16;5;15;6;1;7;2;4
Waals Gewest;Neurologische kinesitherapie;101;75;26;0;13;9;8;14;7;11;8;5;0;0;3;1;2;7;4;3;1;3;2
Waals Gewest;Pediatrische kinesitherapie;113;99;14;0;9;22;17;13;10;13;12;2;1;0;1;3;1;3;3;1;1;1;0
Waals Gewest;Bekkenbodemreëducatie en perinatale kinesitherapie;118;111;7;0;7;17;12;27;16;11;14;7;0;0;0;0;2;0;1;1;1;1;1
Waals Gewest;Respiratoire kinesitherapie;51;28;23;0;6;5;6;3;2;2;3;1;0;0;0;5;2;5;4;1;2;3;1
Brussels Hoofdstedelijk Gewest;Cardiovasculaire kinesitherapie;18;7;11;0;1;1;1;1;1;1;0;1;0;0;2;1;1;2;2;2;1;0;0
Brussels Hoofdstedelijk Gewest;Manuele therapie;41;19;22;0;2;10;3;1;1;0;2;0;0;0;5;8;1;2;1;3;2;0;0
Brussels Hoofdstedelijk Gewest;Neurologische kinesitherapie;20;13;7;0;1;2;5;3;0;1;1;0;0;0;2;0;0;3;1;0;0;1;0
Brussels Hoofdstedelijk Gewest;Pediatrische kinesitherapie;42;34;8;0;2;12;8;3;1;2;4;2;0;0;0;3;2;0;1;1;1;0;0
Brussels Hoofdstedelijk Gewest;Bekkenbodemreëducatie en perinatale kinesitherapie;22;19;3;0;2;3;0;2;2;5;2;3;0;0;0;0;0;1;1;0;0;0;1
Brussels Hoofdstedelijk Gewest;Respiratoire kinesitherapie;23;14;9;0;2;4;3;3;1;0;0;1;0;0;1;2;2;2;0;0;1;0;1
Vlaams Brabant;Cardiovasculaire kinesitherapie;21;13;8;0;4;2;2;0;2;2;0;1;0;0;1;1;1;1;2;0;1;1;0
Vlaams Brabant;Manuele therapie;234;130;104;0;24;37;27;11;15;8;5;3;0;0;17;23;11;18;6;10;7;10;2
Vlaams Brabant;Neurologische kinesitherapie;71;49;22;0;9;11;7;8;7;7;0;0;0;0;0;2;4;7;3;4;2;0;0
Vlaams Brabant;Pediatrische kinesitherapie;95;89;6;0;10;21;15;17;9;3;8;6;0;0;2;1;0;1;0;1;0;1;0
Vlaams Brabant;Bekkenbodemreëducatie en perinatale kinesitherapie;61;60;1;0;3;10;7;16;8;7;5;4;0;0;0;0;0;0;0;0;0;1;0
Vlaams Brabant;Respiratoire kinesitherapie;33;29;4;0;2;9;5;3;6;1;2;1;0;0;0;0;0;1;1;1;0;1;0
West-Vlaanderen;Cardiovasculaire kinesitherapie;9;2;7;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;2;2;0
West-Vlaanderen;Manuele therapie;281;145;136;0;48;41;23;15;8;6;2;1;1;0;17;19;21;27;15;9;10;8;10
West-Vlaanderen;Neurologische kinesitherapie;49;37;12;1;7;2;5;2;4;8;5;3;0;0;1;0;1;6;1;2;1;0;0
