Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Homme;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17
;;;Femme;Homme;25-29;30-34;35-39;40-44;45-49;50-54;25-29;30-34;35-39;40-44;45-49;50-54;55-59
Belgique;Toutes les spécialités;220.0;112;108;1;87;15;4;4;1;1;82;10;6;5;3;1
;"Réadaptation fonctionnelle et professionnelle des
handicapés";42.0;24;18;0;11;9;1;3;0;0;7;4;1;4;1;1
;Chirurgie orale et maxillo-faciale;13.0;2;11;0;2;0;0;0;0;1;10;0;0;0;0;0
;Soins intensifs;68.0;25;43;1;23;1;0;0;0;0;36;4;1;1;1;0
;Neurologie pédiatrique;12.0;9;3;0;7;1;1;0;0;0;3;0;0;0;0;0
;Néphrologie;11.0;5;6;0;5;0;0;0;0;0;6;0;0;0;0;0
;Médecine d'urgence;18.0;8;10;0;4;1;1;1;1;0;6;1;2;0;1;0
;Endocrino-diabétologie;11.0;8;3;0;7;0;1;0;0;0;2;0;1;0;0;0
;Néonatologie;9.0;8;1;0;7;1;0;0;0;0;0;0;1;0;0;0
;Oncologie;10.0;7;3;0;7;0;0;0;0;0;2;1;0;0;0;0
;Hématologie et oncologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Hématologie clinique;15.0;9;6;0;9;0;0;0;0;0;6;0;0;0;0;0
;Psychiatrie médico-légale;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;Infectiologie clinique;8.0;4;4;0;3;1;0;0;0;0;4;0;0;0;0;0
;Microbiologie médicale;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Région flamande;Toutes les spécialités;149.0;83;66;1;66;10;3;2;1;0;54;4;3;3;1;1
;"Réadaptation fonctionnelle et professionnelle des
handicapés";27.0;14;13;0;7;5;0;2;0;0;7;2;1;2;0;1
;Chirurgie orale et maxillo-faciale;8.0;2;6;0;2;0;0;0;0;0;6;0;0;0;0;0
;Soins intensifs;48.0;18;30;1;17;0;0;0;0;0;27;1;0;1;1;0
;Neurologie pédiatrique;9.0;8;1;0;6;1;1;0;0;0;1;0;0;0;0;0
;Néphrologie;5.0;2;3;0;2;0;0;0;0;0;3;0;0;0;0;0
;Médecine d'urgence;13.0;7;6;0;4;1;1;0;1;0;4;1;1;0;0;0
;Endocrino-diabétologie;10.0;7;3;0;6;0;1;0;0;0;2;0;1;0;0;0
;Néonatologie;7.0;7;0;0;6;1;0;0;0;0;0;0;0;0;0;0
