territoire;agrément;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Tous les infirmiers;;196054;170052;26002;7203;15229;14478;15783;18232;17488;19639;21001;16112;24887;1007;2736;2645;2853;3162;2740;2855;3247;2532;2225
Région flamande;Tous les infirmiers;;128075;110527;17548;4942;9807;9176;10027;11654;11439;13104;13993;10486;15899;711;1689;1497;1695;1873;1755;2106;2418;1956;1848
Région wallonne;Tous les infirmiers;;58119;51114;7005;1893;4352;4444;4982;5778;5313;5747;6150;4895;7560;238;812;879;920;1098;860;635;722;510;331
Région de Bruxelles Capitale;Tous les infirmiers;;9860;8411;1449;368;1070;858;774;800;736;788;858;731;1428;58;235;269;238;191;125;114;107;66;46
Brabant flamand;Tous les infirmiers;;20932;17873;3059;753;1376;1318;1422;1798;1839;2334;2571;1890;2572;103;264;253;249;293;297;352;491;411;346
Flandre occidentale;Tous les infirmiers;;28015;24382;3633;1186;2297;2225;2342;2601;2354;2558;2969;2350;3500;181;357;302;372;399;366;383;481;405;387
Flandre orientale;Tous les infirmiers;;30193;26064;4129;1131;2311;2038;2374;2771;2834;3089;3226;2431;3859;159;410;348;407;469;427;500;591;455;363
Anvers;Tous les infirmiers;;30257;26169;4088;1173;2324;2005;2269;2609;2717;3276;3545;2443;3808;153;361;339;397;418;408;526;590;468;428
Limbourg;Tous les infirmiers;;18678;16039;2639;699;1499;1590;1620;1875;1695;1847;1682;1372;2160;115;297;255;270;294;257;345;265;217;324
Brabant Wallon;Tous les infirmiers;;5853;5314;539;183;374;370;371;571;509;619;802;593;922;24;58;65;76;72;70;64;55;37;18
Hainaut;Tous les infirmiers;;21185;18540;2645;622;1554;1577;1808;2138;2066;2193;2245;1761;2576;87;317;312;343;415;319;246;285;215;106
Liège;Tous les infirmiers;;18070;15780;2290;595;1503;1514;1677;1881;1590;1634;1671;1450;2265;58;240;298;317;359;290;202;223;174;129
Namur;Tous les infirmiers;;8877;7803;1074;350;624;689;741;784;770;851;954;753;1287;53;154;153;137;166;124;87;101;48;51
Luxembourg;Tous les infirmiers;;4134;3677;457;143;297;294;385;404;378;450;478;338;510;16;43;51;47;86;57;36;58;36;27
Région de Bruxelles Capitale;Tous les infirmiers;;9860;8411;1449;368;1070;858;774;800;736;788;858;731;1428;58;235;269;238;191;125;114;107;66;46
Belgique;Enregistrés sans agrément particulier (AP);;162567;143068;19499;6231;12127;11131;12158;14276;13929;16162;18024;14489;24541;860;2082;1900;2007;2185;1910;2039;2448;1974;2094
Région flamande;Enregistrés sans agrément particulier (AP);;107168;93817;13351;4401;8201;7246;7898;9197;9113;10797;11937;9360;15667;623;1354;1112;1205;1306;1237;1492;1785;1500;1737
Région wallonne;Enregistrés sans agrément particulier (AP);;47314;42268;5046;1536;3129;3239;3691;4424;4235;4708;5364;4474;7468;192;556;589;626;737;573;457;579;422;315
Région de Bruxelles Capitale;Enregistrés sans agrément particulier (AP);;8085;6983;1102;294;797;646;569;655;581;657;723;655;1406;45;172;199;176;142;100;90;84;52;42
Brabant flamand;Enregistrés sans agrément particulier (AP);;17316;15011;2305;655;1081;1005;1098;1405;1476;1916;2184;1666;2525;88;193;203;179;210;215;248;348;295;326
Flandre occidentale;Enregistrés sans agrément particulier (AP);;23200;20533;2667;1093;1990;1799;1823;2003;1817;2036;2465;2058;3449;158;293;214;258;265;239;254;323;307;356
Flandre orientale;Enregistrés sans agrément particulier (AP);;25064;21935;3129;986;1935;1606;1824;2148;2214;2514;2730;2184;3794;144;326;250;278;321;302;357;455;357;339
Anvers;Enregistrés sans agrément particulier (AP);;25336;22225;3111;1030;1892;1547;1803;2068;2193;2718;3045;2174;3755;130;287;250;274;288;285;380;448;365;404
Limbourg;Enregistrés sans agrément particulier (AP);;16252;14113;2139;637;1303;1289;1350;1573;1413;1613;1513;1278;2144;103;255;195;216;222;196;253;211;176;312
Brabant Wallon;Enregistrés sans agrément particulier (AP);;4616;4245;371;136;228;239;231;398;395;490;688;532;908;19;34;34;55;47;45;44;46;30;17
Hainaut;Enregistrés sans agrément particulier (AP);;17764;15792;1972;519;1197;1223;1411;1715;1702;1832;1998;1640;2555;71;224;228;238;294;226;184;223;179;105
Liège;Enregistrés sans agrément particulier (AP);;14351;12728;1623;474;1047;1069;1190;1405;1239;1322;1434;1309;2239;42;165;199;207;226;187;144;182;147;124
Namur;Enregistrés sans agrément particulier (AP);;7139;6396;743;286;449;497;554;568;590;679;822;683;1268;47;107;104;89;106;73;59;78;36;44
Luxembourg;Enregistrés sans agrément particulier (AP);;3444;3107;337;121;208;211;305;338;309;385;422;310;498;13;26;24;37;64;42;26;50;30;25
Région de Bruxelles Capitale;Enregistrés sans agrément particulier (AP);;8085;6983;1102;294;797;646;569;655;581;657;723;655;1406;45;172;199;176;142;100;90;84;52;42
Belgique;Qualification professionnelle particulière;Gériatrie;3223;2935;288;2;56;210;363;440;434;559;562;243;66;0;6;26;46;52;42;47;34;29;6
Belgique;Qualification professionnelle particulière;Santé mentale et psychiatrie;2002;1605;397;3;39;132;183;204;203;300;308;206;27;0;8;36;38;45;64;59;76;58;13
Belgique;Qualification professionnelle particulière;Diabétologie;863;778;85;6;52;58;94;120;108;148;122;56;14;0;6;9;15;5;13;14;16;7;0
Belgique;Qualification professionnelle particulière;Soins palliatifs;886;801;85;3;36;46;72;79;114;146;186;101;18;0;3;14;9;9;13;12;16;8;1
Belgique;Titre professionnel particulier;Gériatrie;2224;1829;395;20;117;178;232;290;272;305;258;125;32;0;15;20;38;64;65;74;73;37;9
Belgique;Titre professionnel particulier;Oncologie;3056;2719;337;119;301;302;381;402;386;339;278;185;26;8;20;29;39;60;43;45;40;46;7
Belgique;Titre professionnel particulier;Soins intensifs et d'urgence;11743;8222;3521;492;1422;1274;1133;1187;994;740;528;346;106;126;525;445;493;505;399;369;338;240;81
Belgique;Titre professionnel particulier;Pédiatrie et néonatologie;4731;4580;151;250;797;721;667;614;491;459;360;188;33;6;18;35;20;17;18;13;19;5;0
Belgique;Titre professionnel particulier;Santé mentale et psychiatrie;2664;1812;852;34;124;181;255;320;309;231;215;122;21;5;28;75;89;146;141;114;131;110;13
Belgique;Titre professionnel particulier;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;2095;1703;392;43;158;245;245;300;248;250;160;51;3;2;25;56;59;74;32;69;56;18;1
Région flamande;Qualification professionnelle particulière;Gériatrie;2438;2247;191;2;32;145;247;331;325;434;476;203;52;0;3;17;23;30;29;33;28;25;3
Région flamande;Qualification professionnelle particulière;Santé mentale et psychiatrie;1286;1020;266;1;25;95;122;110;123;183;195;149;17;0;5;21;22;21;33;47;52;52;13
Région flamande;Qualification professionnelle particulière;Diabétologie;521;465;56;6;32;43;51;71;57;96;73;31;5;0;4;4;8;2;9;11;13;5;0
Région flamande;Qualification professionnelle particulière;Soins palliatifs;467;417;50;1;12;21;27;44;53;80;106;62;11;0;1;6;8;3;9;7;9;6;1
Région flamande;Titre professionnel particulier;Gériatrie;1651;1334;317;11;63;112;153;224;204;243;204;97;23;0;11;17;22;43;52;66;63;35;8
Région flamande;Titre professionnel particulier;Oncologie;2011;1785;226;72;159;184;248;276;267;248;191;120;20;5;11;14;25;39;24;33;34;37;4
Région flamande;Titre professionnel particulier;Soins intensifs et d'urgence;6964;4773;2191;292;776;745;649;705;597;405;316;221;67;80;275;224;295;297;238;266;262;183;71
Région flamande;Titre professionnel particulier;Pédiatrie et néonatologie;2622;2540;82;134;397;345;333;333;318;296;235;130;19;1;11;16;8;5;9;11;16;5;0
Région flamande;Titre professionnel particulier;Santé mentale et psychiatrie;1682;1120;562;13;58;99;154;179;218;151;152;80;16;2;7;38;48;84;93;81;107;91;11
Région flamande;Titre professionnel particulier;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;1265;1009;256;9;52;141;145;184;164;171;108;33;2;0;7;28;31;43;22;59;49;17;0
Région wallonne;Qualification professionnelle particulière;Gériatrie;657;581;76;0;19;56;97;97;87;108;70;35;12;0;3;7;15;16;12;11;5;4;3
Région wallonne;Qualification professionnelle particulière;Santé mentale et psychiatrie;664;539;125;0;13;34;56;89;73;112;104;50;8;0;2;15;15;24;30;12;21;6;0
Région wallonne;Qualification professionnelle particulière;Diabétologie;296;274;22;0;18;13;35;43;42;48;43;25;7;0;2;3;7;2;4;1;2;1;0
Région wallonne;Qualification professionnelle particulière;Soins palliatifs;377;350;27;2;24;24;43;32;55;59;71;34;6;0;1;6;1;5;3;3;6;2;0
