Territoire;Specialite;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;3403;1103;2300;0;0;117;233;227;156;129;117;69;55;0;0;68;206;243;319;340;340;273;511
Région Flandre;TOUTES SPECIALITES;1938;625;1313;0;0;74;155;144;99;63;51;27;12;0;0;55;131;154;187;189;174;156;267
Région Wallonie;TOUTES SPECIALITES;1067;315;752;0;0;28;61;55;39;44;40;27;21;0;0;8;56;66;109;120;129;81;183
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;398;163;235;0;0;15;17;28;18;22;26;15;22;0;0;5;19;23;23;31;37;36;61
Prov Brabant flamand;TOUTES SPECIALITES;477;177;300;0;0;20;42;38;21;24;20;8;4;0;0;10;28;23;49;39;44;34;73
Prov Flandre occidentale;TOUTES SPECIALITES;380;95;285;0;0;11;22;26;19;2;9;5;1;0;0;14;21;37;37;37;25;36;78
Prov Flandre orientale;TOUTES SPECIALITES;420;140;280;0;0;18;37;30;24;13;5;9;4;0;0;12;33;38;42;42;33;33;47
Prov Anvers;TOUTES SPECIALITES;469;166;303;0;0;19;44;37;24;21;16;2;3;0;0;12;28;39;40;50;52;31;51
Prov Limbourg;TOUTES SPECIALITES;192;47;145;0;0;6;10;13;11;3;1;3;0;0;0;7;21;17;19;21;20;22;18
Prov Brabant wallon;TOUTES SPECIALITES;235;68;167;0;0;5;9;11;9;16;8;5;5;0;0;3;8;17;23;26;25;19;46
Prov Hainaut;TOUTES SPECIALITES;288;73;215;0;0;8;23;9;3;9;8;5;8;0;0;0;6;18;40;37;39;23;52
Prov Liège;TOUTES SPECIALITES;350;115;235;0;0;7;16;25;17;12;18;13;7;0;0;3;24;20;26;39;45;24;54
Prov Namur;TOUTES SPECIALITES;142;45;97;0;0;7;11;7;6;6;3;4;1;0;0;2;13;10;14;13;14;10;21
Prov Luxembourg;TOUTES SPECIALITES;52;14;38;0;0;1;2;3;4;1;3;0;0;0;0;0;5;1;6;5;6;5;10
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;398;163;235;0;0;15;17;28;18;22;26;15;22;0;0;5;19;23;23;31;37;36;61
Belgique;MEDECINE NUCLEAIRE IN VITRO;220;82;138;0;0;0;4;11;20;24;11;7;5;0;0;0;2;7;17;29;33;14;36
Belgique;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;931;295;636;0;0;7;43;62;37;32;45;37;32;0;0;3;18;36;56;55;92;114;262
Belgique;GERIATRIE;168;47;121;0;0;4;13;13;4;6;3;0;4;0;0;1;5;4;9;13;15;14;60
Belgique;CHIRURGIE ORALE ET MAXILLO-FACIALE;151;31;120;0;0;8;9;6;2;4;2;0;0;0;0;12;18;16;22;17;11;10;14
Belgique;SOINS INTENSIFS;662;181;481;0;0;26;57;47;29;11;5;2;4;0;0;24;66;72;98;101;59;34;27
Belgique;NEUROLOGIE PEDIATRIQUE;73;45;28;0;0;3;13;5;3;3;11;4;3;0;0;1;2;5;1;4;5;5;5
Belgique;NEPHROLOGIE;271;94;177;0;0;24;25;16;10;7;7;3;2;0;0;8;22;21;25;23;25;20;33
