territoire;specialite;total;total_femmes;total_hommes;femmes_moins20;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_moins20;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUS LES INFIRMIERS;157032;137169;19863;1;4455;10667;15106;15827;17376;21291;19049;12701;8736;11960;0;674;1760;2647;2650;2622;3159;3136;1611;1034;570
Région Flandre;TOUS LES INFIRMIERS;102289;88417;13872;1;2896;6698;9551;10125;11520;14259;12363;8067;5401;7536;0;432;1062;1593;1589;1872;2356;2370;1295;863;440
Région Wallonie;TOUS LES INFIRMIERS;46903;41813;5090;0;1359;3348;4758;4992;5145;6149;5749;4028;2856;3429;0;204;547;886;920;641;684;674;271;153;110
Région Région de Bruxelles-capitale;TOUS LES INFIRMIERS;7840;6939;901;0;200;621;797;710;711;883;937;606;479;995;0;38;151;168;141;109;119;92;45;18;20
Prov Brabant flamand;TOUS LES INFIRMIERS;17229;14787;2442;1;464;889;1404;1579;1945;2624;2376;1455;908;1142;0;63;164;209;247;294;459;509;263;168;66
Prov Flandre occidentale;TOUS LES INFIRMIERS;22124;19264;2860;0;889;1719;2123;2172;2256;2926;2639;1753;1161;1626;0;112;248;366;318;371;457;468;266;184;70
Prov Flandre orientale;TOUS LES INFIRMIERS;23912;20702;3210;0;384;1491;2285;2440;2821;3368;2829;1915;1352;1817;0;65;241;391;376;454;539;583;312;180;69
Prov Anvers;TOUS LES INFIRMIERS;24347;21025;3322;0;574;1478;2137;2397;2839;3534;2993;1834;1190;2049;0;90;225;358;410;457;595;575;293;203;116
Prov Limbourg;TOUS LES INFIRMIERS;14677;12639;2038;0;585;1121;1602;1537;1659;1807;1526;1110;790;902;0;102;184;269;238;296;306;235;161;128;119
Prov Brabant wallon;TOUS LES INFIRMIERS;4588;4245;343;0;90;185;359;467;483;734;698;461;334;434;0;9;28;54;54;65;51;47;16;12;7
Prov Hainaut;TOUS LES INFIRMIERS;17251;15330;1921;0;472;1153;1725;1900;2020;2357;2075;1466;1032;1130;0;84;201;338;316;241;278;277;103;51;32
Prov Liège;TOUS LES INFIRMIERS;14571;12815;1756;0;499;1225;1625;1549;1503;1644;1689;1168;855;1058;0;62;200;314;318;219;197;232;95;64;55
Prov Namur;TOUS LES INFIRMIERS;7026;6309;717;0;192;506;674;708;751;925;869;635;441;608;0;38;82;122;149;89;97;76;36;16;12
Prov Luxembourg;TOUS LES INFIRMIERS;3467;3114;353;0;106;279;375;368;388;489;418;298;194;199;0;11;36;58;83;27;61;42;21;10;4
Prov Région de Bruxelles-capitale;TOUS LES INFIRMIERS;7840;6939;901;0;200;621;797;710;711;883;937;606;479;995;0;38;151;168;141;109;119;92;45;18;20
Belgique;SANS AGREMENT;146201;129407;16794;1;4157;9569;13695;14416;16017;20294;18258;12388;8659;11953;0;597;1407;2125;2154;2113;2687;2721;1460;970;560
Belgique;SOINS INTENSIFS ET D'URGENCE;9003;6171;2832;0;260;889;1152;1180;1113;740;544;224;62;7;0;72;327;484;458;475;432;374;136;64;10
Belgique;GERIATRIE (TITRE PROFESSIONNEL PARTICULIER);668;542;126;0;15;71;99;90;87;76;72;27;5;0;0;0;10;23;23;20;24;19;7;0;0
Belgique;GERIATRIE (QUALIFICATION PROFESSIONNELLE PARTICULIERE);628;588;40;0;4;62;73;80;95;126;102;39;7;0;0;1;3;9;8;7;3;9;0;0;0
Belgique;ONCOLOGIE;532;461;71;0;19;76;87;61;64;55;73;23;3;0;0;4;13;6;7;7;13;13;8;0;0
Région Flandre;SANS AGREMENT;95567;83742;11825;1;2732;6099;8726;9274;10678;13661;11835;7849;5356;7531;0;390;861;1298;1307;1520;1989;2060;1163;805;432
Région Flandre;SOINS INTENSIFS ET D'URGENCE;5522;3638;1884;0;148;489;678;694;672;408;357;152;35;5;0;41;186;274;258;330;332;279;118;58;8
Région Flandre;GERIATRIE (TITRE PROFESSIONNEL PARTICULIER);461;366;95;0;9;44;62;64;58;57;49;19;4;0;0;0;10;12;15;15;19;17;7;0;0
Région Flandre;GERIATRIE (QUALIFICATION PROFESSIONNELLE PARTICULIERE);458;434;24;0;3;42;49;59;67;97;82;31;4;0;0;1;1;5;4;4;3;6;0;0;0
Région Flandre;ONCOLOGIE;281;237;44;0;4;24;36;34;45;36;40;16;2;0;0;0;4;4;5;3;13;8;7;0;0
Région Wallonie;SANS AGREMENT;43307;39122;4185;0;1245;2935;4242;4484;4688;5794;5529;3947;2831;3427;0;171;428;689;719;500;591;579;252;147;109
Région Wallonie;SOINS INTENSIFS ET D'URGENCE;3094;2245;849;0;97;336;419;443;397;301;163;64;23;2;0;29;111;186;189;133;90;86;18;6;1
Région Wallonie;GERIATRIE (TITRE PROFESSIONNEL PARTICULIER);167;146;21;0;5;22;32;22;23;14;20;7;1;0;0;0;0;6;7;3;3;2;0;0;0
Région Wallonie;GERIATRIE (QUALIFICATION PROFESSIONNELLE PARTICULIERE);152;139;13;0;1;20;24;20;25;25;17;6;1;0;0;0;1;4;3;2;0;3;0;0;0
Région Wallonie;ONCOLOGIE;183;161;22;0;11;35;41;23;12;15;20;4;0;0;0;4;7;1;2;3;0;4;1;0;0
Région Région de Bruxelles-capitale;SANS AGREMENT;7327;6543;784;0;180;535;727;658;651;839;894;592;472;995;0;36;118;138;128;93;107;82;45;18;19
Région Région de Bruxelles-capitale;SOINS INTENSIFS ET D'URGENCE;387;288;99;0;15;64;55;43;44;31;24;8;4;0;0;2;30;24;11;12;10;9;0;0;1
Région Région de Bruxelles-capitale;GERIATRIE (TITRE PROFESSIONNEL PARTICULIER);40;30;10;0;1;5;5;4;6;5;3;1;0;0;0;0;0;5;1;2;2;0;0;0;0
Région Région de Bruxelles-capitale;GERIATRIE (QUALIFICATION PROFESSIONNELLE PARTICULIERE);18;15;3;0;0;0;0;1;3;4;3;2;2;0;0;0;1;0;1;1;0;0;0;0;0
Région Région de Bruxelles-capitale;ONCOLOGIE;68;63;5;0;4;17;10;4;7;4;13;3;1;0;0;0;2;1;0;1;0;1;0;0;0
Prov Brabant flamand;SANS AGREMENT;16003;13951;2052;1;428;800;1280;1443;1786;2501;2264;1407;901;1140;0;57;135;167;201;237;380;422;238;151;64
Prov Brabant flamand;SOINS INTENSIFS ET D'URGENCE;1087;724;363;0;35;80;109;119;144;97;94;38;6;2;0;6;28;41;43;52;70;81;23;17;2
Prov Brabant flamand;GERIATRIE (TITRE PROFESSIONNEL PARTICULIER);71;56;15;0;0;4;9;12;7;10;9;5;0;0;0;0;0;0;3;2;5;4;1;0;0
Prov Brabant flamand;GERIATRIE (QUALIFICATION PROFESSIONNELLE PARTICULIERE);33;31;2;0;0;1;3;5;4;11;5;2;0;0;0;0;0;0;0;1;1;0;0;0;0
Prov Brabant flamand;ONCOLOGIE;35;25;10;0;1;4;3;0;4;5;4;3;1;0;0;0;1;1;0;2;3;2;1;0;0
Prov Flandre occidentale;SANS AGREMENT;20765;18314;2451;0;854;1590;1936;2008;2093;2824;2537;1701;1147;1624;0;101;208;311;273;315;379;401;230;167;66
Prov Flandre occidentale;SOINS INTENSIFS ET D'URGENCE;1085;702;383;0;30;102;147;128;119;64;64;35;11;2;0;11;38;53;43;51;70;61;35;17;4
Prov Flandre occidentale;GERIATRIE (TITRE PROFESSIONNEL PARTICULIER);88;71;17;0;2;11;16;9;11;7;10;4;1;0;0;0;1;1;1;2;6;5;1;0;0
Prov Flandre occidentale;GERIATRIE (QUALIFICATION PROFESSIONNELLE PARTICULIERE);123;117;6;0;2;11;9;15;23;24;24;7;2;0;0;0;0;1;1;3;0;1;0;0;0
Prov Flandre occidentale;ONCOLOGIE;63;60;3;0;1;5;15;12;10;7;4;6;0;0;0;0;1;0;0;0;2;0;0;0;0
Prov Flandre orientale;SANS AGREMENT;22386;19633;2753;0;353;1357;2099;2233;2649;3225;2702;1860;1339;1816;0;57;187;327;322;363;467;514;280;168;68
Prov Flandre orientale;SOINS INTENSIFS ET D'URGENCE;1256;840;416;0;24;103;149;171;138;100;96;46;12;1;0;8;49;57;47;86;66;63;27;12;1
Prov Flandre orientale;GERIATRIE (TITRE PROFESSIONNEL PARTICULIER);115;90;25;0;5;8;18;22;12;14;7;3;1;0;0;0;3;6;4;5;3;2;2;0;0
Prov Flandre orientale;GERIATRIE (QUALIFICATION PROFESSIONNELLE PARTICULIERE);78;75;3;0;1;17;8;6;9;21;11;2;0;0;0;0;0;1;0;0;1;1;0;0;0
Prov Flandre orientale;ONCOLOGIE;77;64;13;0;1;6;11;8;13;8;13;4;0;0;0;0;2;0;3;0;2;3;3;0;0
Prov Anvers;SANS AGREMENT;22629;19848;2781;0;545;1322;1950;2174;2613;3371;2853;1790;1181;2049;0;83;170;274;311;356;507;505;265;194;116
Prov Anvers;SOINS INTENSIFS ET D'URGENCE;1367;868;499;0;27;133;160;173;173;106;70;22;4;0;0;7;51;79;91;95;81;62;24;9;0
Prov Anvers;GERIATRIE (TITRE PROFESSIONNEL PARTICULIER);134;108;26;0;1;13;11;17;23;17;18;6;2;0;0;0;4;3;4;6;4;3;2;0;0
Prov Anvers;GERIATRIE (QUALIFICATION PROFESSIONNELLE PARTICULIERE);139;132;7;0;0;4;10;21;19;28;34;14;2;0;0;0;0;0;3;0;0;4;0;0;0
Prov Anvers;ONCOLOGIE;78;69;9;0;1;6;6;12;11;12;18;2;1;0;0;0;0;2;1;0;3;1;2;0;0
Prov Limbourg;SANS AGREMENT;13784;11996;1788;0;552;1030;1461;1416;1537;1740;1479;1091;788;902;0;92;161;219;200;249;256;218;150;125;118
Prov Limbourg;SOINS INTENSIFS ET D'URGENCE;727;504;223;0;32;71;113;103;98;41;33;11;2;0;0;9;20;44;34;46;45;12;9;3;1
Prov Limbourg;GERIATRIE (TITRE PROFESSIONNEL PARTICULIER);53;41;12;0;1;8;8;4;5;9;5;1;0;0;0;0;2;2;3;0;1;3;1;0;0
Prov Limbourg;GERIATRIE (QUALIFICATION PROFESSIONNELLE PARTICULIERE);85;79;6;0;0;9;19;12;12;13;8;6;0;0;0;1;1;3;0;0;1;0;0;0;0
Prov Limbourg;ONCOLOGIE;28;19;9;0;0;3;1;2;7;4;1;1;0;0;0;0;0;1;1;1;3;2;1;0;0
Prov Brabant wallon;SANS AGREMENT;4242;3975;267;0;83;148;314;413;442;699;664;447;331;434;0;8;22;33;43;45;43;41;15;10;7
Prov Brabant wallon;SOINS INTENSIFS ET D'URGENCE;305;230;75;0;6;34;38;48;37;28;23;13;3;0;0;0;6;21;11;20;8;6;1;2;0
Prov Brabant wallon;GERIATRIE (TITRE PROFESSIONNEL PARTICULIER);18;18;0;0;0;1;1;2;3;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant wallon;GERIATRIE (QUALIFICATION PROFESSIONNELLE PARTICULIERE);6;6;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant wallon;ONCOLOGIE;17;16;1;0;1;2;6;4;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Hainaut;SANS AGREMENT;16066;14461;1605;0;435;1033;1576;1733;1851;2235;2003;1444;1021;1130;0;73;154;271;260;196;236;235;97;51;32
Prov Hainaut;SOINS INTENSIFS ET D'URGENCE;1057;757;300;0;35;105;123;151;153;105;55;20;10;0;0;9;44;64;53;44;42;39;5;0;0
Prov Hainaut;GERIATRIE (TITRE PROFESSIONNEL PARTICULIER);39;34;5;0;2;3;13;3;6;3;4;0;0;0;0;0;0;2;2;1;0;0;0;0;0
Prov Hainaut;GERIATRIE (QUALIFICATION PROFESSIONNELLE PARTICULIERE);34;33;1;0;0;3;3;6;8;7;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Prov Hainaut;ONCOLOGIE;55;45;10;0;0;9;10;7;2;7;8;2;0;0;0;2;3;1;1;0;0;2;1;0;0
Prov Liège;SANS AGREMENT;13339;11890;1449;0;457;1062;1428;1379;1369;1520;1619;1149;851;1056;0;48;160;245;239;170;177;202;91;62;55
Prov Liège;SOINS INTENSIFS ET D'URGENCE;975;700;275;0;31;115;148;136;101;102;47;15;3;2;0;13;35;63;72;42;17;27;4;2;0
Prov Liège;GERIATRIE (TITRE PROFESSIONNEL PARTICULIER);82;70;12;0;1;14;14;13;12;6;7;2;1;0;0;0;0;3;3;2;3;1;0;0;0
Prov Liège;GERIATRIE (QUALIFICATION PROFESSIONNELLE PARTICULIERE);82;72;10;0;0;15;14;10;12;12;8;1;0;0;0;0;1;3;3;2;0;1;0;0;0
Prov Liège;ONCOLOGIE;93;83;10;0;10;19;21;11;9;4;8;1;0;0;0;1;4;0;1;3;0;1;0;0;0
Prov Namur;SANS AGREMENT;6460;5884;576;0;170;449;579;635;671;878;839;618;437;608;0;32;64;92;113;69;84;65;32;14;11
Prov Namur;SOINS INTENSIFS ET D'URGENCE;513;378;135;0;21;51;82;67;73;41;26;13;4;0;0;6;18;28;34;20;13;9;4;2;1
Prov Namur;GERIATRIE (TITRE PROFESSIONNEL PARTICULIER);17;13;4;0;0;1;4;2;2;0;2;2;0;0;0;0;0;1;2;0;0;1;0;0;0
Prov Namur;GERIATRIE (QUALIFICATION PROFESSIONNELLE PARTICULIERE);24;22;2;0;1;1;6;3;5;3;1;2;0;0;0;0;0;1;0;0;0;1;0;0;0
Prov Namur;ONCOLOGIE;12;12;0;0;0;4;3;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxembourg;SANS AGREMENT;3200;2912;288;0;100;243;345;324;355;462;404;289;191;199;0;10;28;48;64;20;51;36;17;10;4
Prov Luxembourg;SOINS INTENSIFS ET D'URGENCE;244;180;64;0;4;31;28;41;33;25;12;3;3;0;0;1;8;10;19;7;10;5;4;0;0
Prov Luxembourg;GERIATRIE (TITRE PROFESSIONNEL PARTICULIER);11;11;0;0;2;3;0;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxembourg;GERIATRIE (QUALIFICATION PROFESSIONNELLE PARTICULIERE);6;6;0;0;0;1;1;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxembourg;ONCOLOGIE;6;5;1;0;0;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0
