territoire;spécialité;total;genre_femme;genre_homme;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Toutes les spécialités;30122;13119;17003;40;1701;1826;1905;1896;1619;1320;994;1818;17;1156;1126;1360;1632;1545;2009;2094;6064
Belgique;Gériatrie;386;252;134;0;46;42;42;41;38;20;10;13;0;6;11;10;11;12;12;25;47
Belgique;Médecine d'urgence;305;149;156;0;52;61;14;12;5;5;0;0;0;49;45;20;19;13;4;4;2
Belgique;Médecine légale;15;5;10;0;2;1;1;1;0;0;0;0;0;0;4;2;0;0;1;0;3
Belgique;Gestion de données de santé;58;22;36;0;0;0;0;1;5;8;6;2;0;0;0;1;4;3;8;10;10
Belgique;Anesthésie-réanimation;2809;1164;1645;1;165;179;157;164;147;114;61;176;1;199;157;177;192;200;192;188;339
Belgique;Chirurgie;1819;395;1424;0;61;64;68;64;40;29;30;39;0;70;99;126;135;139;157;167;531
Belgique;Neurochirurgie;254;34;220;0;9;7;1;5;7;4;1;0;0;16;25;27;32;24;22;23;51
Belgique;Chirurgie plastique, reconstructrice et esthétique;293;75;218;0;6;18;8;10;7;6;10;10;0;11;21;32;21;27;37;15;54
Belgique;Urologie;528;87;441;0;23;15;16;14;9;4;4;2;0;38;46;40;54;33;52;39;139
Belgique;Chirurgie orthopédique;1300;152;1148;0;35;24;18;22;18;15;7;13;0;79;108;117;117;111;155;146;315
Belgique;Neurologie;695;352;343;3;63;69;60;46;43;27;19;22;0;33;25;34;48;34;46;46;77
Belgique;Psychiatrie;939;433;506;0;1;6;14;49;119;97;58;89;0;0;5;6;44;67;88;60;236
Belgique;Neuropsychiatrie;206;49;157;0;0;0;0;0;0;3;7;39;0;0;0;0;0;0;0;10;147
Belgique;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;402;317;85;1;39;68;76;66;18;15;8;26;0;13;6;15;15;4;4;10;18
Belgique;Psychiatrie, particulièrement en psychiatrie adulte;863;430;433;0;68;76;105;77;20;13;20;51;1;37;30;52;62;14;14;47;176
Belgique;Pneumologie;671;289;382;0;37;52;73;48;31;14;13;21;0;27;26;26;37;39;48;69;110
Belgique;Gastro-entérologie;833;295;538;0;48;69;51;44;27;19;14;23;0;40;33;46;63;48;80;70;158
Belgique;Cardiologie;1341;328;1013;0;33;69;58;48;45;25;25;25;0;72;78;115;120;105;132;101;290
Belgique;Médecine interne;1987;816;1171;1;127;138;164;127;90;52;50;67;0;69;53;77;114;107;140;111;500
Belgique;Rhumatologie;285;137;148;0;12;17;20;17;21;18;8;24;0;4;10;7;6;12;16;20;73
Belgique;Médecine aiguë;307;136;171;0;9;13;13;41;27;15;10;8;0;4;8;14;34;43;30;18;20
Belgique;Gynécologie-obstétrique;1817;1031;786;4;201;158;151;129;125;95;70;98;0;26;30;40;54;73;77;114;372
Belgique;Ophtalmologie;1329;825;504;14;96;87;105;93;83;80;78;189;8;41;26;36;46;37;60;58;192
Belgique;Oto-rhino-laryngologie;786;359;427;1;57;45;56;43;52;39;26;40;0;18;26;24;38;33;48;71;169
Belgique;Stomatologie;389;101;288;0;14;14;18;17;10;6;8;14;0;31;24;27;25;24;32;27;98
Belgique;Dermato-vénéréologie;908;659;249;9;78;71;83;84;91;64;49;130;1;10;15;11;18;16;34;26;118
Belgique;Pédiatrie;2049;1395;654;4;202;193;206;195;162;139;75;219;1;37;38;44;39;55;47;69;324
Belgique;Médecine physique et réadaptation;630;301;329;0;38;38;39;42;47;30;31;36;0;30;19;25;26;17;45;40;127
Belgique;Biologie clinique;719;349;370;0;17;23;38;31;40;35;42;123;0;15;11;17;16;21;37;52;201
Belgique;Radiodiagnostic;1960;599;1361;1;70;91;70;85;74;89;46;73;4;120;101;103;102;121;198;183;429
Belgique;Radiothérapie - oncologie;254;144;110;0;15;19;22;24;19;16;14;15;0;10;11;17;14;12;6;21;19
Belgique;Médecine nucléaire;354;129;225;0;10;16;17;17;14;25;12;18;0;15;12;14;13;19;25;21;106
Belgique;Anatomie pathologique;420;231;189;1;24;26;32;31;34;25;19;39;1;16;4;19;22;10;20;23;74
Belgique;Oncologie médicale;315;177;138;0;30;34;28;28;19;16;10;12;0;14;12;9;20;19;22;12;30
Belgique;Génétique clinique;76;48;28;0;0;4;8;14;8;5;3;6;0;0;2;5;5;6;5;3;2
Belgique;Médecine du travail;1187;655;532;0;12;17;71;147;94;112;95;107;0;6;5;23;51;28;58;99;262
Belgique;Médecine d'assurance et expertise médicale;633;199;434;0;1;2;2;19;30;41;55;49;0;0;0;2;15;19;57;96;245
Région flamande;Toutes les spécialités;16471;7034;9437;22;1001;1001;1100;1065;923;728;460;734;4;693;631;826;946;858;1163;1163;3153
Région flamande;Gériatrie;232;141;91;0;29;22;17;26;21;10;8;8;0;4;9;3;7;9;9;16;34
Région flamande;Médecine d'urgence;150;80;70;0;33;29;7;6;3;2;0;0;0;36;15;9;6;2;1;1;0
Région flamande;Médecine légale;7;3;4;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2
Région flamande;Gestion de données de santé;25;9;16;0;0;0;0;1;0;5;1;2;0;0;0;0;3;0;3;5;5
Région flamande;Anesthésie-réanimation;1609;674;935;1;106;102;91;93;95;74;39;73;0;119;83;99;114;108;110;107;195
Région flamande;Chirurgie;1014;223;791;0;38;41;43;39;25;9;10;18;0;45;60;83;81;80;88;91;263
Région flamande;Neurochirurgie;161;17;144;0;4;3;0;3;5;2;0;0;0;9;17;22;21;15;13;14;33
Région flamande;Chirurgie plastique, reconstructrice et esthétique;175;43;132;0;4;11;3;5;5;3;6;6;0;6;11;17;13;15;27;7;36
Région flamande;Urologie;318;53;265;0;16;10;12;5;6;2;1;1;0;23;28;25;35;20;36;23;75
Région flamande;Chirurgie orthopédique;779;89;690;0;24;16;10;11;12;8;3;5;0;57;62;79;75;66;100;86;165
Région flamande;Neurologie;380;193;187;1;39;43;37;19;22;14;8;10;0;16;14;23;25;14;25;24;46
Région flamande;Psychiatrie;265;139;126;0;0;0;1;15;62;45;8;8;0;0;0;1;18;40;41;13;13
Région flamande;Neuropsychiatrie;118;26;92;0;0;0;0;0;0;2;6;18;0;0;0;0;0;0;0;8;84
Région flamande;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;266;221;45;1;28;39;53;52;12;10;7;19;0;3;3;8;8;1;3;6;13
Région flamande;Psychiatrie, particulièrement en psychiatrie adulte;598;270;328;0;38;45;74;41;8;7;14;43;0;21;18;25;41;5;7;45;166
Région flamande;Pneumologie;364;162;202;0;21;33;47;25;17;8;7;4;0;17;17;13;21;15;28;39;52
Région flamande;Gastro-entérologie;449;159;290;0;29;43;29;24;14;9;6;5;0;27;21;30;35;26;38;38;75
Région flamande;Cardiologie;695;133;562;0;13;30;24;25;21;9;3;8;0;45;51;75;68;62;73;53;135
Région flamande;Médecine interne;962;394;568;0;61;71;83;63;36;28;31;21;0;35;27;33;53;49;60;43;268
Région flamande;Rhumatologie;144;68;76;0;6;12;10;7;11;10;4;8;0;0;8;5;5;6;8;7;37
Région flamande;Médecine aiguë;140;59;81;0;7;8;9;19;5;6;4;1;0;3;5;13;20;20;10;6;4
