gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle specialiteiten;9641;4767;4874;39;467;508;330;436;497;503;696;728;563;8;247;271;197;258;237;334;886;1084;1352
België;Algemeen tandarts;8930;4305;4625;39;436;447;287;388;440;428;640;671;529;8;233;238;179;230;216;314;844;1041;1322
België;Parodontologie;194;106;88;0;11;17;16;15;18;19;6;3;1;0;10;19;5;16;8;11;10;6;3
België;Orthodontie;517;356;161;0;20;44;27;33;39;56;50;54;33;0;4;14;13;12;13;9;32;37;27
Vlaams Gewest;Alle specialiteiten;5656;2823;2833;19;266;306;182;265;326;300;430;455;274;4;129;145;84;146;120;161;521;709;814
Vlaams Gewest;Algemeen tandarts;5211;2529;2682;19;246;266;157;236;293;253;391;409;259;4;120;125;72;130;108;151;496;680;796
Vlaams Gewest;Parodontologie;140;82;58;0;10;13;8;11;15;15;6;3;1;0;8;13;4;9;6;6;6;4;2
Vlaams Gewest;Orthodontie;305;212;93;0;10;27;17;18;18;32;33;43;14;0;1;7;8;7;6;4;19;25;16
Waals Gewest;Alle specialiteiten;2797;1361;1436;18;115;122;102;119;129;139;207;215;195;3;62;54;73;70;78;111;271;304;410
Waals Gewest;Algemeen tandarts;2615;1239;1376;18;107;110;88;107;109;120;195;207;178;3;61;47;69;65;74;103;261;291;402
Waals Gewest;Parodontologie;34;17;17;0;1;2;5;3;3;3;0;0;0;0;0;4;1;3;2;3;2;2;0
Waals Gewest;Orthodontie;148;105;43;0;7;10;9;9;17;16;12;8;17;0;1;3;3;2;2;5;8;11;8
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;1188;583;605;2;86;80;46;52;42;64;59;58;94;1;56;72;40;42;39;62;94;71;128
Brussels Hoofdstedelijk Gewest;Algemeen tandarts;1104;537;567;2;83;71;42;45;38;55;54;55;92;1;52;66;38;35;34;60;87;70;124
Brussels Hoofdstedelijk Gewest;Parodontologie;20;7;13;0;0;2;3;1;0;1;0;0;0;0;2;2;0;4;0;2;2;0;1
Brussels Hoofdstedelijk Gewest;Orthodontie;64;39;25;0;3;7;1;6;4;8;5;3;2;0;2;4;2;3;5;0;5;1;3
Vlaams Brabant;Alle specialiteiten;1276;704;572;3;44;67;47;70;87;97;109;119;61;1;27;35;16;34;37;41;121;128;132
Vlaams Brabant;Algemeen tandarts;1160;626;534;3;44;59;42;62;74;83;100;103;56;1;26;30;14;29;33;38;117;120;126
Vlaams Brabant;Parodontologie;37;20;17;0;0;3;1;1;7;4;1;3;0;0;1;4;0;3;3;2;1;1;2
Vlaams Brabant;Orthodontie;79;58;21;0;0;5;4;7;6;10;8;13;5;0;0;1;2;2;1;1;3;7;4
West-Vlaanderen;Alle specialiteiten;1038;475;563;4;48;54;28;56;55;33;79;67;51;0;18;16;15;20;16;19;90;157;212
West-Vlaanderen;Algemeen tandarts;978;437;541;4;44;47;26;50;53;28;72;63;50;0;17;14;14;17;13;17;85;155;209
West-Vlaanderen;Parodontologie;21;15;6;0;2;4;0;4;1;3;1;0;0;0;1;1;1;1;0;1;1;0;0
West-Vlaanderen;Orthodontie;39;23;16;0;2;3;2;2;1;2;6;4;1;0;0;1;0;2;3;1;4;2;3
Oost-Vlaanderen;Alle specialiteiten;1250;633;617;6;79;67;34;54;78;65;68;99;83;0;36;39;13;41;22;42;98;153;173
Oost-Vlaanderen;Algemeen tandarts;1136;560;576;6;71;56;26;48;66;54;63;92;78;0;32;30;10;36;20;39;89;151;169
Oost-Vlaanderen;Parodontologie;39;22;17;0;3;5;3;1;6;4;0;0;0;0;4;5;2;2;1;3;0;0;0
Oost-Vlaanderen;Orthodontie;75;51;24;0;5;6;5;5;6;7;5;7;5;0;0;4;1;3;1;0;9;2;4
Antwerpen;Alle specialiteiten;1383;677;706;3;57;87;49;46;70;78;120;107;60;3;30;34;27;33;35;45;141;174;184
Antwerpen;Algemeen tandarts;1275;602;673;3;51;75;42;39;65;64;108;98;57;3;29;31;23;31;33;43;135;164;181
Antwerpen;Parodontologie;31;18;13;0;4;1;4;3;1;3;1;0;1;0;0;3;1;2;1;0;3;3;0
Antwerpen;Orthodontie;77;57;20;0;2;11;3;4;4;11;11;9;2;0;1;0;3;0;1;2;3;7;3
Limburg;Alle specialiteiten;709;334;375;3;38;31;24;39;36;27;54;63;19;0;18;21;13;18;10;14;71;97;113
Limburg;Algemeen tandarts;662;304;358;3;36;29;21;37;35;24;48;53;18;0;16;20;11;17;9;14;70;90;111
Limburg;Parodontologie;12;7;5;0;1;0;0;2;0;1;3;0;0;0;2;0;0;1;1;0;1;0;0
Limburg;Orthodontie;35;23;12;0;1;2;3;0;1;2;3;10;1;0;0;1;2;0;0;0;0;7;2
Waals Brabant;Alle specialiteiten;586;321;265;3;18;21;26;28;34;31;45;58;57;0;11;12;17;14;21;17;41;52;80
Waals Brabant;Algemeen tandarts;537;289;248;3;15;19;25;24;27;25;44;56;51;0;11;10;16;13;20;15;38;48;77
Waals Brabant;Parodontologie;9;2;7;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;2;0;2;0
