Territoire;Spécialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUS LES PHARMACIENS;20238;14288;5950;557;2136;1584;1447;1488;1504;1457;945;895;2275;137;591;458;416;478;489;524;486;497;1874
Région Flandre;TOUS LES PHARMACIENS;12028;8472;3556;413;1413;935;864;856;833;871;528;525;1234;90;347;236;216;274;254;304;286;332;1217
Région Wallonie;TOUS LES PHARMACIENS;6341;4513;1828;118;522;473;449;511;558;466;326;286;804;35;163;134;150;158;185;180;148;127;548
Région Région de Bruxelles-capitale;TOUS LES PHARMACIENS;1869;1303;566;26;201;176;134;121;113;120;91;84;237;12;81;88;50;46;50;40;52;38;109
Prov Brabant flamand;TOUS LES PHARMACIENS;2598;1881;717;64;254;201;215;215;194;192;135;123;288;12;65;65;47;64;61;72;73;61;197
Prov Flandre occidentale;TOUS LES PHARMACIENS;2152;1493;659;83;218;159;136;151;147;158;95;97;249;17;41;23;32;51;34;44;50;71;296
Prov Flandre orientale;TOUS LES PHARMACIENS;3075;2151;924;130;410;220;216;224;214;201;111;133;292;23;104;64;56;70;87;64;63;98;295
Prov Anvers;TOUS LES PHARMACIENS;3103;2180;923;101;385;260;224;189;206;237;150;125;303;21;102;62;57;68;53;98;83;81;298
Prov Limbourg;TOUS LES PHARMACIENS;1100;767;333;35;146;95;73;77;72;83;37;47;102;17;35;22;24;21;19;26;17;21;131
Prov Brabant wallon;TOUS LES PHARMACIENS;1089;795;294;6;72;77;80;103;107;76;66;60;148;3;23;14;23;31;38;30;22;21;89
Prov Hainaut;TOUS LES PHARMACIENS;1792;1257;535;33;153;118;120;153;156;134;108;79;203;10;48;41;52;49;50;57;46;52;130
Prov Liège;TOUS LES PHARMACIENS;2094;1468;626;48;182;150;144;132;183;148;87;86;308;11;66;55;40;46;64;53;53;32;206
Prov Namur;TOUS LES PHARMACIENS;966;709;257;22;82;91;74;86;78;75;53;49;99;9;20;16;26;18;20;31;19;19;79
Prov Luxembourg;TOUS LES PHARMACIENS;400;284;116;9;33;37;31;37;34;33;12;12;46;2;6;8;9;14;13;9;8;3;44
Prov Région de Bruxelles-capitale;TOUS LES PHARMACIENS;1869;1303;566;26;201;176;134;121;113;120;91;84;237;12;81;88;50;46;50;40;52;38;109
Belgique;SANS AGREMENT;18844;13138;5706;522;1913;1382;1279;1381;1398;1370;904;823;2166;132;551;415;401;458;476;503;470;479;1821
Belgique;PHARMACIE HOSPITALIERE;1394;1150;244;35;223;202;168;107;106;87;41;72;109;5;40;43;15;20;13;21;16;18;53
