Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Homme;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20
;;;Femme;Homme;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
Belgique;Toutes les spécialités;5272.0;2214;3058;165;355;344;353;339;226;155;277;177;234;221;290;333;359;363;1081
;Nucléaire in vitro;188.0;74;114;0;0;0;1;8;12;22;31;0;2;0;0;3;11;19;79
;"Réadaptation fonctionnelle et professionnelle
des handicapés";976.0;397;579;7;28;28;66;73;50;37;108;8;26;24;33;41;48;45;354
;Gériatrie;135.0;49;86;0;0;9;7;12;7;7;7;0;0;1;3;6;4;7;65
;Chirurgie orale et maxillo-faciale;249.0;66;183;9;15;14;7;12;2;3;4;16;26;22;24;20;19;20;36
;Soins intensifs;1135.0;390;745;38;96;69;56;61;37;15;18;82;96;76;73;85;92;97;144
;Neurologie pédiatrique;122.0;93;29;12;15;16;12;12;5;4;17;2;3;0;3;3;2;2;14
;Néphrologie;401.0;178;223;19;38;39;28;22;11;6;15;11;21;25;22;23;25;24;72
;Médecine d'urgence;517.0;155;362;7;18;22;26;29;24;9;20;11;17;24;44;58;61;45;102
;Endocrino-diabétologie;422.0;251;171;28;50;33;47;32;26;11;24;17;8;8;19;18;14;17;70
;Néonatologie;161.0;117;44;11;18;23;16;17;18;7;7;1;5;4;4;10;5;7;8
;Oncologie;367.0;153;214;9;36;36;35;21;5;9;2;8;15;13;28;30;36;35;49
;Hématologie et oncologie pédiatrique;54.0;41;13;5;4;8;6;3;3;7;5;1;1;1;2;3;2;1;2
;Hématologie clinique;215.0;114;101;19;29;16;19;12;10;4;5;18;10;5;13;9;13;13;20
;Gestion des données de santé;100.0;27;73;0;0;0;1;2;3;8;13;1;0;1;0;1;10;15;45
;Psychiatrie médico-légale;43.0;14;29;0;0;6;2;2;4;0;0;0;0;1;4;4;4;5;11
