territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64
Belgique;Toutes les spécialités;6222;3528;2694;331;2477;622;55;20;17;5;1;227;1853;536;47;14;12;3;1;1
Belgique;Gériatrie;121;95;26;8;51;33;2;0;1;0;0;1;13;12;0;0;0;0;0;0
Belgique;Médecine d'urgence;501;266;235;20;168;65;9;2;1;1;0;9;141;60;14;3;6;2;0;0
Belgique;Médecine légale;13;8;5;0;8;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
Belgique;Anesthésie-réanimation;678;285;393;29;207;40;7;2;0;0;0;36;264;82;8;1;2;0;0;0
Belgique;Chirurgie;386;188;198;17;131;38;1;0;1;0;0;19;137;38;3;1;0;0;0;0
Belgique;Neurochirurgie;73;25;48;1;18;6;0;0;0;0;0;6;28;14;0;0;0;0;0;0
Belgique;Chirurgie plastique, reconstructrice et esthétique;57;28;29;2;17;9;0;0;0;0;0;2;17;9;1;0;0;0;0;0
Belgique;Urologie;146;66;80;6;43;15;2;0;0;0;0;5;54;21;0;0;0;0;0;0
Belgique;Chirurgie orthopédique;290;86;204;8;52;26;0;0;0;0;0;12;143;43;4;1;1;0;0;0
Belgique;Neurologie;180;118;62;14;81;22;1;0;0;0;0;10;42;10;0;0;0;0;0;0
Belgique;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;149;126;23;11;85;28;1;1;0;0;0;3;15;5;0;0;0;0;0;0
Belgique;Psychiatrie, particulièrement en psychiatrie adulte;287;169;118;17;106;35;6;2;1;2;0;6;94;16;1;0;1;0;0;0
Belgique;Pneumologie;77;43;34;0;22;21;0;0;0;0;0;2;19;13;0;0;0;0;0;0
Belgique;Gastro-entérologie;98;58;40;2;30;24;1;1;0;0;0;0;20;20;0;0;0;0;0;0
Belgique;Cardiologie;129;52;77;0;26;26;0;0;0;0;0;2;36;38;1;0;0;0;0;0
Belgique;Médecine interne;872;477;395;64;377;31;2;3;0;0;0;55;292;42;4;2;0;0;0;0
Belgique;Rhumatologie;31;23;8;0;11;11;1;0;0;0;0;1;4;3;0;0;0;0;0;0
Belgique;Médecine aiguë;29;11;18;3;6;1;1;0;0;0;0;0;15;2;1;0;0;0;0;0
Belgique;Gynécologie-obstétrique;353;310;43;30;240;36;3;1;0;0;0;6;34;3;0;0;0;0;0;0
Belgique;Ophtalmologie;166;98;68;10;75;10;2;1;0;0;0;10;50;5;2;0;1;0;0;0
Belgique;Oto-rhino-laryngologie;139;90;49;4;72;13;0;0;1;0;0;5;37;7;0;0;0;0;0;0
Belgique;Stomatologie;76;27;49;5;22;0;0;0;0;0;0;4;33;12;0;0;0;0;0;0
Belgique;Dermato-vénéréologie;112;93;19;12;77;4;0;0;0;0;0;2;16;1;0;0;0;0;0;0
Belgique;Pédiatrie;477;401;76;43;302;53;3;0;0;0;0;9;56;11;0;0;0;0;0;0
Belgique;Médecine physique et réadaptation;121;63;58;9;45;6;1;1;1;0;0;2;46;10;0;0;0;0;0;0
Belgique;Biologie clinique;73;32;41;3;21;6;1;1;0;0;0;2;29;8;1;1;0;0;0;0
Belgique;Radiodiagnostic;278;100;178;7;75;15;1;1;1;0;0;10;149;17;2;0;0;0;0;0
Belgique;Radiothérapie - oncologie;52;25;27;0;20;5;0;0;0;0;0;2;17;7;0;1;0;0;0;0
Belgique;Médecine nucléaire;41;17;24;1;11;5;0;0;0;0;0;1;15;7;0;1;0;0;0;0
Belgique;Anatomie pathologique;69;45;24;3;37;5;0;0;0;0;0;2;18;2;1;1;0;0;0;0
Belgique;Oncologie médicale;65;42;23;1;21;20;0;0;0;0;0;1;10;11;1;0;0;0;0;0
Belgique;Génétique clinique;12;8;4;1;6;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0
Belgique;Médecine du travail;71;53;18;0;14;13;9;4;10;2;1;0;3;6;3;2;1;1;1;1
Région flamande;Toutes les spécialités;3217;1827;1390;202;1276;306;23;9;9;2;0;135;971;251;23;6;4;0;0;0
Région flamande;Gériatrie;46;36;10;1;19;16;0;0;0;0;0;0;3;7;0;0;0;0;0;0
Région flamande;Médecine d'urgence;212;114;98;10;73;29;1;1;0;0;0;7;59;24;6;1;1;0;0;0
Région flamande;Médecine légale;8;6;2;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Région flamande;Anesthésie-réanimation;349;147;202;18;110;14;4;1;0;0;0;24;140;32;4;1;1;0;0;0
Région flamande;Chirurgie;199;93;106;11;60;20;1;0;1;0;0;12;76;17;0;1;0;0;0;0
Région flamande;Neurochirurgie;41;13;28;1;9;3;0;0;0;0;0;4;16;8;0;0;0;0;0;0
Région flamande;Chirurgie plastique, reconstructrice et esthétique;34;15;19;1;10;4;0;0;0;0;0;1;11;6;1;0;0;0;0;0
Région flamande;Urologie;94;43;51;5;30;7;1;0;0;0;0;5;36;10;0;0;0;0;0;0
Région flamande;Chirurgie orthopédique;153;44;109;6;26;12;0;0;0;0;0;9;76;21;3;0;0;0;0;0
Région flamande;Neurologie;101;70;31;7;46;16;1;0;0;0;0;5;23;3;0;0;0;0;0;0
