territoire;spécialité;total;genre_femme;genre_homme;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Toutes les spécialités;4841;1972;2869;169;310;341;330;274;175;142;231;126;185;230;306;303;374;372;973
Belgique;Médecine nucléaire in vitro;203;80;123;0;0;0;4;11;19;24;22;0;2;0;2;6;17;27;69
Belgique;Réadaptation fonctionnelle et professionnelle des handicapés;983;387;596;7;27;38;67;74;38;31;105;7;21;30;31;45;56;55;351
Belgique;Gériatrie;140;49;91;0;0;9;12;12;5;6;5;0;0;2;5;4;6;10;64
Belgique;Chirurgie orale et maxillo - faciale;228;59;169;9;11;16;9;6;2;4;2;15;19;26;21;19;21;17;31
Belgique;Soins intensifs;1030;353;677;48;83;58;67;48;26;11;12;56;78;76;85;77;100;94;111
Belgique;Neurologie pédiatrique;109;83;26;9;12;19;13;6;4;3;17;1;2;1;2;4;1;3;12
Belgique;Néphrologie;391;169;222;29;31;39;27;15;10;7;11;14;24;22;23;21;24;23;71
Belgique;Médecine d'urgence;495;145;350;8;17;26;27;22;21;11;13;6;14;25;55;58;54;55;83
Belgique;Endocrino-diabétologie;386;221;165;23;41;44;33;32;15;14;19;8;4;12;21;20;15;17;68
Belgique;Néonatologie;152;108;44;6;22;20;16;22;10;7;5;2;6;3;7;6;6;7;7
Belgique;Oncologie;352;145;207;14;38;39;32;8;5;7;2;8;10;18;34;25;39;36;37
Belgique;Hématologie et oncologie pédiatrique;44;32;12;0;3;8;5;4;4;3;5;0;0;3;2;3;2;0;2
Belgique;Hématologie clinique;184;98;86;16;22;21;15;8;7;6;3;9;5;10;11;8;18;5;20
Belgique;Gestion de données de santé;103;29;74;0;0;0;1;4;6;8;10;0;0;1;1;4;10;20;38
Belgique;Psychiatrie médico-légale;41;14;27;0;3;4;2;2;3;0;0;0;0;1;6;3;5;3;9
Région flamande;Toutes les spécialités;2957;1228;1729;117;215;226;219;180;109;74;88;96;131;157;187;199;224;204;531
Région flamande;Médecine nucléaire in vitro;107;37;70;0;0;0;4;7;11;9;6;0;1;0;2;6;10;16;35
Région flamande;Réadaptation fonctionnelle et professionnelle des handicapés;620;253;367;7;24;31;49;56;27;15;44;7;20;24;19;29;39;26;203
Région flamande;Gériatrie;95;34;61;0;0;9;9;7;3;3;3;0;0;2;4;2;3;9;41
Région flamande;Chirurgie orale et maxillo - faciale;167;36;131;5;10;9;6;3;0;2;1;12;15;23;17;13;16;13;22
Région flamande;Soins intensifs;686;267;419;41;58;45;54;37;20;7;5;46;52;53;54;50;53;54;57
Région flamande;Neurologie pédiatrique;61;45;16;6;7;10;7;5;2;2;6;0;1;0;2;4;1;2;6
Région flamande;Néphrologie;211;92;119;17;18;23;15;8;3;6;2;6;16;14;14;11;13;10;35
Région flamande;Médecine d'urgence;282;84;198;7;15;16;18;13;7;3;5;4;10;20;32;38;29;30;35
Région flamande;Endocrino-diabétologie;194;117;77;10;28;24;13;15;11;9;7;7;2;5;10;9;9;3;32
Région flamande;Néonatologie;81;55;26;4;12;8;5;12;9;3;2;1;3;1;3;4;5;5;4
Région flamande;Oncologie;251;111;140;10;30;29;23;7;5;6;1;7;7;9;22;19;28;22;26
