Gebied;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Man;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
Alle paramedici;België;76856.0;65199;11657;6847;12346;10497;7728;6454;4854;4296;4653;4016;3508;1064;2344;1807;1165;971;875;717;844;861;1009
;Vlaams Gewest;47390.0;40460;6930;4814;8238;6700;4743;3810;2891;2469;2747;2289;1759;738;1476;1026;605;552;491;398;492;509;643
;Waals Gewest;24286.0;20464;3822;1541;3102;3010;2504;2275;1716;1609;1682;1531;1494;266;661;616;444;335;318;266;301;301;314
;"Brussels
Hoofdstedelijk
Gewest";5180.0;4275;905;492;1006;787;481;369;247;218;224;196;255;60;207;165;116;84;66;53;51;51;52
;Vlaams Brabant;7938.0;6583;1355;663;1284;1055;794;653;484;426;455;432;337;130;257;188;109;109;103;79;114;133;133
;West-Vlaanderen;9669.0;8223;1446;1033;1604;1364;966;794;588;466;591;464;353;124;295;201;136;101;115;95;114;104;161
;Oost-Vlaanderen;11602.0;9987;1615;1212;2127;1680;1105;926;698;626;614;541;458;186;363;235;141;149;109;91;103;95;143
;Antwerpen;12173.0;10475;1698;1363;2249;1674;1211;915;707;611;714;597;434;210;368;262;149;133;100;97;113;122;144
;Limburg;6008.0;5192;816;543;974;927;667;522;414;340;373;255;177;88;193;140;70;60;64;36;48;55;62
;Waals Brabant;2830.0;2367;463;141;329;294;299;266;209;194;216;206;213;21;53;71;63;50;37;45;34;43;46
;Henegouwen;8450.0;6928;1522;532;1107;1035;828;743;595;563;556;482;487;148;291;245;182;123;105;95;101;107;125
;Luik;7709.0;6668;1041;488;996;1004;811;733;540;535;542;535;484;54;197;161;122;87;103;67;79;82;89
;Namen;3632.0;3027;605;220;438;473;386;362;244;221;250;220;213;26;93;105;65;56;61;46;66;49;38
;Luxemburg;1665.0;1474;191;160;232;204;180;171;128;96;118;88;97;17;27;34;12;19;12;13;21;20;16
;"Brussels
Hoofdstedelijk
Gewest";5180.0;4275;905;492;1006;787;481;369;247;218;224;196;255;60;207;165;116;84;66;53;51;51;52
"Farmaceutisch-technisch
assistent";België;14860.0;12992;1868;1585;1934;1823;1373;1244;1017;1210;1035;851;920;362;409;358;181;111;119;89;72;71;96
;Vlaams Gewest;7697.0;6564;1133;928;1062;919;617;583;456;617;534;436;412;222;266;218;95;67;59;50;47;41;68
;Waals Gewest;6026.0;5439;587;495;687;716;631;559;504;539;452;386;470;114;113;115;71;33;45;27;21;25;23
;"Brussels
Hoofdstedelijk
Gewest";1137.0;989;148;162;185;188;125;102;57;54;49;29;38;26;30;25;15;11;15;12;4;5;5
;Vlaams Brabant;1227.0;997;230;118;168;146;113;96;60;96;78;66;56;54;49;37;18;9;13;10;17;13;10
;West-Vlaanderen;1349.0;1172;177;150;154;142;94;108;84;126;118;99;97;28;34;31;17;16;13;10;4;9;15
;Oost-Vlaanderen;1450.0;1228;222;167;223;182;93;97;86;119;103;77;81;33;65;39;13;17;11;11;10;9;14
;Antwerpen;2396.0;2040;356;385;346;258;173;159;125;168;158;135;133;92;94;71;27;15;13;14;12;7;11
;Limburg;1275.0;1127;148;108;171;191;144;123;101;108;77;59;45;15;24;40;20;10;9;5;4;3;18
;Waals Brabant;303.0;267;36;11;25;23;22;21;25;36;34;31;39;3;5;4;3;2;5;2;1;5;6
;Henegouwen;2310.0;2057;253;188;262;270;216;186;181;225;185;146;198;69;51;38;26;18;17;10;7;10;7
;Luik;2046.0;1878;168;160;232;252;245;210;186;170;151;128;144;22;31;32;27;7;15;10;9;7;8
;Namen;933.0;839;94;75;118;128;101;100;76;78;54;52;57;11;19;34;10;3;7;5;4;1;0
;Luxemburg;434.0;398;36;61;50;43;47;42;36;30;28;29;32;9;7;7;5;3;1;0;0;2;2
;"Brussels
Hoofdstedelijk
Gewest";1137.0;989;148;162;185;188;125;102;57;54;49;29;38;26;30;25;15;11;15;12;4;5;5
Audioloog;België;1607.0;1410;197;193;501;329;129;74;57;51;28;27;21;17;51;44;16;11;17;8;12;9;12
;Vlaams Gewest;1363.0;1257;106;168;462;311;118;69;47;35;18;15;14;11;26;30;7;6;9;4;6;2;5
;Waals Gewest;154.0;96;58;13;19;6;7;3;10;13;7;12;6;3;10;10;6;3;5;3;5;7;6
;"Brussels
Hoofdstedelijk
Gewest";90.0;57;33;12;20;12;4;2;0;3;3;0;1;3;15;4;3;2;3;1;1;0;1
;Vlaams Brabant;193.0;177;16;21;70;38;19;12;6;6;3;1;1;1;4;3;0;1;2;2;1;1;1
;West-Vlaanderen;313.0;284;29;47;101;74;31;12;7;3;4;4;1;1;8;9;2;1;4;0;2;0;2
;Oost-Vlaanderen;391.0;351;40;40;139;95;24;21;11;12;4;2;3;6;9;13;4;3;2;1;1;1;0
;Antwerpen;361.0;343;18;49;122;78;31;19;17;9;6;7;5;3;4;5;1;1;1;1;0;0;2
;Limburg;105.0;102;3;11;30;26;13;5;6;5;1;1;4;0;1;0;0;0;0;0;2;0;0
;Waals Brabant;37.0;20;17;0;5;0;3;1;3;4;3;0;1;2;1;3;2;0;1;1;1;4;2
;Henegouwen;58.0;40;18;6;9;3;2;1;4;4;1;6;4;1;5;1;2;2;1;1;1;1;3
;Luik;23.0;13;10;3;3;1;1;0;2;2;1;0;0;0;2;3;2;0;2;0;0;0;1
;Namen;31.0;20;11;4;1;2;1;0;1;2;2;6;1;0;2;3;0;0;1;1;2;2;0
;Luxemburg;5.0;3;2;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
;"Brussels
Hoofdstedelijk
Gewest";90.0;57;33;12;20;12;4;2;0;3;3;0;1;3;15;4;3;2;3;1;1;0;1
Logopedist;België;16806.0;16295;511;1333;2931;2660;1924;1705;1467;1061;1151;1075;988;18;26;24;21;31;35;27;70;82;177
;Vlaams Gewest;9587.0;9293;294;818;1704;1618;1168;999;876;553;597;528;432;13;10;8;9;15;24;9;39;49;118
;Waals Gewest;5997.0;5814;183;395;923;812;647;619;517;451;494;489;467;2;11;8;9;15;11;17;27;29;54
;"Brussels
Hoofdstedelijk
Gewest";1222.0;1188;34;120;304;230;109;87;74;57;60;58;89;3;5;8;3;1;0;1;4;4;5
;Vlaams Brabant;1624.0;1587;37;114;286;277;218;175;161;83;81;102;90;1;2;3;1;1;3;1;2;14;9
;West-Vlaanderen;2042.0;1957;85;198;327;329;254;216;203;111;143;103;73;2;2;0;1;2;7;0;17;15;39
;Oost-Vlaanderen;2672.0;2593;79;227;508;441;318;293;224;157;143;153;129;4;5;2;3;8;7;5;12;4;29
;Antwerpen;2305.0;2239;66;215;429;408;263;217;198;138;144;120;107;4;1;2;2;3;6;1;7;10;30
;Limburg;944.0;917;27;64;154;163;115;98;90;64;86;50;33;2;0;1;2;1;1;2;1;6;11
;Waals Brabant;865.0;841;24;55;122;90;119;77;82;65;64;74;93;0;4;0;2;3;3;5;1;0;6
;Henegouwen;1667.0;1600;67;111;269;238;159;162;161;128;129;126;117;1;5;5;4;2;0;6;11;15;18
;Luik;2062.0;2008;54;132;314;275;209;212;164;176;170;197;159;0;2;2;1;3;6;5;11;7;17
;Namen;869.0;840;29;61;133;142;95;98;66;46;76;63;60;0;0;0;1;6;1;1;3;5;12
;Luxemburg;534.0;525;9;36;85;67;65;70;44;36;55;29;38;1;0;1;1;1;1;0;1;2;1
;"Brussels
Hoofdstedelijk
Gewest";1222.0;1188;34;120;304;230;109;87;74;57;60;58;89;3;5;8;3;1;0;1;4;4;5
Orthoptist-optometrist;België;1120.0;764;356;82;147;123;96;63;62;83;58;33;17;8;37;33;45;46;44;47;49;36;11
;Vlaams Gewest;996.0;670;326;70;129;109;86;55;51;75;53;30;12;5;35;29;40;40;42;44;47;33;11
;Waals Gewest;78.0;59;19;9;10;8;6;4;6;6;4;2;4;3;0;0;2;6;1;2;2;3;0
;"Brussels
Hoofdstedelijk
Gewest";46.0;35;11;3;8;6;4;4;5;2;1;1;1;0;2;4;3;0;1;1;0;0;0
;Vlaams Brabant;176.0;113;63;7;21;19;13;8;11;13;9;7;5;2;8;6;8;9;5;6;10;7;2
