territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Tous les paramédicaux;66488;57890;8598;6394;11378;9044;6678;5735;3982;4394;4412;3614;2259;970;1886;1205;829;672;516;513;671;688;648
Région flamande;Tous les paramédicaux;39917;35323;4594;4533;7480;5570;3938;3394;2276;2534;2531;2024;1043;658;1110;578;417;301;224;212;325;381;388
Région wallonne;Tous les paramédicaux;21790;18606;3184;1472;2923;2715;2282;2012;1482;1653;1643;1392;1032;246;585;489;315;288;235;254;291;260;221
Région de Bruxelles Capitale;Tous les paramédicaux;4781;3961;820;389;975;759;458;329;224;207;238;198;184;66;191;138;97;83;57;47;55;47;39
Brabant flamand;Tous les paramédicaux;6690;5721;969;672;1126;843;688;547;391;418;446;388;202;113;215;102;81;65;55;58;91;108;81
Flandre occidentale;Tous les paramédicaux;8189;7240;949;941;1554;1133;803;711;439;523;539;394;203;142;204;116;83;55;54;53;60;80;102
Flandre orientale;Tous les paramédicaux;9768;8693;1075;1118;1887;1396;947;832;552;604;564;515;278;143;264;135;108;85;45;53;78;75;89
Anvers;Tous les paramédicaux;10175;9116;1059;1282;1974;1410;956;831;563;648;671;524;257;175;263;147;99;60;47;39;66;85;78
Limbourg;Tous les paramédicaux;5095;4553;542;520;939;788;544;473;331;341;311;203;103;85;164;78;46;36;23;9;30;33;38
Brabant Wallon;Tous les paramédicaux;2519;2146;373;133;304;285;256;231;197;185;216;189;150;13;52;64;32;38;37;36;33;38;30
Hainaut;Tous les paramédicaux;7547;6311;1236;540;1043;866;766;679;523;556;543;470;325;123;242;197;128;93;75;89;101;98;90
Liège;Tous les paramédicaux;6953;6063;890;436;932;949;734;641;463;559;543;459;347;69;172;130;90;83;73;60;79;69;65
Namur;Tous les paramédicaux;3322;2786;536;233;424;435;366;297;205;248;239;199;140;28;96;77;50;65;38;55;63;38;26
Luxembourg;Tous les paramédicaux;1449;1300;149;130;220;180;160;164;94;105;102;75;70;13;23;21;15;9;12;14;15;17;10
Région de Bruxelles Capitale;Tous les paramédicaux;4781;3961;820;389;975;759;458;329;224;207;238;198;184;66;191;138;97;83;57;47;55;47;39
Belgique;Assistant pharmaceutico-technique;13414;11748;1666;1467;1782;1599;1221;1072;1059;1129;983;786;650;363;408;253;145;95;115;78;76;59;74
Région flamande;Assistant pharmaceutico-technique;6822;5820;1002;846;951;739;543;488;493;576;520;382;282;230;260;135;83;54;63;42;46;39;50
Région wallonne;Assistant pharmaceutico-technique;5513;4985;528;487;623;678;557;500;517;495;420;374;334;107;117;98;49;30;40;27;24;15;21
Région de Bruxelles Capitale;Assistant pharmaceutico-technique;1079;943;136;134;208;182;121;84;49;58;43;30;34;26;31;20;13;11;12;9;6;5;3
Brabant flamand;Assistant pharmaceutico-technique;1076;877;199;135;125;104;102;74;80;87;77;56;37;48;52;17;14;11;17;8;14;10;8
Flandre occidentale;Assistant pharmaceutico-technique;1185;1028;157;122;147;98;83;97;91;126;114;86;64;29;36;18;16;12;16;5;7;8;10
Flandre orientale;Assistant pharmaceutico-technique;1291;1097;194;170;197;132;90;79;93;107;102;69;58;45;49;23;16;11;8;14;11;5;12
Anvers;Assistant pharmaceutico-technique;2110;1795;315;305;316;225;147;135;131;161;163;121;91;91;90;53;20;12;14;10;9;9;7
Limbourg;Assistant pharmaceutico-technique;1160;1023;137;114;166;180;121;103;98;95;64;50;32;17;33;24;17;8;8;5;5;7;13
Brabant Wallon;Assistant pharmaceutico-technique;272;241;31;13;18;19;16;22;29;35;31;32;26;3;4;4;1;3;4;1;3;3;5
Hainaut;Assistant pharmaceutico-technique;2135;1916;219;199;242;241;193;174;204;200;168;156;139;59;46;35;20;13;15;10;9;6;6
Liège;Assistant pharmaceutico-technique;1840;1687;153;149;197;252;210;178;179;153;154;107;108;22;34;27;17;6;15;12;7;5;8
Namur;Assistant pharmaceutico-technique;892;795;97;83;124;121;100;80;77;76;44;53;37;17;30;24;6;7;5;4;4;0;0
Luxembourg;Assistant pharmaceutico-technique;374;346;28;43;42;45;38;46;28;31;23;26;24;6;3;8;5;1;1;0;1;1;2
Région de Bruxelles Capitale;Assistant pharmaceutico-technique;1079;943;136;134;208;182;121;84;49;58;43;30;34;26;31;20;13;11;12;9;6;5;3
Belgique;Audiologue;1365;1195;170;185;465;227;90;79;41;41;34;24;9;18;48;25;15;9;16;9;14;7;9
Région flamande;Audiologue;1158;1067;91;169;433;213;82;70;31;29;20;15;5;9;26;20;7;6;9;3;5;3;3
Région wallonne;Audiologue;135;84;51;10;16;5;3;8;7;11;12;9;3;3;11;5;4;1;5;5;8;4;5
Région de Bruxelles Capitale;Audiologue;72;44;28;6;16;9;5;1;3;1;2;0;1;6;11;0;4;2;2;1;1;0;1
Brabant flamand;Audiologue;171;157;14;30;62;26;17;8;5;5;3;1;0;0;3;3;1;1;2;2;1;0;1
Flandre occidentale;Audiologue;274;246;28;36;116;49;19;13;3;4;4;2;0;5;8;5;3;1;3;1;0;0;2
Flandre orientale;Audiologue;316;284;32;47;119;57;16;20;10;8;3;3;1;3;11;8;2;4;2;0;1;1;0
Anvers;Audiologue;308;294;14;49;107;59;23;22;8;9;8;7;2;1;3;4;1;0;2;0;1;2;0
Limbourg;Audiologue;89;86;3;7;29;22;7;7;5;3;2;2;2;0;1;0;0;0;0;0;2;0;0
Brabant Wallon;Audiologue;35;19;16;1;5;1;1;1;3;4;2;0;1;0;3;4;0;0;1;1;3;3;1
Hainaut;Audiologue;46;33;13;4;6;3;0;3;2;4;3;6;2;2;1;0;2;1;1;1;1;1;3
Liège;Audiologue;22;13;9;4;2;1;1;2;1;1;1;0;0;1;4;0;1;0;2;0;0;0;1
Namur;Audiologue;28;17;11;1;3;0;1;1;0;2;6;3;0;0;3;1;0;0;1;2;4;0;0
Luxembourg;Audiologue;4;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Région de Bruxelles Capitale;Audiologue;72;44;28;6;16;9;5;1;3;1;2;0;1;6;11;0;4;2;2;1;1;0;1
Belgique;Logopède;15575;15074;501;1273;2919;2370;1690;1763;1148;1095;1183;919;714;6;29;23;25;34;26;47;70;95;146
Région flamande;Logopède;8894;8604;290;822;1743;1440;980;1056;640;594;580;460;289;3;12;7;13;21;13;20;43;59;99
Région wallonne;Logopède;5576;5397;179;368;891;721;607;617;446;459;526;405;357;2;10;8;11;11;12;27;22;34;42
Région de Bruxelles Capitale;Logopède;1105;1073;32;83;285;209;103;90;62;42;77;54;68;1;7;8;1;2;1;0;5;2;5
Brabant flamand;Logopède;1490;1454;36;136;271;248;168;193;106;88;92;90;62;1;5;0;2;1;3;1;8;8;7
Flandre occidentale;Logopède;1898;1814;84;172;354;317;204;235;146;126;127;83;50;1;0;1;0;5;4;8;14;16;35
Flandre orientale;Logopède;2491;2414;77;228;514;386;293;295;171;154;143;141;89;0;6;2;7;8;2;7;13;13;19
Anvers;Logopède;2126;2060;66;219;435;354;219;221;147;146;144;106;69;1;1;2;2;6;2;4;6;16;26
Limbourg;Logopède;889;862;27;67;169;135;96;112;70;80;74;40;19;0;0;2;2;1;2;0;2;6;12
Brabant Wallon;Logopède;809;786;23;50;116;93;100;87;82;52;72;63;71;1;2;1;2;1;5;3;2;2;4
Hainaut;Logopède;1536;1473;63;98;263;196;146;177;130;128;138;112;85;0;4;2;4;1;0;12;11;14;15
Liège;Logopède;1944;1884;60;119;299;265;207;201;146;181;184;157;125;0;4;4;3;4;6;8;7;11;13
Namur;Logopède;797;771;26;61;126;118;91;87;47;58;87;49;47;1;0;0;1;4;0;3;2;6;9
Luxembourg;Logopède;490;483;7;40;87;49;63;65;41;40;45;24;29;0;0;1;1;1;1;1;0;1;1
Région de Bruxelles Capitale;Logopède;1105;1073;32;83;285;209;103;90;62;42;77;54;68;1;7;8;1;2;1;0;5;2;5
Belgique;Orthoptiste-optométriste;374;309;65;51;73;56;30;23;17;22;20;5;12;9;15;11;16;8;1;3;2;0;0
Région flamande;Orthoptiste-optométriste;318;266;52;45;67;48;27;20;12;18;18;3;8;7;11;9;15;5;1;3;1;0;0
Région wallonne;Orthoptiste-optométriste;29;23;6;3;1;4;2;1;4;2;1;2;3;1;1;1;0;2;0;0;1;0;0
Région de Bruxelles Capitale;Orthoptiste-optométriste;27;20;7;3;5;4;1;2;1;2;1;0;1;1;3;1;1;1;0;0;0;0;0
Brabant flamand;Orthoptiste-optométriste;56;48;8;7;14;7;7;4;0;2;3;1;3;2;3;0;2;0;0;1;0;0;0
Flandre occidentale;Orthoptiste-optométriste;68;55;13;12;7;8;3;5;5;7;6;0;2;4;3;1;2;2;0;1;0;0;0
Flandre orientale;Orthoptiste-optométriste;74;66;8;7;16;15;8;6;3;5;4;1;1;0;0;3;3;1;1;0;0;0;0
Anvers;Orthoptiste-optométriste;79;63;16;10;20;11;7;3;4;3;4;1;0;0;4;5;4;1;0;1;1;0;0
Limbourg;Orthoptiste-optométriste;41;34;7;9;10;7;2;2;0;1;1;0;2;1;1;0;4;1;0;0;0;0;0
Brabant Wallon;Orthoptiste-optométriste;8;5;3;0;1;1;0;1;1;0;0;1;0;0;0;1;0;2;0;0;0;0;0
Hainaut;Orthoptiste-optométriste;5;5;0;0;0;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Liège;Orthoptiste-optométriste;10;9;1;2;0;2;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0
Namur;Orthoptiste-optométriste;3;3;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Luxembourg;Orthoptiste-optométriste;3;1;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
Région de Bruxelles Capitale;Orthoptiste-optométriste;27;20;7;3;5;4;1;2;1;2;1;0;1;1;3;1;1;1;0;0;0;0;0
Belgique;Podologue;885;605;280;106;171;101;81;68;26;22;16;9;5;56;84;39;41;21;16;10;6;6;1
Région flamande;Podologue;616;445;171;93;140;74;52;50;17;6;4;6;3;53;62;17;17;9;8;2;0;3;0
Région wallonne;Podologue;172;98;74;7;15;20;19;12;3;12;7;2;1;1;15;11;21;10;6;5;3;2;0
Région de Bruxelles Capitale;Podologue;97;62;35;6;16;7;10;6;6;4;5;1;1;2;7;11;3;2;2;3;3;1;1
Brabant flamand;Podologue;78;52;26;9;11;13;8;3;1;2;2;1;2;4;10;2;5;1;2;1;0;1;0
Flandre occidentale;Podologue;188;152;36;42;48;26;15;16;3;1;1;0;0;15;10;3;5;2;0;1;0;0;0
Flandre orientale;Podologue;251;176;75;33;66;21;19;20;9;3;1;4;0;28;29;9;5;1;3;0;0;0;0
Anvers;Podologue;64;43;21;7;14;8;6;4;2;0;0;1;1;3;9;1;2;4;2;0;0;0;0
Limbourg;Podologue;35;22;13;2;1;6;4;7;2;0;0;0;0;3;4;2;0;1;1;0;0;2;0
Brabant Wallon;Podologue;49;24;25;0;6;6;3;2;1;5;1;0;0;1;3;2;7;4;4;3;1;0;0
Hainaut;Podologue;56;32;24;3;4;7;7;6;1;1;1;1;1;0;6;3;9;2;1;0;1;2;0
Liège;Podologue;25;16;9;0;1;4;1;1;1;4;3;1;0;0;1;3;0;2;1;1;1;0;0
Namur;Podologue;27;17;10;0;4;3;4;3;0;1;2;0;0;0;4;1;3;2;0;0;0;0;0
Luxembourg;Podologue;15;9;6;4;0;0;4;0;0;1;0;0;0;0;1;2;2;0;0;1;0;0;0
Région de Bruxelles Capitale;Podologue;97;62;35;6;16;7;10;6;6;4;5;1;1;2;7;11;3;2;2;3;3;1;1
Belgique;Ergothérapeute;12268;11012;1256;1540;2380;1893;1519;1240;554;480;720;514;172;160;324;156;119;139;61;45;85;88;79
Région flamande;Ergothérapeute;9189;8251;938;1295;1819;1418;1062;847;431;358;532;388;101;138;252;113;89;81;32;33;66;73;61
Région wallonne;Ergothérapeute;2452;2210;242;182;402;391;392;340;96;101;153;95;58;14;48;33;23;45;25;10;16;14;14
Région de Bruxelles Capitale;Ergothérapeute;627;551;76;63;159;84;65;53;27;21;35;31;13;8;24;10;7;13;4;2;3;1;4
Brabant flamand;Ergothérapeute;1041;933;108;136;214;141;125;94;58;36;64;55;10;13;34;16;10;11;3;4;5;8;4
Flandre occidentale;Ergothérapeute;2240;1977;263;304;415;324;270;209;101;96;140;87;31;36;60;33;25;19;8;12;19;27;24
Flandre orientale;Ergothérapeute;2412;2159;253;330;481;374;275;203;94;98;141;125;38;27;54;31;29;23;12;11;24;22;20
Anvers;Ergothérapeute;2089;1925;164;327;436;337;231;196;100;71;123;88;16;31;52;11;17;12;5;4;13;10;9
Limbourg;Ergothérapeute;1407;1257;150;198;273;242;161;145;78;57;64;33;6;31;52;22;8;16;4;2;5;6;4
Brabant Wallon;Ergothérapeute;327;300;27;24;51;48;46;47;9;10;31;22;12;1;3;4;0;9;1;2;2;2;3
Hainaut;Ergothérapeute;868;771;97;75;162;124;136;113;35;32;55;26;13;8;18;17;8;15;11;3;8;4;5
Liège;Ergothérapeute;729;646;83;38;117;127;120;105;30;30;38;25;16;2;18;11;11;14;7;4;4;7;5
Namur;Ergothérapeute;365;338;27;34;35;62;58;56;16;22;22;18;15;1;6;1;4;6;4;1;2;1;1
Luxembourg;Ergothérapeute;163;155;8;11;37;30;32;19;6;7;7;4;2;2;3;0;0;1;2;0;0;0;0
Région de Bruxelles Capitale;Ergothérapeute;627;551;76;63;159;84;65;53;27;21;35;31;13;8;24;10;7;13;4;2;3;1;4
Belgique;Diéteticien;6370;5898;472;712;1484;1096;684;440;335;359;324;242;222;61;147;83;40;34;22;19;21;22;23
Région flamande;Diéteticien;3954;3668;286;499;952;652;400;228;192;213;215;174;143;37;99;53;26;13;11;9;6;15;17
Région wallonne;Diéteticien;1956;1812;144;183;422;329;227;182;124;128;96;57;64;21;35;21;10;17;11;9;10;6;4
Région de Bruxelles Capitale;Diéteticien;460;418;42;30;110;115;57;30;19;18;13;11;15;3;13;9;4;4;0;1;5;1;2
Brabant flamand;Diéteticien;794;742;52;96;186;137;79;51;41;40;46;36;30;5;19;4;7;4;1;2;3;2;5
Flandre occidentale;Diéteticien;747;678;69;105;179;118;76;35;27;39;34;38;27;9;16;14;5;2;5;3;1;7;7
Flandre orientale;Diéteticien;867;799;68;114;194;145;80;58;42;57;41;34;34;12;27;12;4;4;2;3;1;2;1
Anvers;Diéteticien;1119;1040;79;146;288;176;124;63;59;48;63;44;29;10;29;21;6;2;2;1;1;4;3
Limbourg;Diéteticien;427;409;18;38;105;76;41;21;23;29;31;22;23;1;8;2;4;1;1;0;0;0;1
Brabant Wallon;Diéteticien;309;294;15;28;60;50;39;29;22;22;18;12;14;2;5;3;0;0;3;0;1;1;0
Hainaut;Diéteticien;667;625;42;66;155;88;88;76;48;42;31;15;16;7;8;6;3;7;1;3;2;2;3
Liège;Diéteticien;604;547;57;44;125;111;67;44;32;46;31;27;20;9;15;4;5;7;7;4;5;1;0
Namur;Diéteticien;237;222;15;25;48;53;23;20;17;15;10;3;8;1;4;4;1;2;0;2;1;0;0
Luxembourg;Diéteticien;139;124;15;20;34;27;10;13;5;3;6;0;6;2;3;4;1;1;0;0;1;2;1
Région de Bruxelles Capitale;Diéteticien;460;418;42;30;110;115;57;30;19;18;13;11;15;3;13;9;4;4;0;1;5;1;2
Belgique;Audicien;1918;1547;371;184;465;322;198;159;54;68;39;30;28;18;48;33;26;32;26;22;35;33;98
Région flamande;Audicien;1557;1358;199;168;429;300;181;138;36;49;23;18;16;9;26;21;15;14;11;9;12;19;63
Région wallonne;Audicien;253;129;124;10;19;11;10;18;13;16;13;8;11;3;11;8;7;10;12;10;19;11;33
Région de Bruxelles Capitale;Audicien;108;60;48;6;17;11;7;3;5;3;3;4;1;6;11;4;4;8;3;3;4;3;2
Brabant flamand;Audicien;239;201;38;30;63;34;38;15;5;6;4;2;4;0;4;3;2;2;3;3;3;4;14
Flandre occidentale;Audicien;361;313;48;36;115;67;41;24;5;11;8;3;3;5;8;2;5;2;3;1;3;3;16
Flandre orientale;Audicien;434;367;67;47;113;85;38;40;11;14;7;8;4;3;10;10;5;8;2;4;2;5;18
Anvers;Audicien;392;361;31;48;107;84;48;42;12;10;3;2;5;1;3;6;3;0;2;1;0;5;10
Limbourg;Audicien;131;116;15;7;31;30;16;17;3;8;1;3;0;0;1;0;0;2;1;0;4;2;5
Brabant Wallon;Audicien;60;30;30;1;5;2;2;3;4;4;6;2;1;0;3;4;1;2;3;1;5;6;5
Hainaut;Audicien;67;34;33;4;7;4;2;6;3;4;1;2;1;2;1;2;2;3;2;2;6;3;10
Liège;Audicien;70;37;33;4;4;3;4;7;3;4;2;2;4;1;4;1;3;2;5;1;2;1;13
Namur;Audicien;43;22;21;1;3;2;1;0;1;4;4;2;4;0;3;1;0;2;2;4;5;1;3
Luxembourg;Audicien;13;6;7;0;0;0;1;2;2;0;0;0;1;0;0;0;1;1;0;2;1;0;2
Région de Bruxelles Capitale;Audicien;108;60;48;6;17;11;7;3;5;3;3;4;1;6;11;4;4;8;3;3;4;3;2
Belgique;Technologue de laboratoire médical;11627;8883;2744;699;1307;1102;1001;818;651;1028;930;965;382;234;561;405;294;221;182;195;260;256;136
Région flamande;Technologue de laboratoire médical;6388;5145;1243;488;760;552;519;467;388;651;579;558;183;155;281;149;113;78;66;68;121;137;75
Région wallonne;Technologue de laboratoire médical;4384;3134;1250;168;437;456;407;300;223;329;305;352;157;69;235;212;140;117;88;108;126;104;51
Région de Bruxelles Capitale;Technologue de laboratoire médical;855;604;251;43;110;94;75;51;40;48;46;55;42;10;45;44;41;26;28;19;13;15;10
Brabant flamand;Technologue de laboratoire médical;1421;1074;347;71;143;87;115;98;87;138;141;143;51;35;57;38;26;24;22;24;43;50;28
Flandre occidentale;Technologue de laboratoire médical;1092;875;217;92;141;112;78;74;53;109;100;90;26;36;54;31;17;9;14;17;15;17;7
Flandre orientale;Technologue de laboratoire médical;1394;1162;232;111;142;148;103;105;110;148;117;127;51;20;55;25;24;20;10;11;23;25;19
Anvers;Technologue de laboratoire médical;1680;1376;304;144;210;130;139;136;90;190;152;148;37;36;62;32;38;22;16;14;29;36;19
Limbourg;Technologue de laboratoire médical;801;658;143;70;124;75;84;54;48;66;69;50;18;28;53;23;8;3;4;2;11;9;2
Brabant Wallon;Technologue de laboratoire médical;505;366;139;10;38;53;43;31;39;45;41;47;19;2;20;31;15;11;12;16;12;15;5
Hainaut;Technologue de laboratoire médical;1694;1199;495;73;167;169;171;116;83;116;123;127;54;33;102;88;59;38;33;40;41;36;25
Liège;Technologue de laboratoire médical;1305;952;353;53;157;148;111;92;52;98;81;101;59;24;70;57;42;39;20;21;40;27;13
Namur;Technologue de laboratoire médical;687;468;219;20;60;63;71;46;38;51;41;57;21;7;34;32;22;28;19;24;28;18;7
Luxembourg;Technologue de laboratoire médical;193;149;44;12;15;23;11;15;11;19;19;20;4;3;9;4;2;1;4;7;5;8;1
Région de Bruxelles Capitale;Technologue de laboratoire médical;855;604;251;43;110;94;75;51;40;48;46;55;42;10;45;44;41;26;28;19;13;15;10
Belgique;Technologue en imagerie médicale;2629;1556;1073;139;317;275;162;70;96;149;163;120;65;45;222;177;108;79;51;85;102;122;82
