Territoire-Spécialité;Unnamed: 1;Unnamed: 2;Total;Genre;Unnamed: 5;Femme;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Homme;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
;;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
;Belgique;"Toutes les
sages-femmes";12828.0;12722;106;867;1983;2172;1447;1289;919;1011;1187;859;988;1;5;7;5;11;14;17;17;26;3
;Région flamande;"Toutes les
sages-femmes";8844.0;8777;67;674;1325;1463;1026;988;583;693;816;586;623;0;3;3;5;4;8;14;13;15;2
;Région wallonne;"Toutes les
sages-femmes";3163.0;3133;30;140;473;531;328;259;286;286;306;230;294;1;1;2;0;5;4;2;4;10;1
;"Région de Bruxelles
Capitale";"Toutes les
sages-femmes";821.0;812;9;53;185;178;93;42;50;32;65;43;71;0;1;2;0;2;2;1;0;1;0
;Brabant flamand;"Toutes les
sages-femmes";1677.0;1659;18;111;243;323;192;157;111;131;165;110;116;0;1;1;1;1;3;2;3;5;1
;Flandre occidentale;"Toutes les
sages-femmes";1741.0;1729;12;151;277;264;187;163;133;137;156;138;123;0;1;1;1;0;0;2;2;5;0
;Flandre orientale;"Toutes les
sages-femmes";1839.0;1822;17;143;302;335;230;250;116;152;135;90;69;0;0;1;0;2;2;7;4;1;0
;Anvers;"Toutes les
sages-femmes";2375.0;2362;13;158;341;363;275;285;149;182;237;165;207;0;1;0;3;1;1;2;2;2;1
;Limbourg;"Toutes les
sages-femmes";1212.0;1205;7;111;162;178;142;133;74;91;123;83;108;0;0;0;0;0;2;1;2;2;0
;Brabant Wallon;"Toutes les
sages-femmes";438.0;434;4;18;50;76;49;28;33;51;44;35;50;0;0;0;0;0;0;0;1;2;1
;Hainaut;"Toutes les
sages-femmes";950.0;939;11;33;137;149;101;76;104;99;94;77;69;0;1;0;0;1;1;2;1;5;0
;Liège;"Toutes les
sages-femmes";945.0;934;11;45;135;172;113;88;81;66;84;62;88;0;0;1;0;4;3;0;1;2;0
;Namur;"Toutes les
sages-femmes";557.0;555;2;30;93;100;46;44;41;45;55;34;67;1;0;0;0;0;0;0;1;0;0
;Luxembourg;"Toutes les
sages-femmes";273.0;271;2;14;58;34;19;23;27;25;29;22;20;0;0;1;0;0;0;0;0;1;0
;"Région de Bruxelles
Capitale";"Toutes les
sages-femmes";821.0;812;9;53;185;178;93;42;50;32;65;43;71;0;1;2;0;2;2;1;0;1;0
;Belgique;"Sans habilitation à
prescrire";11204.0;11107;97;594;1409;1879;1290;1178;842;965;1126;841;983;0;2;6;4;11;13;17;17;24;3
;Région flamande;"Sans habilitation à
prescrire";8041.0;7978;63;519;1080;1320;936;923;544;671;787;575;623;0;1;3;4;4;7;14;13;15;2
