territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;9415;8517;898;1190;1858;1571;1315;645;400;724;555;231;28;115;154;112;139;75;41;76;83;79;24
Région Flandre;6946;6301;645;963;1412;1144;871;489;301;529;438;143;11;93;106;81;82;43;33;56;71;63;17
Région Wallonie;1987;1785;202;146;346;362;390;127;82;161;91;66;14;16;36;24;44;28;6;18;11;14;5
Région Région de Bruxelles-capitale;482;431;51;81;100;65;54;29;17;34;26;22;3;6;12;7;13;4;2;2;1;2;2
Prov Brabant flamand;764;692;72;93;145;126;86;71;33;62;61;14;1;11;14;8;10;5;4;7;6;6;1
Prov Flandre occidentale;1743;1550;193;233;331;278;232;115;73;142;99;44;3;21;33;26;19;11;12;15;24;26;6
Prov Flandre orientale;1838;1649;189;246;370;287;220;113;93;135;130;52;3;19;24;29;22;15;10;23;22;17;8
Prov Anvers;1534;1432;102;225;320;281;189;110;52;119;108;25;3;21;11;11;17;5;5;8;12;11;1
Prov Limbourg;1067;978;89;166;246;172;144;80;50;71;40;8;1;21;24;7;14;7;2;3;7;3;1
Prov Brabant wallon;265;240;25;21;36;41;51;12;8;33;24;11;3;1;4;1;8;2;1;3;2;1;2
Prov Hainaut;679;602;77;56;123;109;141;47;32;51;22;20;1;6;18;7;16;10;3;7;4;5;1
Prov Liège;616;542;74;49;110;121;119;34;23;42;24;16;4;6;12;12;16;8;1;6;5;6;2
Prov Namur;299;277;22;9;46;59;59;25;14;27;18;14;6;2;2;4;4;5;1;2;0;2;0
Prov Luxembourg;128;124;4;11;31;32;20;9;5;8;3;5;0;1;0;0;0;3;0;0;0;0;0
Prov Région de Bruxelles-capitale;482;431;51;81;100;65;54;29;17;34;26;22;3;6;12;7;13;4;2;2;1;2;2
