Territoire;Spécialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;9018;4342;4676;38;437;370;354;473;448;606;759;481;376;18;209;184;216;220;242;647;1032;785;1123
Région Flandre;TOUTES SPECIALITES;5335;2581;2754;30;268;209;199;311;263;386;459;269;187;9;128;97;105;131;112;351;656;487;678
Région Wallonie;TOUTES SPECIALITES;2618;1242;1376;4;104;103;100;118;134;157;241;154;127;4;44;53;62;59;79;217;287;244;327
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;1065;519;546;4;65;58;55;44;51;63;59;58;62;5;37;34;49;30;51;79;89;54;118
Prov Brabant flamand;TOUTES SPECIALITES;1196;650;546;5;47;50;47;91;78;104;121;61;46;0;28;23;16;38;24;87;126;89;115
Prov Flandre occidentale;TOUTES SPECIALITES;989;447;542;7;56;41;37;54;42;46;75;49;40;3;15;12;19;16;16;46;135;112;168
Prov Flandre orientale;TOUTES SPECIALITES;1155;552;603;8;69;34;41;70;54;73;87;65;51;3;41;22;23;35;31;76;121;108;143
Prov Anvers;TOUTES SPECIALITES;1327;625;702;6;66;61;39;57;60;120;116;63;37;1;30;29;29;29;33;104;176;112;159
Prov Limbourg;TOUTES SPECIALITES;668;307;361;4;30;23;35;39;29;43;60;31;13;2;14;11;18;13;8;38;98;66;93
Prov Brabant wallon;TOUTES SPECIALITES;531;286;245;0;10;19;23;29;37;30;59;38;41;0;7;12;9;17;14;35;42;45;64
Prov Hainaut;TOUTES SPECIALITES;676;312;364;3;30;21;17;37;36;39;68;41;20;2;9;13;17;13;20;53;74;72;91
Prov Liège;TOUTES SPECIALITES;928;417;511;1;44;48;46;29;37;52;81;44;35;2;22;21;24;18;29;82;119;76;118
Prov Namur;TOUTES SPECIALITES;319;150;169;0;10;12;8;17;15;25;19;22;22;0;4;4;10;8;8;30;28;35;42
Prov Luxembourg;TOUTES SPECIALITES;164;77;87;0;10;3;6;6;9;11;14;9;9;0;2;3;2;3;8;17;24;16;12
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;1065;519;546;4;65;58;55;44;51;63;59;58;62;5;37;34;49;30;51;79;89;54;118
Belgique;DENTISTERIE GENERALE;8388;3934;4454;38;407;320;310;427;382;541;708;443;358;18;194;165;191;195;229;605;997;756;1104
Belgique;PARODONTOLOGIE;173;97;76;0;13;16;15;14;21;11;4;3;0;0;9;11;12;9;8;16;5;4;2
Belgique;ORTHODONTIE;457;311;146;0;17;34;29;32;45;54;47;35;18;0;6;8;13;16;5;26;30;25;17
Région Flandre;DENTISTERIE GENERALE;4936;2321;2615;30;246;179;175;283;222;341;422;245;178;9;116;85;89;118;100;328;632;469;669
Région Flandre;PARODONTOLOGIE;126;74;52;0;12;9;8;12;18;8;4;3;0;0;7;8;7;6;8;8;4;3;1
Région Flandre;ORTHODONTIE;273;186;87;0;10;21;16;16;23;37;33;21;9;0;5;4;9;7;4;15;20;15;8
Région Wallonie;DENTISTERIE GENERALE;2453;1132;1321;4;99;88;85;106;114;146;229;142;119;4;42;49;58;53;79;202;279;234;321
Région Wallonie;PARODONTOLOGIE;31;16;15;0;1;4;5;1;3;2;0;0;0;0;1;2;3;2;0;5;1;1;0
Région Wallonie;ORTHODONTIE;134;94;40;0;4;11;10;11;17;9;12;12;8;0;1;2;1;4;0;10;7;9;6
Région Région de Bruxelles-capitale;DENTISTERIE GENERALE;999;481;518;4;62;53;50;38;46;54;57;56;61;5;36;31;44;24;50;75;86;53;114
Région Région de Bruxelles-capitale;PARODONTOLOGIE;16;7;9;0;0;3;2;1;0;1;0;0;0;0;1;1;2;1;0;3;0;0;1
Région Région de Bruxelles-capitale;ORTHODONTIE;50;31;19;0;3;2;3;5;5;8;2;2;1;0;0;2;3;5;1;1;3;1;3
Prov Brabant flamand;DENTISTERIE GENERALE;1086;577;509;5;44;45;39;83;64;93;108;55;41;0;24;23;14;33;19;81;120;82;113
Prov Brabant flamand;PARODONTOLOGIE;36;20;16;0;2;2;1;4;6;1;2;2;0;0;2;0;1;2;4;3;2;1;1
Prov Brabant flamand;ORTHODONTIE;74;53;21;0;1;3;7;4;8;10;11;4;5;0;2;0;1;3;1;3;4;6;1
Prov Flandre occidentale;DENTISTERIE GENERALE;936;414;522;7;52;38;32;51;36;43;70;45;40;3;14;10;15;13;14;44;132;112;165
Prov Flandre occidentale;PARODONTOLOGIE;20;14;6;0;4;1;2;2;4;0;1;0;0;0;0;2;2;0;1;1;0;0;0
Prov Flandre occidentale;ORTHODONTIE;33;19;14;0;0;2;3;1;2;3;4;4;0;0;1;0;2;3;1;1;3;0;3
Prov Flandre orientale;DENTISTERIE GENERALE;1062;494;568;8;63;25;36;62;44;65;82;60;49;3;37;18;18;32;28;68;118;104;142
Prov Flandre orientale;PARODONTOLOGIE;30;18;12;0;3;4;1;3;6;1;0;0;0;0;2;3;2;2;2;1;0;0;0
Prov Flandre orientale;ORTHODONTIE;63;40;23;0;3;5;4;5;4;7;5;5;2;0;2;1;3;1;1;7;3;4;1
Prov Anvers;DENTISTERIE GENERALE;1226;557;669;6;57;51;36;50;51;103;110;57;36;1;27;24;27;27;32;97;171;107;156
Prov Anvers;PARODONTOLOGIE;30;16;14;0;3;2;3;2;1;4;0;1;0;0;3;3;0;2;0;3;1;2;0
