territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Toutes les spécialités;10295;5224;5071;24;531;655;448;334;515;475;571;710;961;16;238;411;242;247;250;241;534;996;1896
Belgique;Dentisterie générale;9512;4719;4793;24;506;578;395;290;459;412;500;661;894;16;226;365;215;219;228;224;500;955;1845
Belgique;Parodontologie;214;120;94;0;8;24;18;13;18;19;13;3;4;0;9;18;14;12;8;8;10;9;6
Belgique;Orthodontie;569;385;184;0;17;53;35;31;38;44;58;46;63;0;3;28;13;16;14;9;24;32;45
Région flamande;Toutes les spécialités;5964;3055;2909;13;272;369;263;192;333;290;363;421;539;8;111;198;127;113;149;110;284;611;1198
Région flamande;Dentisterie générale;5472;2729;2743;13;258;317;227;168;295;254;316;385;496;8;103;172;112;98;139;95;268;581;1167
Région flamande;Parodontologie;152;89;63;0;4;18;11;7;16;16;10;3;4;0;7;14;11;5;5;7;3;7;4
Région flamande;Orthodontie;340;237;103;0;10;34;25;17;22;20;37;33;39;0;1;12;4;10;5;8;13;23;27
Région wallonne;Toutes les spécialités;3001;1515;1486;9;166;163;132;92;138;137;144;228;306;6;68;101;52;86;70;85;180;291;547
Région wallonne;Dentisterie générale;2801;1384;1417;9;156;153;118;75;127;114;130;218;284;6;65;93;46;79;66;83;166;282;531
Région wallonne;Parodontologie;42;21;21;0;3;2;5;4;2;3;2;0;0;0;2;3;2;5;1;1;5;1;1
Région wallonne;Orthodontie;158;110;48;0;7;8;9;13;9;20;12;10;22;0;1;5;4;2;3;1;9;8;15
Région de Bruxelles Capitale;Toutes les spécialités;1330;654;676;2;93;123;53;50;44;48;64;61;116;2;59;112;63;48;31;46;70;94;151
Région de Bruxelles Capitale;Dentisterie générale;1239;606;633;2;92;108;50;47;37;44;54;58;114;2;58;100;57;42;23;46;66;92;147
Région de Bruxelles Capitale;Parodontologie;20;10;10;0;1;4;2;2;0;0;1;0;0;0;0;1;1;2;2;0;2;1;1
Région de Bruxelles Capitale;Orthodontie;71;38;33;0;0;11;1;1;7;4;9;3;2;0;1;11;5;4;6;0;2;1;3
Brabant flamand;Toutes les spécialités;1362;763;599;1;57;69;66;54;95;85;97;110;129;1;35;33;40;19;43;35;67;124;202
Brabant flamand;Dentisterie générale;1231;676;555;1;55;61;56;47;85;71;86;99;115;1;32;31;35;15;39;29;63;116;194
Brabant flamand;Parodontologie;42;22;20;0;1;2;4;0;5;6;1;1;2;0;3;2;4;2;1;4;1;2;1
Brabant flamand;Orthodontie;89;65;24;0;1;6;6;7;5;8;10;10;12;0;0;0;1;2;3;2;3;6;7
Flandre occidentale;Toutes les spécialités;1067;507;560;1;52;61;45;37;60;41;44;77;89;0;14;27;11;20;16;18;34;122;298
Flandre occidentale;Dentisterie générale;997;459;538;1;45;51;43;32;56;37;41;69;84;0;14;24;9;19;14;14;31;118;295
Flandre occidentale;Parodontologie;26;19;7;0;3;4;1;2;3;3;1;1;1;0;0;2;2;0;1;0;1;1;0
Flandre occidentale;Orthodontie;44;29;15;0;4;6;1;3;1;1;2;7;4;0;0;1;0;1;1;4;2;3;3
Flandre orientale;Toutes les spécialités;1316;680;636;4;68;98;46;33;80;65;72;76;138;4;28;62;23;20;39;22;69;111;258
Flandre orientale;Dentisterie générale;1195;602;593;4;66;82;36;28;67;57;62;70;130;4;26;50;19;16;37;19;64;105;253
Flandre orientale;Parodontologie;39;22;17;0;0;6;4;1;4;5;2;0;0;0;2;7;3;1;1;2;1;0;0
Flandre orientale;Orthodontie;82;56;26;0;2;10;6;4;9;3;8;6;8;0;0;5;1;3;1;1;4;6;5
Anvers;Toutes les spécialités;1483;747;736;3;68;97;76;39;57;66;113;105;123;3;22;54;34;35;35;30;84;168;271
Anvers;Dentisterie générale;1366;667;699;3;66;84;65;34;48;59;95;99;114;3;20;49;31;32;33;29;80;162;260
Anvers;Parodontologie;33;19;14;0;0;5;2;4;2;1;4;0;1;0;1;2;2;1;2;0;0;3;3
Anvers;Orthodontie;84;61;23;0;2;8;9;1;7;6;14;6;8;0;1;3;1;2;0;1;4;3;8
Limbourg;Toutes les spécialités;736;358;378;4;27;44;30;29;41;33;37;53;60;0;12;22;19;19;16;5;30;86;169
Limbourg;Dentisterie générale;683;325;358;4;26;39;27;27;39;30;32;48;53;0;11;18;18;16;16;4;30;80;165
Limbourg;Parodontologie;12;7;5;0;0;1;0;0;2;1;2;1;0;0;1;1;0;1;0;1;0;1;0
Limbourg;Orthodontie;41;26;15;0;1;4;3;2;0;2;3;4;7;0;0;3;1;2;0;0;0;5;4
Brabant Wallon;Toutes les spécialités;629;364;265;0;27;41;25;22;38;37;32;50;92;0;7;18;12;19;18;17;30;39;105
Brabant Wallon;Dentisterie générale;577;331;246;0;27;37;23;20;33;29;27;50;85;0;7;16;10;17;17;17;27;37;98
