territoire;spécialité;total;genre_femme;genre_homme;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Toutes les spécialités;30750;13602;17148;37;1738;2000;1775;1950;1716;1375;1053;1958;12;1198;1236;1266;1580;1565;1925;2077;6289
Belgique;Gériatrie;408;269;139;0;50;47;43;39;43;20;15;12;0;8;11;12;11;10;11;22;54
Belgique;Médecine d'urgence;366;182;184;0;64;72;21;13;7;3;2;0;0;60;50;25;21;16;6;3;3
Belgique;Médecine légale;16;6;10;0;2;2;0;2;0;0;0;0;0;1;3;2;0;0;0;1;3
Belgique;Gestion des données de santé;57;22;35;0;0;0;0;1;4;6;7;4;0;0;0;1;1;4;10;8;11
Belgique;Anesthésie-réanimation;2903;1199;1704;3;151;202;149;166;158;117;63;190;2;223;168;171;188;209;194;190;359
Belgique;Chirurgie;1829;415;1414;0;61;75;65;66;47;28;28;45;0;65;105;117;130;127;163;163;544
Belgique;Neurochirurgie;260;37;223;0;7;11;1;4;8;5;1;0;0;20;24;26;32;28;20;21;52
Belgique;Chirurgie plastique, reconstructive et esthétique;301;81;220;0;8;19;9;11;6;7;11;10;0;16;16;36;19;27;36;17;53
Belgique;Urologie;540;90;450;0;20;18;18;14;8;5;5;2;0;36;49;37;53;42;46;40;147
Belgique;Orthopédie;1322;159;1163;0;35;23;26;18;21;14;8;14;0;78;116;102;129;106;147;144;341
Belgique;Neurologie;715;369;346;3;63;69;61;51;45;32;19;26;0;26;32;32;48;33;42;52;81
Belgique;Psychiatrie;932;429;503;0;0;5;9;39;114;105;64;93;0;0;4;2;31;73;87;67;239
Belgique;Neuropsychiatrie;190;44;146;0;0;0;0;0;0;1;6;37;0;0;0;0;0;0;0;8;138
Belgique;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;420;333;87;0;38;76;65;76;28;10;13;27;0;13;6;16;14;5;4;9;20
Belgique;Psychiatrie, particulièrement en psychiatrie adulte;914;463;451;3;76;84;93;95;28;9;21;54;0;46;37;42;68;22;9;43;184
Belgique;Pneumologie;687;302;385;0;40;52;67;58;34;16;11;24;0;29;26;22;37;34;51;65;121
Belgique;Gastro-entérologie;856;310;546;0;52;67;51;48;32;19;16;25;0;36;45;45;54;52;77;73;164
Belgique;Cardiologie;1377;352;1025;0;39;67;61;55;38;38;26;28;0;73;88;94;121;105;127;111;306
Belgique;Médecine interne;2020;843;1177;1;114;159;150;137;103;58;46;75;1;81;50;76;107;110;130;118;504
Belgique;Rhumatologie;298;147;151;0;17;20;18;16;22;20;10;24;0;3;11;7;6;12;17;17;78
Belgique;Médecine aiguë;308;138;170;0;8;12;13;36;34;14;10;11;1;4;8;12;30;43;28;20;24
Belgique;Gynécologie-obstétrique;1850;1070;780;3;198;183;139;137;124;105;74;107;0;22;32;34;55;66;82;101;388
Belgique;Ophtalmologie;1353;845;508;17;95;97;94;102;82;79;76;203;7;41;34;34;41;42;55;55;199
Belgique;Oto-rhino-laryngologie;792;372;420;0;60;55;45;49;45;49;29;40;0;19;23;24;36;32;42;66;178
Belgique;Stomatologie;397;108;289;0;16;16;17;15;14;4;11;15;0;32;30;25;25;20;31;31;95
Belgique;Dermato-vénéréologie;904;661;243;1;74;76;72;87;94;74;47;136;0;8;16;10;18;15;31;25;120
Belgique;Pédiatrie;2103;1451;652;2;219;206;193;206;173;139;87;226;0;33;44;45;40;50;51;61;328
Belgique;Médecine physique et réadaptation;643;312;331;2;41;41;32;42;48;30;34;42;0;33;18;27;29;14;42;38;130
Belgique;Biologie clinique;726;358;368;1;19;27;32;34;40;34;48;123;0;21;11;17;14;17;38;48;202
Belgique;Radiodiagnostic;1995;618;1377;1;78;89;66;86;72;92;51;83;1;117;114;103;99;122;180;182;459
Belgique;Radiothérapie-oncologie;256;149;107;0;13;19;27;22;20;17;12;19;0;9;13;14;16;11;5;23;16
Belgique;Médecine nucléaire;357;132;225;0;11;14;17;17;15;24;15;19;0;13;18;10;14;18;23;24;105
Belgique;Anatomie pathologique;429;240;189;0;24;34;25;31;36;29;19;42;0;15;8;17;17;17;18;24;73
Belgique;Oncologie médicale;338;191;147;0;32;38;31;25;23;19;11;12;0;13;20;8;14;24;24;12;32
Belgique;Génétique clinique;76;48;28;0;0;4;8;8;13;5;3;7;0;0;1;6;3;7;6;2;3
Belgique;Médecine du travail;1186;657;529;0;11;20;54;132;104;112;101;123;0;4;4;14;49;34;45;100;279
Belgique;Médecine d'assurance et expertise médicale;626;200;426;0;2;1;3;12;33;36;53;60;0;0;1;1;10;18;47;93;256
Région flamande;Toutes les spécialités;16900;7344;9556;25;1026;1133;1022;1081;999;755;502;801;6;708;716;750;942;886;1081;1176;3291
Région flamande;Gériatrie;242;150;92;0;35;22;19;21;25;10;11;7;0;5;8;3;8;7;8;15;38
Région flamande;Médecine d'urgence;179;97;82;0;36;40;9;6;4;2;0;0;0;36;23;9;8;4;1;1;0
Région flamande;Médecine légale;9;4;5;0;2;2;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2
Région flamande;Gestion des données de santé;25;9;16;0;0;0;0;1;0;3;3;2;0;0;0;0;1;2;3;4;6
