territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Toutes les sages-femmes;12828;12722;106;867;1983;2172;1447;1289;919;1011;1187;859;988;1;5;7;5;11;14;17;17;26;3
Région flamande;Toutes les sages-femmes;8844;8777;67;674;1325;1463;1026;988;583;693;816;586;623;0;3;3;5;4;8;14;13;15;2
Région wallonne;Toutes les sages-femmes;3163;3133;30;140;473;531;328;259;286;286;306;230;294;1;1;2;0;5;4;2;4;10;1
Région de Bruxelles Capitale;Toutes les sages-femmes;821;812;9;53;185;178;93;42;50;32;65;43;71;0;1;2;0;2;2;1;0;1;0
Brabant flamand;Toutes les sages-femmes;1677;1659;18;111;243;323;192;157;111;131;165;110;116;0;1;1;1;1;3;2;3;5;1
Flandre occidentale;Toutes les sages-femmes;1741;1729;12;151;277;264;187;163;133;137;156;138;123;0;1;1;1;0;0;2;2;5;0
Flandre orientale;Toutes les sages-femmes;1839;1822;17;143;302;335;230;250;116;152;135;90;69;0;0;1;0;2;2;7;4;1;0
Anvers;Toutes les sages-femmes;2375;2362;13;158;341;363;275;285;149;182;237;165;207;0;1;0;3;1;1;2;2;2;1
Limbourg;Toutes les sages-femmes;1212;1205;7;111;162;178;142;133;74;91;123;83;108;0;0;0;0;0;2;1;2;2;0
Brabant Wallon;Toutes les sages-femmes;438;434;4;18;50;76;49;28;33;51;44;35;50;0;0;0;0;0;0;0;1;2;1
Hainaut;Toutes les sages-femmes;950;939;11;33;137;149;101;76;104;99;94;77;69;0;1;0;0;1;1;2;1;5;0
Liège;Toutes les sages-femmes;945;934;11;45;135;172;113;88;81;66;84;62;88;0;0;1;0;4;3;0;1;2;0
Namur;Toutes les sages-femmes;557;555;2;30;93;100;46;44;41;45;55;34;67;1;0;0;0;0;0;0;1;0;0
Luxembourg;Toutes les sages-femmes;273;271;2;14;58;34;19;23;27;25;29;22;20;0;0;1;0;0;0;0;0;1;0
Région de Bruxelles Capitale;Toutes les sages-femmes;821;812;9;53;185;178;93;42;50;32;65;43;71;0;1;2;0;2;2;1;0;1;0
