territoire;spécialité;total;genre_femme;genre_homme;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_55-59;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54
Belgique;Toutes les spécialités;190;108;82;84;12;6;5;1;68;5;4;3;2
Belgique;Réadaptation fonctionnelle et professionnelle des handicapés;29;14;15;9;1;1;3;0;9;4;1;0;1
Belgique;Chirurgie orale et maxillo - faciale;8;4;4;4;0;0;0;0;4;0;0;0;0
Belgique;Soins intensifs;49;24;25;20;1;1;1;1;22;1;1;1;0
Belgique;Neurologie pédiatrique;14;12;2;12;0;0;0;0;2;0;0;0;0
Belgique;Néphrologie;14;7;7;7;0;0;0;0;7;0;0;0;0
Belgique;Médecine d'urgence;28;14;14;8;2;3;1;0;9;0;2;2;1
Belgique;Endocrino-diabétologie;11;7;4;4;2;1;0;0;4;0;0;0;0
Belgique;Néonatologie;6;4;2;3;1;0;0;0;2;0;0;0;0
Belgique;Oncologie;19;13;6;9;4;0;0;0;6;0;0;0;0
Belgique;Hématologie et oncologie pédiatrique;5;5;0;4;1;0;0;0;0;0;0;0;0
Belgique;Hématologie clinique;7;4;3;4;0;0;0;0;3;0;0;0;0
Région flamande;Toutes les spécialités;122;64;58;51;7;4;2;0;51;2;3;1;1
Région flamande;Réadaptation fonctionnelle et professionnelle des handicapés;19;7;12;5;1;0;1;0;9;2;0;0;1
Région flamande;Chirurgie orale et maxillo - faciale;4;1;3;1;0;0;0;0;3;0;0;0;0
Région flamande;Soins intensifs;38;18;20;16;1;0;1;0;19;0;1;0;0
Région flamande;Neurologie pédiatrique;7;6;1;6;0;0;0;0;1;0;0;0;0
Région flamande;Néphrologie;6;4;2;4;0;0;0;0;2;0;0;0;0
Région flamande;Médecine d'urgence;20;10;10;6;1;3;0;0;7;0;2;1;0
Région flamande;Endocrino-diabétologie;8;4;4;2;1;1;0;0;4;0;0;0;0
Région flamande;Néonatologie;3;3;0;2;1;0;0;0;0;0;0;0;0
Région flamande;Oncologie;10;7;3;5;2;0;0;0;3;0;0;0;0
Région flamande;Hématologie et oncologie pédiatrique;2;2;0;2;0;0;0;0;0;0;0;0;0
Région flamande;Hématologie clinique;5;2;3;2;0;0;0;0;3;0;0;0;0
Région wallonne;Toutes les spécialités;35;21;14;16;1;1;2;1;9;2;0;2;1
Région wallonne;Réadaptation fonctionnelle et professionnelle des handicapés;6;4;2;2;0;1;1;0;0;2;0;0;0
Région wallonne;Chirurgie orale et maxillo - faciale;1;1;0;1;0;0;0;0;0;0;0;0;0
Région wallonne;Soins intensifs;5;3;2;2;0;0;0;1;1;0;0;1;0
Région wallonne;Neurologie pédiatrique;4;3;1;3;0;0;0;0;1;0;0;0;0
Région wallonne;Néphrologie;4;1;3;1;0;0;0;0;3;0;0;0;0
Région wallonne;Médecine d'urgence;5;3;2;1;1;0;1;0;0;0;0;1;1
Région wallonne;Néonatologie;1;0;1;0;0;0;0;0;1;0;0;0;0
Région wallonne;Oncologie;6;3;3;3;0;0;0;0;3;0;0;0;0
Région wallonne;Hématologie et oncologie pédiatrique;2;2;0;2;0;0;0;0;0;0;0;0;0
