gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle paramedici;66488;57890;8598;6394;11378;9044;6678;5735;3982;4394;4412;3614;2259;970;1886;1205;829;672;516;513;671;688;648
Vlaams Gewest;Alle paramedici;39917;35323;4594;4533;7480;5570;3938;3394;2276;2534;2531;2024;1043;658;1110;578;417;301;224;212;325;381;388
Waals Gewest;Alle paramedici;21790;18606;3184;1472;2923;2715;2282;2012;1482;1653;1643;1392;1032;246;585;489;315;288;235;254;291;260;221
Brussels Hoofdstedelijk Gewest;Alle paramedici;4781;3961;820;389;975;759;458;329;224;207;238;198;184;66;191;138;97;83;57;47;55;47;39
Vlaams Brabant;Alle paramedici;6690;5721;969;672;1126;843;688;547;391;418;446;388;202;113;215;102;81;65;55;58;91;108;81
West-Vlaanderen;Alle paramedici;8189;7240;949;941;1554;1133;803;711;439;523;539;394;203;142;204;116;83;55;54;53;60;80;102
Oost-Vlaanderen;Alle paramedici;9768;8693;1075;1118;1887;1396;947;832;552;604;564;515;278;143;264;135;108;85;45;53;78;75;89
Antwerpen;Alle paramedici;10175;9116;1059;1282;1974;1410;956;831;563;648;671;524;257;175;263;147;99;60;47;39;66;85;78
Limburg;Alle paramedici;5095;4553;542;520;939;788;544;473;331;341;311;203;103;85;164;78;46;36;23;9;30;33;38
Waals Brabant;Alle paramedici;2519;2146;373;133;304;285;256;231;197;185;216;189;150;13;52;64;32;38;37;36;33;38;30
Henegouwen;Alle paramedici;7547;6311;1236;540;1043;866;766;679;523;556;543;470;325;123;242;197;128;93;75;89;101;98;90
Luik;Alle paramedici;6953;6063;890;436;932;949;734;641;463;559;543;459;347;69;172;130;90;83;73;60;79;69;65
Namen;Alle paramedici;3322;2786;536;233;424;435;366;297;205;248;239;199;140;28;96;77;50;65;38;55;63;38;26
Luxemburg;Alle paramedici;1449;1300;149;130;220;180;160;164;94;105;102;75;70;13;23;21;15;9;12;14;15;17;10
Brussels Hoofdstedelijk Gewest;Alle paramedici;4781;3961;820;389;975;759;458;329;224;207;238;198;184;66;191;138;97;83;57;47;55;47;39
België;Farmaceutisch-technisch assistent;13414;11748;1666;1467;1782;1599;1221;1072;1059;1129;983;786;650;363;408;253;145;95;115;78;76;59;74
Vlaams Gewest;Farmaceutisch-technisch assistent;6822;5820;1002;846;951;739;543;488;493;576;520;382;282;230;260;135;83;54;63;42;46;39;50
Waals Gewest;Farmaceutisch-technisch assistent;5513;4985;528;487;623;678;557;500;517;495;420;374;334;107;117;98;49;30;40;27;24;15;21
Brussels Hoofdstedelijk Gewest;Farmaceutisch-technisch assistent;1079;943;136;134;208;182;121;84;49;58;43;30;34;26;31;20;13;11;12;9;6;5;3
Vlaams Brabant;Farmaceutisch-technisch assistent;1076;877;199;135;125;104;102;74;80;87;77;56;37;48;52;17;14;11;17;8;14;10;8
West-Vlaanderen;Farmaceutisch-technisch assistent;1185;1028;157;122;147;98;83;97;91;126;114;86;64;29;36;18;16;12;16;5;7;8;10
Oost-Vlaanderen;Farmaceutisch-technisch assistent;1291;1097;194;170;197;132;90;79;93;107;102;69;58;45;49;23;16;11;8;14;11;5;12
Antwerpen;Farmaceutisch-technisch assistent;2110;1795;315;305;316;225;147;135;131;161;163;121;91;91;90;53;20;12;14;10;9;9;7
Limburg;Farmaceutisch-technisch assistent;1160;1023;137;114;166;180;121;103;98;95;64;50;32;17;33;24;17;8;8;5;5;7;13
Waals Brabant;Farmaceutisch-technisch assistent;272;241;31;13;18;19;16;22;29;35;31;32;26;3;4;4;1;3;4;1;3;3;5
Henegouwen;Farmaceutisch-technisch assistent;2135;1916;219;199;242;241;193;174;204;200;168;156;139;59;46;35;20;13;15;10;9;6;6
Luik;Farmaceutisch-technisch assistent;1840;1687;153;149;197;252;210;178;179;153;154;107;108;22;34;27;17;6;15;12;7;5;8
Namen;Farmaceutisch-technisch assistent;892;795;97;83;124;121;100;80;77;76;44;53;37;17;30;24;6;7;5;4;4;0;0
Luxemburg;Farmaceutisch-technisch assistent;374;346;28;43;42;45;38;46;28;31;23;26;24;6;3;8;5;1;1;0;1;1;2
Brussels Hoofdstedelijk Gewest;Farmaceutisch-technisch assistent;1079;943;136;134;208;182;121;84;49;58;43;30;34;26;31;20;13;11;12;9;6;5;3
België;Audioloog;1365;1195;170;185;465;227;90;79;41;41;34;24;9;18;48;25;15;9;16;9;14;7;9
Vlaams Gewest;Audioloog;1158;1067;91;169;433;213;82;70;31;29;20;15;5;9;26;20;7;6;9;3;5;3;3
Waals Gewest;Audioloog;135;84;51;10;16;5;3;8;7;11;12;9;3;3;11;5;4;1;5;5;8;4;5
Brussels Hoofdstedelijk Gewest;Audioloog;72;44;28;6;16;9;5;1;3;1;2;0;1;6;11;0;4;2;2;1;1;0;1
Vlaams Brabant;Audioloog;171;157;14;30;62;26;17;8;5;5;3;1;0;0;3;3;1;1;2;2;1;0;1
West-Vlaanderen;Audioloog;274;246;28;36;116;49;19;13;3;4;4;2;0;5;8;5;3;1;3;1;0;0;2
Oost-Vlaanderen;Audioloog;316;284;32;47;119;57;16;20;10;8;3;3;1;3;11;8;2;4;2;0;1;1;0
Antwerpen;Audioloog;308;294;14;49;107;59;23;22;8;9;8;7;2;1;3;4;1;0;2;0;1;2;0
Limburg;Audioloog;89;86;3;7;29;22;7;7;5;3;2;2;2;0;1;0;0;0;0;0;2;0;0
Waals Brabant;Audioloog;35;19;16;1;5;1;1;1;3;4;2;0;1;0;3;4;0;0;1;1;3;3;1
Henegouwen;Audioloog;46;33;13;4;6;3;0;3;2;4;3;6;2;2;1;0;2;1;1;1;1;1;3
Luik;Audioloog;22;13;9;4;2;1;1;2;1;1;1;0;0;1;4;0;1;0;2;0;0;0;1
Namen;Audioloog;28;17;11;1;3;0;1;1;0;2;6;3;0;0;3;1;0;0;1;2;4;0;0
Luxemburg;Audioloog;4;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
