Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Homme;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22
;;;Femme;Homme;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
Belgique;Toutes les spécialités;28919.0;12245;16674;27;1647;1652;1912;1868;1508;1205;912;1514;12;963;1071;1490;1598;1722;2133;2106;5579
;Gériatrie;349.0;220;129;0;36;38;45;41;25;16;12;7;0;7;11;8;12;10;15;27;39
;Médecine d'urgence;211.0;105;106;0;43;35;11;8;5;3;0;0;0;26;29;20;16;7;4;4;0
;Médecine légale;16.0;5;11;0;3;0;1;1;0;0;0;0;0;0;4;3;0;0;1;1;2
;Gestion de données de santé;59.0;22;37;0;0;0;1;2;5;8;6;0;0;0;0;1;5;5;12;10;4
;Anesthésie-réanimation;2627.0;1085;1542;1;172;144;157;175;136;80;74;146;0;145;148;192;200;194;195;174;294
;Chirurgie;1775.0;365;1410;0;61;64;61;59;38;24;29;29;0;73;102;128;133;148;163;165;498
;Neurochirurgie;242.0;30;212;0;9;3;3;6;5;3;0;1;0;20;18;35;30;19;20;21;49
;"Chirurgie plastique,
reconstructrice et esthétique";282.0;71;211;0;10;15;10;7;6;8;11;4;0;11;23;26;23;28;35;17;48
;Urologie;498.0;69;429;0;12;18;18;4;10;5;2;0;0;40;37;42;55;37;51;45;122
;Chirurgie orthopédique;1242.0;129;1113;0;19;24;23;19;16;11;7;10;0;82;92;125;122;123;162;127;280
;Neurologie;634.0;310;324;0;49;66;50;43;43;24;18;17;1;23;24;44;39;40;49;49;55
;Psychiatrie;959.0;435;524;0;3;9;23;85;113;85;39;78;0;1;4;17;58;78;77;71;218
;Neuropsychiatrie;224.0;54;170;0;0;0;0;0;0;6;10;38;0;0;0;0;0;0;5;12;153
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";380.0;301;79;0;56;67;72;48;13;14;9;22;0;10;10;14;9;5;7;9;15
;"Psychiatrie, particulièrement en
psychiatrie adulte";811.0;394;417;0;64;80;93;65;10;18;27;37;0;25;33;69;38;10;24;59;159
;Pneumologie;628.0;266;362;0;38;52;65;44;24;14;12;17;0;21;19;36;33;40;61;63;89
;Gastro-entérologie;782.0;266;516;0;49;60;48;38;22;21;10;18;0;29;30;55;61;62;70;66;143
;Cardiologie;1274.0;303;971;0;36;64;52;46;37;25;21;22;0;53;73;121;104;127;126;108;259
;Médecine interne;1931.0;743;1188;0;117;132;151;119;79;46;43;56;0;56;67;73;126;115;139;125;487
;Rhumatologie;285.0;131;154;0;14;17;17;21;23;11;6;22;0;7;6;9;9;11;21;19;72
;Médecine aiguë;315.0;137;178;3;10;12;23;43;20;12;9;5;0;5;12;20;42;42;26;16;15
;Gynécologie-obstétrique;1729.0;932;797;2;177;129;151;136;110;89;65;73;0;21;37;53;56;80;90;112;348
;Ophtalmologie;1285.0;785;500;11;95;80;98;91;85;82;73;170;7;31;28;36;45;52;55;50;196
;Oto-rhino-laryngologie;755.0;329;426;0;48;47;52;44;55;27;25;31;0;17;22;30;31;41;61;61;163
;Stomatologie;374.0;94;280;0;13;11;17;18;8;5;10;12;1;28;21;27;25;27;32;29;90
;Dermato-vénéréologie;883.0;631;252;7;77;65;89;83;88;63;44;115;2;14;9;15;18;22;31;33;108
;Pédiatrie;1984.0;1306;678;1;200;170;213;184;148;115;78;197;0;37;39;37;47;58;55;73;332
;"Médecine physique et
réadaptation";606.0;285;321;1;43;26;48;36;41;41;19;30;0;23;22;22;21;30;37;46;120
;Biologie clinique;727.0;355;372;0;25;23;36;42;36;38;48;107;0;7;17;18;12;30;43;53;192
;Radiodiagnostic;1889.0;565;1324;1;74;80;78;76;84;73;41;58;1;109;89;108;100;150;214;176;377
;Radiothérapie - oncologie;244.0;139;105;0;14;19;24;25;17;19;9;12;0;6;12;18;12;8;17;14;18
;Médecine nucléaire;354.0;124;230;0;10;19;16;13;20;25;6;15;0;14;10;11;20;18;27;17;113
;Anatomie pathologique;411.0;224;187;0;29;21;31;38;28;25;20;32;0;10;8;20;20;10;22;27;70
;Oncologie médicale;293.0;167;126;0;29;35;26;27;23;13;4;10;0;8;8;9;23;28;14;13;23
;Génétique clinique;38.0;22;16;0;0;1;4;5;2;5;3;2;0;0;3;2;3;2;2;3;1
;Médecine du travail;1181.0;649;532;0;12;23;100;145;97;116;74;82;0;4;4;42;35;31;91;99;226
;"Médecine d'assurance et
expertise médicale";642.0;197;445;0;0;3;5;31;36;35;48;39;0;0;0;4;15;34;79;112;201
"Région
flamande";Toutes les spécialités;15718.0;6519;9199;12;962;905;1086;1080;854;621;411;588;7;570;605;902;924;953;1225;1173;2840
;Gériatrie;209.0;122;87;0;22;15;25;24;15;7;10;4;0;6;5;6;8;7;9;20;26
;Médecine d'urgence;92.0;56;36;0;27;15;6;4;3;1;0;0;0;14;10;6;4;0;2;0;0
;Médecine légale;6.0;2;4;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1
;Gestion de données de santé;27.0;9;18;0;0;0;1;0;1;4;3;0;0;0;0;0;4;3;3;5;3
;Anesthésie-réanimation;1507.0;628;879;0;112;77;98;102;90;49;39;61;0;90;77;113;112;111;116;101;159
;Chirurgie;986.0;202;784;0;41;37;39;35;14;12;10;14;0;53;62;78;82;86;90;92;241
;Neurochirurgie;154.0;17;137;0;5;1;2;3;5;0;0;1;0;12;13;27;19;12;14;11;29
;"Chirurgie plastique,
reconstructrice et esthétique";166.0;39;127;0;6;8;2;6;2;5;7;3;0;6;11;13;15;18;20;13;31
;Urologie;305.0;44;261;0;11;13;7;4;6;2;1;0;0;26;22;29;34;22;34;28;66
;Chirurgie orthopédique;733.0;72;661;0;14;13;11;12;11;5;2;4;0;47;55;89;75;72;104;79;140
;Neurologie;345.0;167;178;0;30;45;25;17;27;7;10;6;1;11;15;25;24;16;25;27;34
;Psychiatrie;270.0;141;129;0;0;0;3;38;60;30;3;7;0;0;0;4;30;43;29;10;13
;Neuropsychiatrie;126.0;28;98;0;0;0;0;0;0;4;7;17;0;0;0;0;0;0;3;8;87
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";254.0;209;45;0;37;37;58;34;8;12;8;15;0;3;7;5;7;2;5;5;11
;"Psychiatrie, particulièrement en
psychiatrie adulte";571.0;248;323;0;39;51;60;30;4;11;23;30;0;15;18;37;24;2;20;54;153
;Pneumologie;339.0;149;190;0;27;31;39;22;14;9;4;3;0;13;12;16;17;22;33;34;43
;Gastro-entérologie;418.0;143;275;0;31;33;30;22;13;6;4;4;0;19;19;36;34;29;38;38;62
;Cardiologie;649.0;125;524;0;18;26;24;23;17;8;2;7;0;30;45;79;60;75;63;56;116
;Médecine interne;940.0;365;575;0;57;76;72;61;34;26;21;18;0;28;29;31;61;49;62;51;264
;Rhumatologie;146.0;65;81;0;10;7;8;12;13;5;3;7;0;3;6;6;6;5;8;10;37
;Médecine aiguë;139.0;55;84;1;7;8;11;15;6;4;2;1;0;4;9;14;23;19;7;6;2
;Gynécologie-obstétrique;849.0;443;406;1;91;63;79;78;56;37;19;19;0;6;19;28;26;40;56;52;179
;Ophtalmologie;742.0;464;278;4;57;45;58;64;58;53;42;83;3;9;15;20;20;28;35;27;121
;Oto-rhino-laryngologie;407.0;175;232;0;29;29;30;18;31;14;12;12;0;9;15;20;22;20;29;39;78
;Stomatologie;221.0;51;170;0;8;9;7;14;3;2;5;3;1;21;16;21;16;17;24;17;37
;Dermato-vénéréologie;491.0;355;136;5;46;37;54;54;48;36;21;54;1;8;6;9;11;14;13;20;54
;Pédiatrie;971.0;640;331;1;103;82;98;105;84;60;34;73;0;16;15;20;25;29;33;42;151
;"Médecine physique et
réadaptation";366.0;162;204;0;24;16;29;22;23;26;12;10;0;19;14;12;17;20;24;25;73
;Biologie clinique;380.0;175;205;0;13;17;25;29;21;19;16;35;0;6;12;10;10;25;25;31;86
;Radiodiagnostic;1040.0;286;754;0;39;41;45;48;42;32;15;24;1;69;49;73;57;90;133;99;183
;Radiothérapie - oncologie;151.0;83;68;0;10;9;22;16;14;9;2;1;0;6;8;10;7;4;13;12;8
;Médecine nucléaire;177.0;59;118;0;7;13;8;7;12;7;2;3;0;10;5;7;11;13;13;7;52
;Anatomie pathologique;256.0;129;127;0;15;14;26;21;17;13;13;10;0;5;5;17;17;7;10;18;48
;Oncologie médicale;138.0;84;54;0;14;16;18;13;12;8;2;1;0;4;3;5;12;12;7;4;7
;Génétique clinique;36.0;21;15;0;0;1;4;5;2;5;3;1;0;0;3;2;3;2;2;3;0
;Médecine du travail;767.0;402;365;0;10;17;60;98;65;73;35;44;0;2;4;32;24;20;71;68;144
;"Médecine d'assurance et
expertise médicale";344.0;104;240;0;0;3;2;24;23;20;19;13;0;0;0;2;7;19;51;60;101
"Région
wallonne";Toutes les spécialités;9371.0;3871;5500;8;415;495;565;597;472;408;323;588;4;240;329;408;530;591;694;713;1991
;Gériatrie;106.0;74;32;0;11;14;15;14;8;8;1;3;0;1;4;1;4;2;4;5;11
;Médecine d'urgence;79.0;28;51;0;10;12;2;3;1;0;0;0;0;8;14;9;10;5;2;3;0
;Médecine légale;8.0;2;6;0;0;0;1;1;0;0;0;0;0;0;2;3;0;0;0;0;1
;Gestion de données de santé;21.0;7;14;0;0;0;0;1;1;4;1;0;0;0;0;0;1;2;7;3;1
;Anesthésie-réanimation;847.0;322;525;0;38;50;46;56;33;22;20;57;0;29;53;64;73;62;67;63;114
;Chirurgie;582.0;111;471;0;11;18;15;20;20;7;13;7;0;11;29;34;42;45;61;61;188
;Neurochirurgie;66.0;10;56;0;2;2;1;2;0;3;0;0;0;8;2;6;8;7;5;7;13
;"Chirurgie plastique,
reconstructrice et esthétique";79.0;23;56;0;3;4;6;1;4;2;3;0;0;5;10;8;4;8;11;2;8
;Urologie;148.0;21;127;0;1;4;8;0;4;3;1;0;0;10;12;9;17;13;12;13;41
;Chirurgie orthopédique;396.0;39;357;0;3;7;11;6;2;3;4;3;0;24;30;27;39;45;46;41;105
;Neurologie;209.0;100;109;0;15;13;16;21;10;14;3;8;0;7;4;12;11;18;19;20;18
;Psychiatrie;429.0;184;245;0;3;7;15;32;33;30;23;41;0;1;4;8;20;23;28;37;124
;Neuropsychiatrie;65.0;14;51;0;0;0;0;0;0;1;1;12;0;0;0;0;0;0;2;3;46
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";74.0;54;20;0;11;17;7;11;2;0;1;5;0;2;2;5;2;3;1;2;3
;"Psychiatrie, particulièrement en
psychiatrie adulte";139.0;85;54;0;11;21;22;25;2;1;1;2;0;7;10;14;10;7;1;2;3
;Pneumologie;221.0;87;134;0;9;13;22;15;8;4;6;10;0;6;5;16;15;14;23;22;33
