gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle kinesitherapeuten;38361;23061;15300;1550;3931;2455;1815;2487;2323;2052;2089;1786;2573;701;2464;1445;804;1432;1453;1203;1387;1460;2951
Vlaams Gewest;Alle kinesitherapeuten;21637;13464;8173;862;2289;1307;1194;1538;1525;1209;1185;1019;1336;346;1198;642;463;792;764;630;768;826;1744
Waals Gewest;Alle kinesitherapeuten;13673;7831;5842;553;1267;939;521;843;691;729;762;615;911;287;965;594;252;557;608;501;541;535;1002
Brussels Hoofdstedelijk Gewest;Alle kinesitherapeuten;3051;1766;1285;135;375;209;100;106;107;114;142;152;326;68;301;209;89;83;81;72;78;99;205
Vlaams Brabant;Alle kinesitherapeuten;4647;2956;1691;166;514;330;260;318;309;267;271;231;290;74;248;166;106;181;156;134;137;163;326
West-Vlaanderen;Alle kinesitherapeuten;4063;2401;1662;179;375;193;179;291;290;223;202;201;268;65;169;74;89;171;153;141;187;192;421
Oost-Vlaanderen;Alle kinesitherapeuten;4962;3211;1751;189;530;290;309;406;375;284;280;204;344;77;265;114;90;165;156;148;190;179;367
Antwerpen;Alle kinesitherapeuten;5310;3324;1986;211;594;327;304;352;352;308;322;267;287;92;326;189;118;164;178;139;180;192;408
Limburg;Alle kinesitherapeuten;2655;1572;1083;117;276;167;142;171;199;127;110;116;147;38;190;99;60;111;121;68;74;100;222
Waals Brabant;Alle kinesitherapeuten;2388;1535;853;101;212;176;91;168;133;113;181;147;213;36;139;96;47;89;92;66;88;76;124
Henegouwen;Alle kinesitherapeuten;4107;2131;1976;123;349;223;140;212;200;224;208;162;290;80;302;201;65;171;204;171;184;187;411
Luik;Alle kinesitherapeuten;3938;2284;1654;162;374;282;145;263;201;218;208;198;233;79;287;147;67;174;167;154;158;156;265
Namen;Alle kinesitherapeuten;1945;1107;838;89;183;132;81;103;91;123;100;82;123;45;128;76;39;73;101;71;73;85;147
Luxemburg;Alle kinesitherapeuten;1295;774;521;78;149;126;64;97;66;51;65;26;52;47;109;74;34;50;44;39;38;31;55
Brussels Hoofdstedelijk Gewest;Alle kinesitherapeuten;3051;1766;1285;135;375;209;100;106;107;114;142;152;326;68;301;209;89;83;81;72;78;99;205
België;Zonder bijzondere beroepsbekwaamheid (BB);34903;20631;14272;1548;3668;1871;1398;2124;2059;1833;1902;1688;2540;701;2381;1247;667;1279;1320;1112;1286;1384;2895
Vlaams Gewest;Zonder bijzondere beroepsbekwaamheid (BB);18947;11560;7387;860;2061;842;853;1274;1311;1044;1055;951;1309;346;1134;509;350;680;659;558;688;761;1702
Waals Gewest;Zonder bijzondere beroepsbekwaamheid (BB);13072;7409;5663;553;1241;845;470;757;649;683;710;596;905;287;950;553;233;527;585;486;527;525;990
Brussels Hoofdstedelijk Gewest;Zonder bijzondere beroepsbekwaamheid (BB);2884;1662;1222;135;366;184;75;93;99;106;137;141;326;68;297;185;84;72;76;68;71;98;203
Vlaams Brabant;Zonder bijzondere beroepsbekwaamheid (BB);4110;2569;1541;166;468;237;188;260;262;235;252;213;288;74;238;134;86;158;137;119;124;151;320
