Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Man;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15
;;;Vrouw;Man;25-29;30-34;35-39;40-44;45-49;25-29;30-34;35-39;40-44;45-49;50-54
België;Alle specialiteiten;208.0;102;106;3;87;7;4;1;1;85;9;3;5;3
;Functionele en professionele revalidatie van gehandicapten;32.0;20;12;0;16;1;2;1;0;5;4;0;2;1
;Mond-, kaak- en aangezichtschirurgie;19.0;5;14;0;5;0;0;0;0;14;0;0;0;0
;Intensieve zorgen;61.0;18;43;0;16;0;2;0;1;37;2;2;1;0
;Pediatrische neurologie;8.0;6;2;0;5;1;0;0;0;2;0;0;0;0
;Nefrologie;11.0;8;3;1;6;1;0;0;0;3;0;0;0;0
;Urgentiegeneeskunde;20.0;5;15;1;2;2;0;0;0;7;3;1;2;2
;Endocrino-diabetologie;18.0;14;4;0;13;1;0;0;0;4;0;0;0;0
;Neonatologie;7.0;7;0;1;6;0;0;0;0;0;0;0;0;0
;Oncologie;12.0;6;6;0;6;0;0;0;0;6;0;0;0;0
;Pediatrische hematologie en oncologie;5.0;5;0;0;4;1;0;0;0;0;0;0;0;0
;Klinische hematologie;15.0;8;7;0;8;0;0;0;0;7;0;0;0;0
Vlaams Gewest;Alle specialiteiten;137.0;68;69;2;59;5;2;0;0;60;6;1;1;1
;Functionele en professionele revalidatie van gehandicapten;22.0;15;7;0;12;1;2;0;0;4;3;0;0;0
;Mond-, kaak- en aangezichtschirurgie;13.0;4;9;0;4;0;0;0;0;9;0;0;0;0
;Intensieve zorgen;39.0;10;29;0;10;0;0;0;0;28;1;0;0;0
;Pediatrische neurologie;5.0;4;1;0;3;1;0;0;0;1;0;0;0;0
;Nefrologie;6.0;5;1;0;5;0;0;0;0;1;0;0;0;0
;Urgentiegeneeskunde;16.0;5;11;1;2;2;0;0;0;6;2;1;1;1
;Endocrino-diabetologie;11.0;9;2;0;9;0;0;0;0;2;0;0;0;0
