gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle specialiteiten;6689;3877;2812;353;2627;771;70;28;16;8;3;1;209;1846;648;65;22;10;6;3;2;1
België;Geriatrie;137;101;36;3;58;38;1;1;0;0;0;0;1;21;12;2;0;0;0;0;0;0
België;Urgentiegeneeskunde;585;349;236;27;217;89;10;3;2;1;0;0;9;126;81;12;2;4;1;0;1;0
België;Gerechtelijke geneeskunde;14;10;4;1;5;4;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
België;Beheer van gezondheidsgegevens;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
België;Anesthesie-reanimatie;616;265;351;12;184;59;7;3;0;0;0;0;22;246;73;7;3;0;0;0;0;0
België;Heelkunde;395;208;187;19;134;53;0;2;0;0;0;0;14;123;49;1;0;0;0;0;0;0
België;Neurochirurgie;74;26;48;3;16;7;0;0;0;0;0;0;1;33;13;1;0;0;0;0;0;0
België;Plastische, reconstructieve en esthetische heelkunde;71;38;33;5;24;9;0;0;0;0;0;0;3;16;13;1;0;0;0;0;0;0
België;Urologie;165;77;88;5;50;21;1;0;0;0;0;0;6;54;27;1;0;0;0;0;0;0
België;Orthopedische heelkunde;314;84;230;6;49;27;2;0;0;0;0;0;15;146;63;6;0;0;0;0;0;0
België;Neurologie;201;129;72;13;91;20;4;1;0;0;0;0;9;53;10;0;0;0;0;0;0;0
België;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;148;125;23;8;92;21;2;2;0;0;0;0;2;17;4;0;0;0;0;0;0;0
België;Psychiatrie, meer bepaald volwassenpsychiatrie;333;192;141;12;144;28;6;2;0;0;0;0;8;98;32;1;2;0;0;0;0;0
België;Pneumologie;104;64;40;1;38;25;0;0;0;0;0;0;1;26;13;0;0;0;0;0;0;0
België;Gastro-enterologie;144;90;54;1;49;38;1;0;1;0;0;0;2;31;21;0;0;0;0;0;0;0
België;Cardiologie;161;65;96;3;29;33;0;0;0;0;0;0;1;59;34;2;0;0;0;0;0;0
België;Inwendige geneeskunde;883;503;380;77;387;38;1;0;0;0;0;0;54;277;45;3;0;1;0;0;0;0
België;Reumatologie;46;30;16;0;12;18;0;0;0;0;0;0;1;9;6;0;0;0;0;0;0;0
België;Acute geneeskunde;6;2;4;0;1;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
België;Gynaecologie-verloskunde;348;306;42;34;220;47;4;1;0;0;0;0;1;28;11;1;1;0;0;0;0;0
België;Oftalmologie;166;91;75;18;66;6;1;0;0;0;0;0;10;56;8;1;0;0;0;0;0;0
België;Otorhinolaryngologie;147;95;52;10;76;8;1;0;0;0;0;0;5;40;6;1;0;0;0;0;0;0
België;Stomatologie;76;30;46;4;20;6;0;0;0;0;0;0;3;37;5;1;0;0;0;0;0;0
België;Dermato-venereologie;140;120;20;14;91;14;1;0;0;0;0;0;1;14;5;0;0;0;0;0;0;0
België;Pediatrie;498;424;74;52;310;59;3;0;0;0;0;0;5;54;14;1;0;0;0;0;0;0
België;Fysische geneeskunde en revalidatie;135;68;67;3;54;9;0;1;0;1;0;0;5;46;16;0;0;0;0;0;0;0
België;Klinische biologie;72;30;42;3;18;6;1;2;0;0;0;0;3;29;7;2;0;1;0;0;0;0
België;Röntgendiagnose;296;108;188;11;76;15;3;2;1;0;0;0;18;130;30;6;4;0;0;0;0;0
België;Radiotherapie-oncologie;60;30;30;3;19;8;0;0;0;0;0;0;3;16;9;2;0;0;0;0;0;0
België;Nucleaire geneeskunde;42;16;26;1;14;0;1;0;0;0;0;0;5;12;9;0;0;0;0;0;0;0
België;Pathologische anatomie;72;49;23;1;32;13;1;2;0;0;0;0;1;17;4;1;0;0;0;0;0;0
België;Medische oncologie;61;39;22;2;24;12;1;0;0;0;0;0;0;10;12;0;0;0;0;0;0;0
België;Klinische genetica;37;27;10;1;13;10;1;1;1;0;0;0;0;5;2;3;0;0;0;0;0;0
