gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle specialiteiten;28919;12245;16674;27;1647;1652;1912;1868;1508;1205;912;1514;12;963;1071;1490;1598;1722;2133;2106;5579
België;Geriatrie;349;220;129;0;36;38;45;41;25;16;12;7;0;7;11;8;12;10;15;27;39
België;Urgentiegeneeskunde;211;105;106;0;43;35;11;8;5;3;0;0;0;26;29;20;16;7;4;4;0
België;Gerechtelijke geneeskunde;16;5;11;0;3;0;1;1;0;0;0;0;0;0;4;3;0;0;1;1;2
België;Beheer van gezondheidsgegevens;59;22;37;0;0;0;1;2;5;8;6;0;0;0;0;1;5;5;12;10;4
België;Anesthesie-reanimatie;2627;1085;1542;1;172;144;157;175;136;80;74;146;0;145;148;192;200;194;195;174;294
België;Heelkunde;1775;365;1410;0;61;64;61;59;38;24;29;29;0;73;102;128;133;148;163;165;498
België;Neurochirurgie;242;30;212;0;9;3;3;6;5;3;0;1;0;20;18;35;30;19;20;21;49
België;Plastische, reconstructieve en esthetische heelkunde;282;71;211;0;10;15;10;7;6;8;11;4;0;11;23;26;23;28;35;17;48
België;Urologie;498;69;429;0;12;18;18;4;10;5;2;0;0;40;37;42;55;37;51;45;122
België;Orthopedische heelkunde;1242;129;1113;0;19;24;23;19;16;11;7;10;0;82;92;125;122;123;162;127;280
België;Neurologie;634;310;324;0;49;66;50;43;43;24;18;17;1;23;24;44;39;40;49;49;55
België;Psychiatrie;959;435;524;0;3;9;23;85;113;85;39;78;0;1;4;17;58;78;77;71;218
België;Neuropsychiatrie;224;54;170;0;0;0;0;0;0;6;10;38;0;0;0;0;0;0;5;12;153
België;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;380;301;79;0;56;67;72;48;13;14;9;22;0;10;10;14;9;5;7;9;15
België;Psychiatrie, meer bepaald volwassenpsychiatrie;811;394;417;0;64;80;93;65;10;18;27;37;0;25;33;69;38;10;24;59;159
België;Pneumologie;628;266;362;0;38;52;65;44;24;14;12;17;0;21;19;36;33;40;61;63;89
België;Gastro-enterologie;782;266;516;0;49;60;48;38;22;21;10;18;0;29;30;55;61;62;70;66;143
België;Cardiologie;1274;303;971;0;36;64;52;46;37;25;21;22;0;53;73;121;104;127;126;108;259
België;Inwendige geneeskunde;1931;743;1188;0;117;132;151;119;79;46;43;56;0;56;67;73;126;115;139;125;487
België;Reumatologie;285;131;154;0;14;17;17;21;23;11;6;22;0;7;6;9;9;11;21;19;72
België;Acute geneeskunde;315;137;178;3;10;12;23;43;20;12;9;5;0;5;12;20;42;42;26;16;15
België;Gynaecologie-verloskunde;1729;932;797;2;177;129;151;136;110;89;65;73;0;21;37;53;56;80;90;112;348
België;Oftalmologie;1285;785;500;11;95;80;98;91;85;82;73;170;7;31;28;36;45;52;55;50;196
België;Otorhinolaryngologie;755;329;426;0;48;47;52;44;55;27;25;31;0;17;22;30;31;41;61;61;163
België;Stomatologie;374;94;280;0;13;11;17;18;8;5;10;12;1;28;21;27;25;27;32;29;90
België;Dermato-venereologie;883;631;252;7;77;65;89;83;88;63;44;115;2;14;9;15;18;22;31;33;108
België;Pediatrie;1984;1306;678;1;200;170;213;184;148;115;78;197;0;37;39;37;47;58;55;73;332
België;Fysische geneeskunde en revalidatie;606;285;321;1;43;26;48;36;41;41;19;30;0;23;22;22;21;30;37;46;120
België;Klinische biologie;727;355;372;0;25;23;36;42;36;38;48;107;0;7;17;18;12;30;43;53;192
België;Rontgendiagnose;1889;565;1324;1;74;80;78;76;84;73;41;58;1;109;89;108;100;150;214;176;377
België;Radiotherapie - oncologie;244;139;105;0;14;19;24;25;17;19;9;12;0;6;12;18;12;8;17;14;18
België;Nucleaire geneeskunde;354;124;230;0;10;19;16;13;20;25;6;15;0;14;10;11;20;18;27;17;113
België;Pathologische anatomie;411;224;187;0;29;21;31;38;28;25;20;32;0;10;8;20;20;10;22;27;70
België;Medische oncologie;293;167;126;0;29;35;26;27;23;13;4;10;0;8;8;9;23;28;14;13;23
België;Klinische genetica;38;22;16;0;0;1;4;5;2;5;3;2;0;0;3;2;3;2;2;3;1
België;Arbeidsgeneeskunde;1181;649;532;0;12;23;100;145;97;116;74;82;0;4;4;42;35;31;91;99;226
België;Verzekeringsgeneeskunde en medische expertise;642;197;445;0;0;3;5;31;36;35;48;39;0;0;0;4;15;34;79;112;201
Vlaams Gewest;Alle specialiteiten;15718;6519;9199;12;962;905;1086;1080;854;621;411;588;7;570;605;902;924;953;1225;1173;2840
Vlaams Gewest;Geriatrie;209;122;87;0;22;15;25;24;15;7;10;4;0;6;5;6;8;7;9;20;26
Vlaams Gewest;Urgentiegeneeskunde;92;56;36;0;27;15;6;4;3;1;0;0;0;14;10;6;4;0;2;0;0
Vlaams Gewest;Gerechtelijke geneeskunde;6;2;4;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1
