Gebied;Specialiteit;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_min20;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_min20;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;ALLE VERPLEEGKUNDIGEN;157032;137169;19863;1;4455;10667;15106;15827;17376;21291;19049;12701;8736;11960;0;674;1760;2647;2650;2622;3159;3136;1611;1034;570
Gewest Vlaanderen;ALLE VERPLEEGKUNDIGEN;102289;88417;13872;1;2896;6698;9551;10125;11520;14259;12363;8067;5401;7536;0;432;1062;1593;1589;1872;2356;2370;1295;863;440
Gewest Wallonië;ALLE VERPLEEGKUNDIGEN;46903;41813;5090;0;1359;3348;4758;4992;5145;6149;5749;4028;2856;3429;0;204;547;886;920;641;684;674;271;153;110
Gewest Brussels hoofdstedelijk gewest;ALLE VERPLEEGKUNDIGEN;7840;6939;901;0;200;621;797;710;711;883;937;606;479;995;0;38;151;168;141;109;119;92;45;18;20
Prov Vlaams Brabant;ALLE VERPLEEGKUNDIGEN;17229;14787;2442;1;464;889;1404;1579;1945;2624;2376;1455;908;1142;0;63;164;209;247;294;459;509;263;168;66
Prov West-Vlaanderen;ALLE VERPLEEGKUNDIGEN;22124;19264;2860;0;889;1719;2123;2172;2256;2926;2639;1753;1161;1626;0;112;248;366;318;371;457;468;266;184;70
Prov Oost-Vlaanderen;ALLE VERPLEEGKUNDIGEN;23912;20702;3210;0;384;1491;2285;2440;2821;3368;2829;1915;1352;1817;0;65;241;391;376;454;539;583;312;180;69
Prov Antwerpen;ALLE VERPLEEGKUNDIGEN;24347;21025;3322;0;574;1478;2137;2397;2839;3534;2993;1834;1190;2049;0;90;225;358;410;457;595;575;293;203;116
Prov Limburg;ALLE VERPLEEGKUNDIGEN;14677;12639;2038;0;585;1121;1602;1537;1659;1807;1526;1110;790;902;0;102;184;269;238;296;306;235;161;128;119
Prov Waals Brabant;ALLE VERPLEEGKUNDIGEN;4588;4245;343;0;90;185;359;467;483;734;698;461;334;434;0;9;28;54;54;65;51;47;16;12;7
Prov Henegouwen;ALLE VERPLEEGKUNDIGEN;17251;15330;1921;0;472;1153;1725;1900;2020;2357;2075;1466;1032;1130;0;84;201;338;316;241;278;277;103;51;32
Prov Luik;ALLE VERPLEEGKUNDIGEN;14571;12815;1756;0;499;1225;1625;1549;1503;1644;1689;1168;855;1058;0;62;200;314;318;219;197;232;95;64;55
Prov Namen;ALLE VERPLEEGKUNDIGEN;7026;6309;717;0;192;506;674;708;751;925;869;635;441;608;0;38;82;122;149;89;97;76;36;16;12
Prov Luxemburg;ALLE VERPLEEGKUNDIGEN;3467;3114;353;0;106;279;375;368;388;489;418;298;194;199;0;11;36;58;83;27;61;42;21;10;4
Prov Brussels hoofdstedelijk gewest;ALLE VERPLEEGKUNDIGEN;7840;6939;901;0;200;621;797;710;711;883;937;606;479;995;0;38;151;168;141;109;119;92;45;18;20
België;GEEN ERKENNING;146201;129407;16794;1;4157;9569;13695;14416;16017;20294;18258;12388;8659;11953;0;597;1407;2125;2154;2113;2687;2721;1460;970;560
België;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;9003;6171;2832;0;260;889;1152;1180;1113;740;544;224;62;7;0;72;327;484;458;475;432;374;136;64;10
België;GERIATRIE (BIJZONDERE BEROEPSTITEL);668;542;126;0;15;71;99;90;87;76;72;27;5;0;0;0;10;23;23;20;24;19;7;0;0
België;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);628;588;40;0;4;62;73;80;95;126;102;39;7;0;0;1;3;9;8;7;3;9;0;0;0
België;ONCOLOGIE;532;461;71;0;19;76;87;61;64;55;73;23;3;0;0;4;13;6;7;7;13;13;8;0;0
