Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Man;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17
;;;Vrouw;Man;25-29;30-34;35-39;40-44;45-49;50-54;25-29;30-34;35-39;40-44;45-49;50-54;55-59
België;Alle specialiteiten;220.0;112;108;1;87;15;4;4;1;1;82;10;6;5;3;1
;"Functionele en professionele revalidatie van
gehandicapten";42.0;24;18;0;11;9;1;3;0;0;7;4;1;4;1;1
;Mond-, kaak- en aangezichtschirurgie;13.0;2;11;0;2;0;0;0;0;1;10;0;0;0;0;0
;Intensieve zorgen;68.0;25;43;1;23;1;0;0;0;0;36;4;1;1;1;0
;Pediatrische neurologie;12.0;9;3;0;7;1;1;0;0;0;3;0;0;0;0;0
;Nefrologie;11.0;5;6;0;5;0;0;0;0;0;6;0;0;0;0;0
;Urgentiegeneeskunde;18.0;8;10;0;4;1;1;1;1;0;6;1;2;0;1;0
;Endocrino-diabetologie;11.0;8;3;0;7;0;1;0;0;0;2;0;1;0;0;0
;Neonatologie;9.0;8;1;0;7;1;0;0;0;0;0;0;1;0;0;0
;Oncologie;10.0;7;3;0;7;0;0;0;0;0;2;1;0;0;0;0
;Pediatrische hematologie en oncologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Klinische hematologie;15.0;9;6;0;9;0;0;0;0;0;6;0;0;0;0;0
;Forensische psychiatrie;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;Klinische infectiologie;8.0;4;4;0;3;1;0;0;0;0;4;0;0;0;0;0
;Medische microbiologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Vlaams Gewest;Alle specialiteiten;149.0;83;66;1;66;10;3;2;1;0;54;4;3;3;1;1
;"Functionele en professionele revalidatie van
gehandicapten";27.0;14;13;0;7;5;0;2;0;0;7;2;1;2;0;1
;Mond-, kaak- en aangezichtschirurgie;8.0;2;6;0;2;0;0;0;0;0;6;0;0;0;0;0
;Intensieve zorgen;48.0;18;30;1;17;0;0;0;0;0;27;1;0;1;1;0
;Pediatrische neurologie;9.0;8;1;0;6;1;1;0;0;0;1;0;0;0;0;0
;Nefrologie;5.0;2;3;0;2;0;0;0;0;0;3;0;0;0;0;0
;Urgentiegeneeskunde;13.0;7;6;0;4;1;1;0;1;0;4;1;1;0;0;0
;Endocrino-diabetologie;10.0;7;3;0;6;0;1;0;0;0;2;0;1;0;0;0
;Neonatologie;7.0;7;0;0;6;1;0;0;0;0;0;0;0;0;0;0
;Oncologie;8.0;7;1;0;7;0;0;0;0;0;1;0;0;0;0;0
;Pediatrische hematologie en oncologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Klinische hematologie;6.0;4;2;0;4;0;0;0;0;0;2;0;0;0;0;0
;Forensische psychiatrie;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;Klinische infectiologie;5.0;4;1;0;3;1;0;0;0;0;1;0;0;0;0;0
;Medische microbiologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Waals Gewest;Alle specialiteiten;39.0;18;21;0;12;4;0;2;0;1;12;4;1;1;2;0
;"Functionele en professionele revalidatie van
gehandicapten";10.0;7;3;0;2;4;0;1;0;0;0;1;0;1;1;0
;Mond-, kaak- en aangezichtschirurgie;3.0;0;3;0;0;0;0;0;0;1;2;0;0;0;0;0
;Intensieve zorgen;7.0;2;5;0;2;0;0;0;0;0;3;2;0;0;0;0
;Pediatrische neurologie;2.0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
;Nefrologie;4.0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0
;Urgentiegeneeskunde;5.0;1;4;0;0;0;0;1;0;0;2;0;1;0;1;0
;Neonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Oncologie;1.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;Klinische hematologie;6.0;4;2;0;4;0;0;0;0;0;2;0;0;0;0;0
"Brussels Hoofdstedelijk
Gewest";Alle specialiteiten;32.0;11;21;0;9;1;1;0;0;0;16;2;2;1;0;0
;"Functionele en professionele revalidatie van
gehandicapten";5.0;3;2;0;2;0;1;0;0;0;0;1;0;1;0;0
;Mond-, kaak- en aangezichtschirurgie;2.0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
;Intensieve zorgen;13.0;5;8;0;4;1;0;0;0;0;6;1;1;0;0;0
;Pediatrische neurologie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Nefrologie;2.0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
;Endocrino-diabetologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Neonatologie;1.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;Oncologie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Klinische hematologie;3.0;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0
;Klinische infectiologie;3.0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0
Vlaams Brabant;Alle specialiteiten;51.0;27;24;0;23;2;1;1;0;0;21;1;0;1;1;0
;"Functionele en professionele revalidatie van
gehandicapten";6.0;4;2;0;2;1;0;1;0;0;1;0;0;1;0;0
;Mond-, kaak- en aangezichtschirurgie;4.0;1;3;0;1;0;0;0;0;0;3;0;0;0;0;0
;Intensieve zorgen;16.0;5;11;0;5;0;0;0;0;0;10;0;0;0;1;0
;Pediatrische neurologie;4.0;4;0;0;3;0;1;0;0;0;0;0;0;0;0;0
;Nefrologie;4.0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0
;Urgentiegeneeskunde;2.0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0
;Endocrino-diabetologie;4.0;3;1;0;3;0;0;0;0;0;1;0;0;0;0;0
;Neonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Oncologie;3.0;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
;Klinische hematologie;4.0;3;1;0;3;0;0;0;0;0;1;0;0;0;0;0
