Territoire;Spécialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES LES SAGES-FEMMES;11401;11295;106;925;2185;1532;1293;940;1031;1117;974;531;767;4;4;5;8;12;20;18;25;9;1
Région Flandre;TOUTES LES SAGES-FEMMES;7723;7656;67;704;1408;1034;978;624;687;763;674;343;441;2;1;4;2;7;15;15;17;4;0
Région Wallonie;TOUTES LES SAGES-FEMMES;2843;2813;30;171;507;348;259;268;306;284;255;158;257;1;2;0;4;4;3;3;8;4;1
Région Région de Bruxelles-capitale;TOUTES LES SAGES-FEMMES;835;826;9;50;270;150;56;48;38;70;45;30;69;1;1;1;2;1;2;0;0;1;0
Prov Brabant flamand;TOUTES LES SAGES-FEMMES;1465;1447;18;111;285;211;147;114;126;166;128;57;102;0;1;1;0;3;2;4;5;2;0
Prov Flandre occidentale;TOUTES LES SAGES-FEMMES;1538;1527;11;179;280;189;162;129;140;144;141;84;79;1;0;0;0;0;3;1;5;1;0
Prov Flandre orientale;TOUTES LES SAGES-FEMMES;1565;1548;17;145;332;212;263;115;157;133;114;39;38;0;0;1;1;2;6;4;3;0;0
Prov Anvers;TOUTES LES SAGES-FEMMES;2104;2090;14;176;342;281;276;176;176;213;193;111;146;1;0;2;1;2;1;4;2;1;0
Prov Limbourg;TOUTES LES SAGES-FEMMES;1051;1044;7;93;169;141;130;90;88;107;98;52;76;0;0;0;0;0;3;2;2;0;0
Prov Brabant wallon;TOUTES LES SAGES-FEMMES;397;393;4;22;64;52;29;31;41;45;44;22;43;0;0;0;0;0;0;1;2;1;0
