gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle paramedici;80812;68243;12569;6761;12575;11354;8177;6789;5284;4210;4702;4143;4248;1100;2419;2092;1287;1073;936;771;854;867;1170
Vlaams Gewest;Alle paramedici;49762;42425;7337;4690;8433;7340;4980;4053;3190;2426;2756;2357;2200;729;1515;1198;640;597;499;421;489;501;748
Waals Gewest;Alle paramedici;25594;21377;4217;1582;3128;3177;2690;2340;1829;1566;1718;1591;1756;284;700;695;520;374;363;296;307;315;363
Brussels Hoofdstedelijk Gewest;Alle paramedici;5456;4441;1015;489;1014;837;507;396;265;218;228;195;292;87;204;199;127;102;74;54;58;51;59
Vlaams Brabant;Alle paramedici;8315;6898;1417;643;1319;1120;845;701;540;417;458;443;412;129;262;219;105;119;117;79;104;129;154
West-Vlaanderen;Alle paramedici;10114;8580;1534;979;1631;1529;970;852;650;446;581;486;456;142;285;245;138;104;110;105;122;103;180
Oost-Vlaanderen;Alle paramedici;12256;10530;1726;1225;2234;1802;1181;992;756;595;642;526;577;170;397;269;157;159;110;94;110;95;165
Antwerpen;Alle paramedici;12745;10959;1786;1315;2272;1880;1263;955;792;613;709;628;532;194;382;300;169;145;94;100;108;123;171
Limburg;Alle paramedici;6332;5458;874;528;977;1009;721;553;452;355;366;274;223;94;189;165;71;70;68;43;45;51;78
Waals Brabant;Alle paramedici;2967;2468;499;141;319;340;314;262;226;193;207;224;242;20;63;71;72;48;38;51;37;47;52
Henegouwen;Alle paramedici;8863;7204;1659;547;1106;1097;855;777;614;553;580;505;570;139;301;272;222;138;133;100;106;110;138
Luik;Alle paramedici;8172;6975;1197;509;1013;1038;903;743;586;510;566;532;575;76;221;205;130;100;111;87;74;90;103
Namen;Alle paramedici;3831;3180;651;220;453;481;431;379;261;218;246;234;257;32;83;113;77;69;66;42;72;51;46
Luxemburg;Alle paramedici;1761;1550;211;165;237;221;187;179;142;92;119;96;112;17;32;34;19;19;15;16;18;17;24
Brussels Hoofdstedelijk Gewest;Alle paramedici;5456;4441;1015;489;1014;837;507;396;265;218;228;195;292;87;204;199;127;102;74;54;58;51;59
België;Farmaceutisch-technisch assistent;15438;13472;1966;1548;1902;1994;1468;1269;1044;1201;1081;906;1059;369;398;407;188;130;126;95;78;66;109
