Territoire;Specialite;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;125;75;50;0;1;51;6;11;4;0;2;0;0;0;1;35;6;2;4;1;1;0;0
Région Flandre;TOUTES SPECIALITES;72;43;29;0;0;34;2;3;3;0;1;0;0;0;1;23;3;0;1;1;0;0;0
Région Wallonie;TOUTES SPECIALITES;26;17;9;0;0;7;2;7;1;0;0;0;0;0;0;5;2;1;1;0;0;0;0
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;27;15;12;0;1;10;2;1;0;0;1;0;0;0;0;7;1;1;2;0;1;0;0
Prov Brabant flamand;TOUTES SPECIALITES;21;14;7;0;0;10;1;1;2;0;0;0;0;0;0;6;1;0;0;0;0;0;0
Prov Flandre occidentale;TOUTES SPECIALITES;9;6;3;0;0;6;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Prov Flandre orientale;TOUTES SPECIALITES;14;8;6;0;0;8;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0
Prov Anvers;TOUTES SPECIALITES;20;8;12;0;0;7;0;0;0;0;1;0;0;0;1;8;1;0;1;1;0;0;0
Prov Limbourg;TOUTES SPECIALITES;8;7;1;0;0;3;1;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Brabant wallon;TOUTES SPECIALITES;5;3;2;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Prov Hainaut;TOUTES SPECIALITES;6;4;2;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Prov Liège;TOUTES SPECIALITES;13;10;3;0;0;4;1;5;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
Prov Namur;TOUTES SPECIALITES;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Luxembourg;TOUTES SPECIALITES;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;27;15;12;0;1;10;2;1;0;0;1;0;0;0;0;7;1;1;2;0;1;0;0
Belgique;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;27;16;11;0;0;4;3;8;1;0;0;0;0;0;0;4;3;2;1;0;1;0;0
Belgique;CHIRURGIE ORALE ET MAXILLO-FACIALE;8;3;5;0;0;3;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0
Belgique;SOINS INTENSIFS;40;24;16;0;0;21;0;1;1;0;1;0;0;0;0;16;0;0;0;0;0;0;0
Belgique;NEUROLOGIE PEDIATRIQUE;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgique;NEPHROLOGIE;11;5;6;0;1;4;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
Belgique;MEDECINE D'URGENCE;17;10;7;0;0;7;2;0;1;0;0;0;0;0;0;2;2;0;2;1;0;0;0
Belgique;ENDOCRINO-DIABETOLOGIE;12;8;4;0;0;5;1;0;1;0;1;0;0;0;1;2;0;0;1;0;0;0;0
Belgique;NEONATOLOGIE;5;5;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgique;HEMATOLOGIE CLINIQUE;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région Flandre;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;10;7;3;0;0;3;1;3;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
Région Flandre;CHIRURGIE ORALE ET MAXILLO-FACIALE;6;2;4;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
Région Flandre;SOINS INTENSIFS;28;16;12;0;0;14;0;0;1;0;1;0;0;0;0;12;0;0;0;0;0;0;0
Région Flandre;NEUROLOGIE PEDIATRIQUE;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Flandre;NEPHROLOGIE;8;4;4;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
Région Flandre;MEDECINE D'URGENCE;11;6;5;0;0;4;1;0;1;0;0;0;0;0;0;2;1;0;1;1;0;0;0
Région Flandre;ENDOCRINO-DIABETOLOGIE;5;4;1;0;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Région Flandre;NEONATOLOGIE;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Wallonie;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;11;7;4;0;0;1;0;5;1;0;0;0;0;0;0;2;1;1;0;0;0;0;0
Région Wallonie;SOINS INTENSIFS;6;4;2;0;0;3;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Région Wallonie;MEDECINE D'URGENCE;4;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Région Wallonie;ENDOCRINO-DIABETOLOGIE;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Wallonie;NEONATOLOGIE;2;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Wallonie;HEMATOLOGIE CLINIQUE;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;6;2;4;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0
Région Région de Bruxelles-capitale;CHIRURGIE ORALE ET MAXILLO-FACIALE;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Région Région de Bruxelles-capitale;SOINS INTENSIFS;6;4;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;NEUROLOGIE PEDIATRIQUE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;NEPHROLOGIE;3;1;2;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;MEDECINE D'URGENCE;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;ENDOCRINO-DIABETOLOGIE;6;3;3;0;0;2;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0
Région Région de Bruxelles-capitale;NEONATOLOGIE;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;3;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Prov Brabant flamand;CHIRURGIE ORALE ET MAXILLO-FACIALE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;SOINS INTENSIFS;8;5;3;0;0;4;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Prov Brabant flamand;NEUROLOGIE PEDIATRIQUE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;NEPHROLOGIE;3;1;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Prov Brabant flamand;MEDECINE D'URGENCE;3;2;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Brabant flamand;ENDOCRINO-DIABETOLOGIE;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;NEONATOLOGIE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
