territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;661;489;172;11;430;25;9;11;1;0;2;0;0;1;137;22;6;1;3;0;1;0;1
Région Flandre;386;293;93;7;263;10;7;5;1;0;0;0;0;0;86;5;1;0;1;0;0;0;0
Région Wallonie;172;126;46;2;119;3;2;0;0;0;0;0;0;1;33;8;3;1;0;0;0;0;0
Région de Bruxelles-capitale;103;70;33;2;48;12;0;6;0;0;2;0;0;0;18;9;2;0;2;0;1;0;1
Prov Brabant flamand;80;62;18;3;57;0;0;1;1;0;0;0;0;0;15;1;1;0;1;0;0;0;0
Prov Flandre occidentale;61;52;9;1;49;1;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0
Prov Flandre orientale;88;67;21;1;62;1;2;1;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0
Prov Anvers;102;72;30;2;60;6;3;1;0;0;0;0;0;0;27;3;0;0;0;0;0;0;0
Prov Limbourg;55;40;15;0;35;2;2;1;0;0;0;0;0;0;14;1;0;0;0;0;0;0;0
Prov Brabant wallon;18;13;5;1;10;1;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0
Prov Hainaut;63;45;18;0;43;1;1;0;0;0;0;0;0;1;13;4;0;0;0;0;0;0;0
Prov Liège;57;40;17;0;40;0;0;0;0;0;0;0;0;0;13;3;0;1;0;0;0;0;0
Prov Namur;14;10;4;0;9;1;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0
Prov Luxembourg;20;18;2;1;17;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;103;70;33;2;48;12;0;6;0;0;2;0;0;0;18;9;2;0;2;0;1;0;1
