Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Man;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20
;;;Vrouw;Man;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
België;Alle specialiteiten;4598.0;1813;2785;164;281;332;317;238;169;135;177;102;173;241;318;332;378;362;879
;Nucleaire in vitro geneeskunde;205.0;82;123;0;0;2;7;11;25;19;18;1;1;0;3;8;21;29;60
;"Functionele en professionele revalidatie
van gehandicapten";987.0;376;611;10;22;57;63;61;42;35;86;6;21;27;37;50;53;63;354
;Geriatrie;147.0;50;97;0;6;7;13;8;6;6;4;0;1;3;5;6;5;14;63
;Mond-, kaak- en aangezichtschirurgie;201.0;47;154;5;7;14;11;3;1;6;0;10;17;25;21;19;20;15;27
;Intensieve zorgen;948.0;314;634;46;71;55;60;44;17;12;9;48;70;70;88;88;105;76;89
;Pediatrische neurologie;101.0;75;26;5;15;16;12;4;6;4;13;0;1;2;2;3;2;6;10
;Nefrologie;359.0;147;212;17;38;30;25;12;9;9;7;14;23;20;23;22;27;20;63
;Urgentiegeneeskunde;476.0;133;343;7;11;29;29;26;12;8;11;4;14;33;57;65;47;56;67
;Endocrino-diabetologie;365.0;204;161;29;35;42;32;26;13;13;14;5;6;15;23;12;19;19;62
;Neonatologie;141.0;100;41;10;21;15;21;16;8;5;4;2;4;3;10;6;5;5;6
;Oncologie;325.0;125;200;16;30;38;23;7;7;3;1;7;9;26;33;29;40;30;26
;Pediatrische hematologie en oncologie;42.0;30;12;0;3;8;4;3;7;5;0;0;1;3;2;2;2;0;2
;Klinische hematologie;173.0;92;81;19;21;17;14;9;7;4;1;5;5;12;9;13;15;8;14
;Beheer van gezondheidsgegevens;103.0;29;74;0;0;0;1;5;8;6;9;0;0;1;1;8;14;20;30
;Forensische psychiatrie;25.0;9;16;0;1;2;2;3;1;0;0;0;0;1;4;1;3;1;6
Vlaams Gewest;Alle specialiteiten;2803.0;1129;1674;119;193;223;217;154;94;63;66;79;119;162;204;211;214;199;486
;Nucleaire in vitro geneeskunde;108.0;38;70;0;0;2;5;9;11;5;6;1;0;0;3;7;12;19;28
;"Functionele en professionele revalidatie
van gehandicapten";618.0;246;372;10;20;48;45;45;27;16;35;6;19;20;26;33;30;31;207
;Geriatrie;98.0;34;64;0;6;4;11;5;2;4;2;0;1;2;5;2;2;12;40
;Mond-, kaak- en aangezichtschirurgie;147.0;27;120;4;5;7;8;0;0;3;0;8;16;21;15;13;15;13;19
;Intensieve zorgen;628.0;237;391;35;53;43;49;34;12;7;4;35;45;52;57;57;54;43;48
;Pediatrische neurologie;60.0;42;18;5;7;8;9;3;4;2;4;0;1;1;2;3;1;3;7
;Nefrologie;200.0;83;117;9;25;18;15;7;2;5;2;11;15;12;12;12;14;8;33
;Urgentiegeneeskunde;268.0;76;192;7;7;20;22;11;2;2;5;4;8;24;36;38;26;27;29
;Endocrino-diabetologie;182.0;109;73;19;23;19;15;13;9;7;4;3;4;6;13;4;10;6;27
;Neonatologie;75.0;49;26;6;9;6;9;10;5;3;1;2;2;2;5;5;4;3;3
;Oncologie;231.0;98;133;14;23;29;16;7;6;3;0;6;5;15;21;21;29;19;17
;Pediatrische hematologie en oncologie;26.0;20;6;0;3;6;2;2;5;2;0;0;1;0;1;2;1;0;1
;Klinische hematologie;92.0;52;40;10;11;11;9;4;5;2;0;3;2;5;3;8;8;4;7
;Beheer van gezondheidsgegevens;45.0;9;36;0;0;0;0;1;3;2;3;0;0;1;1;5;5;10;14
