gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;ALLE SPECIALITEITEN;25012;9055;15957;0;24;1303;1741;1559;1321;1010;862;540;695;0;4;844;1506;1504;2025;2148;2187;1768;3971
Gewest Vlaanderen;ALLE SPECIALITEITEN;13198;4662;8536;0;9;747;989;883;740;464;389;225;216;0;1;510;847;837;1176;1186;1198;886;1895
Gewest Wallonië;ALLE SPECIALITEITEN;8339;2930;5409;0;9;343;551;472;407;372;297;205;274;0;3;224;482;492;668;722;744;657;1417
Gewest Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;3475;1463;2012;0;6;213;201;204;174;174;176;110;205;0;0;110;177;175;181;240;245;225;659
Prov Vlaams Brabant;ALLE SPECIALITEITEN;3502;1399;2103;0;6;232;275;261;209;154;124;79;59;0;0;124;203;214;316;305;288;215;438
Prov West-Vlaanderen;ALLE SPECIALITEITEN;2156;601;1555;0;1;104;124;112;104;34;56;31;35;0;0;89;131;129;188;197;215;177;429
Prov Oost-Vlaanderen;ALLE SPECIALITEITEN;2865;1048;1817;0;0;172;228;190;162;111;82;53;50;0;0;104;203;182;241;246;238;196;407
Prov Antwerpen;ALLE SPECIALITEITEN;3331;1183;2148;0;2;177;260;230;187;123;102;49;53;0;1;138;205;217;305;296;314;209;463
Prov Limburg;ALLE SPECIALITEITEN;1344;431;913;0;0;62;102;90;78;42;25;13;19;0;0;55;105;95;126;142;143;89;158
Prov Waals Brabant;ALLE SPECIALITEITEN;1694;627;1067;0;2;66;92;112;95;105;51;30;74;0;0;35;92;111;156;143;147;115;268
Prov Henegouwen;ALLE SPECIALITEITEN;2291;741;1550;0;2;75;145;105;91;90;88;74;71;0;2;39;119;138;179;213;216;207;437
Prov Luik;ALLE SPECIALITEITEN;2722;1013;1709;0;4;128;196;164;135;117;107;70;92;0;1;96;154;156;194;226;228;204;450
Prov Namen;ALLE SPECIALITEITEN;1185;408;777;0;1;57;89;65;60;49;34;23;30;0;0;44;87;66;94;101;102;97;186
Prov Luxemburg;ALLE SPECIALITEITEN;447;141;306;0;0;17;29;26;26;11;17;8;7;0;0;10;30;21;45;39;51;34;76
Prov Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;3475;1463;2012;0;6;213;201;204;174;174;176;110;205;0;0;110;177;175;181;240;245;225;659
België;ARBEIDSGENEESKUNDE;1040;538;502;0;0;31;114;80;107;93;72;28;13;0;0;10;32;25;54;91;118;84;88
België;ANESTHESIE-REANIMATIE;2143;811;1332;0;1;122;158;145;116;60;67;51;91;0;1;121;191;190;199;196;153;105;176
België;HEELKUNDE;1668;244;1424;0;0;42;57;40;31;31;23;13;7;0;0;74;135;143;166;173;173;151;409
België;NEUROCHIRURGIE;192;20;172;0;0;0;5;9;4;1;0;0;1;0;0;12;29;23;23;23;18;17;27
België;PLASTISCHE, RECONSTRUCTIEVE EN ESTHETISCHE HEELKUNDE;229;51;178;0;0;4;13;8;6;11;5;3;1;0;0;15;22;27;38;15;21;11;29
België;NEUROLOGIE;347;163;184;0;3;41;42;40;28;6;3;0;0;0;0;27;43;35;39;14;13;7;6
België;PSYCHIATRIE;998;436;562;0;0;7;47;121;98;58;40;35;30;0;0;5;41;68;93;60;79;63;153
België;GYNAECOLOGIE-VERLOSKUNDE;1502;640;862;0;0;118;121;124;95;71;54;24;33;0;1;30;54;70;78;113;113;109;294
België;OFTALMOLOGIE;1126;635;491;0;6;83;91;84;79;81;67;56;88;0;0;28;38;31;59;57;55;47;176
België;OTORHINOLARYNGOLOGIE;689;248;441;0;0;42;42;52;40;26;23;9;14;0;0;20;36;31;48;74;52;46;134
België;UROLOGIE;415;35;380;0;0;4;12;9;4;4;2;0;0;0;0;24;54;37;50;42;51;50;72
België;ORTHOPEDISCHE HEELKUNDE;1062;77;985;0;0;9;17;16;16;6;5;4;4;0;0;66;108;110;155;155;123;88;180
België;STOMATOLOGIE;339;76;263;0;0;14;18;10;6;8;4;7;9;0;0;21;22;21;33;28;27;25;86
België;DERMATO-VENEREOLOGIE;763;516;247;0;10;78;79;88;67;51;60;33;50;0;0;6;14;14;33;26;28;27;99
België;PNEUMOLOGIE;482;173;309;0;0;53;43;27;12;12;12;6;8;0;0;14;34;35;46;64;44;26;46
België;GASTRO-ENTEROLOGIE;628;162;466;0;0;32;43;28;20;13;10;13;3;0;0;27;58;48;77;69;65;51;71
België;PEDIATRIE;1660;957;703;0;2;138;191;163;132;74;96;58;103;0;0;26;37;57;49;74;77;85;298
