Territoire;Specialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;182;116;66;73;36;3;2;1;1;0;0;0;0;40;22;2;0;1;0;0;1;0;0
Région Flandre;TOUTES SPECIALITES;116;70;46;52;16;0;1;1;0;0;0;0;0;30;14;1;0;0;0;0;1;0;0
Région Wallonie;TOUTES SPECIALITES;34;24;10;13;10;1;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0
Région de Bruxelles-capitale;TOUTES SPECIALITES;32;22;10;8;10;2;1;0;1;0;0;0;0;2;6;1;0;1;0;0;0;0;0
Prov Brabant flamand;TOUTES SPECIALITES;29;17;12;13;3;0;0;1;0;0;0;0;0;5;7;0;0;0;0;0;0;0;0
Prov Flandre occidentale;TOUTES SPECIALITES;21;15;6;13;2;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0
Prov Flandre orientale;TOUTES SPECIALITES;26;17;9;11;6;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0
Prov Anvers;TOUTES SPECIALITES;29;15;14;11;3;0;1;0;0;0;0;0;0;11;2;0;0;0;0;0;1;0;0
Prov Limbourg;TOUTES SPECIALITES;11;6;5;4;2;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0
Prov Brabant wallon;TOUTES SPECIALITES;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Hainaut;TOUTES SPECIALITES;8;6;2;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Prov Liège;TOUTES SPECIALITES;20;14;6;5;8;1;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0
Prov Namur;TOUTES SPECIALITES;5;3;2;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Prov Luxembourg;TOUTES SPECIALITES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;32;22;10;8;10;2;1;0;1;0;0;0;0;2;6;1;0;1;0;0;0;0;0
Belgique;DENTISTERIE GENERALE;116;73;43;58;11;1;1;1;1;0;0;0;0;31;10;0;0;1;0;0;1;0;0
Belgique;PARODONTOLOGIE;25;11;14;5;5;0;1;0;0;0;0;0;0;5;8;1;0;0;0;0;0;0;0
Belgique;ORTHODONTIE;41;32;9;10;20;2;0;0;0;0;0;0;0;4;4;1;0;0;0;0;0;0;0
Région Flandre;DENTISTERIE GENERALE;77;47;30;41;4;0;1;1;0;0;0;0;0;23;6;0;0;0;0;0;1;0;0
Région Flandre;PARODONTOLOGIE;18;7;11;5;2;0;0;0;0;0;0;0;0;4;6;1;0;0;0;0;0;0;0
Région Flandre;ORTHODONTIE;21;16;5;6;10;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0
Région Wallonie;DENTISTERIE GENERALE;23;16;7;13;3;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0
Région Wallonie;PARODONTOLOGIE;3;1;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Région Wallonie;ORTHODONTIE;8;7;1;0;6;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Région de Bruxelles-capitale;DENTISTERIE GENERALE;16;10;6;4;4;1;0;0;1;0;0;0;0;1;4;0;0;1;0;0;0;0;0
Région de Bruxelles-capitale;PARODONTOLOGIE;4;3;1;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Région de Bruxelles-capitale;ORTHODONTIE;12;9;3;4;4;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Prov Brabant flamand;DENTISTERIE GENERALE;20;14;6;11;2;0;0;1;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0
Prov Brabant flamand;PARODONTOLOGIE;5;1;4;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Prov Brabant flamand;ORTHODONTIE;4;2;2;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Prov Flandre occidentale;DENTISTERIE GENERALE;15;11;4;10;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
Prov Flandre occidentale;PARODONTOLOGIE;5;3;2;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
