territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Toutes les spécialités;9846;4907;4939;40;489;544;358;408;503;475;661;755;674;9;247;304;211;252;228;287;780;1101;1520
Belgique;Dentisterie générale;9109;4430;4679;40;462;478;309;360;449;399;598;709;626;9;232;267;188;225;205;273;734;1061;1485
Belgique;Parodontologie;197;107;90;0;6;20;16;16;14;22;9;3;1;0;10;17;11;15;8;9;12;3;5
Belgique;Orthodontie;540;370;170;0;21;46;33;32;40;54;54;43;47;0;5;20;12;12;15;5;34;37;30
Région flamande;Toutes les spécialités;5752;2890;2862;26;261;320;201;238;342;272;421;471;338;6;125;155;95;135;129;135;454;707;921
Région flamande;Dentisterie générale;5288;2584;2704;26;246;273;173;210;308;223;378;435;312;6;114;136;79;119;117;126;428;680;899
Région flamande;Parodontologie;144;82;62;0;5;16;8;11;13;18;7;3;1;0;8;12;9;8;6;5;8;2;4
Région flamande;Orthodontie;320;224;96;0;10;31;20;17;21;31;36;33;25;0;3;7;7;8;6;4;18;25;18
Région wallonne;Toutes les spécialités;2858;1407;1451;12;135;132;109;117;120;141;182;225;234;1;61;70;68;73;67;97;240;308;466
Région wallonne;Dentisterie générale;2674;1284;1390;12;126;123;93;104;104;122;168;217;215;1;61;62;64;68;62;93;226;296;457
Région wallonne;Parodontologie;34;18;16;0;1;2;5;4;1;4;1;0;0;0;0;3;2;3;2;3;2;1;0
Région wallonne;Orthodontie;150;105;45;0;8;7;11;9;15;15;13;8;19;0;0;5;2;2;3;1;12;11;9
Région de Bruxelles Capitale;Toutes les spécialités;1236;610;626;2;93;92;48;53;41;62;58;59;102;2;61;79;48;44;32;55;86;86;133
Région de Bruxelles Capitale;Dentisterie générale;1147;562;585;2;90;82;43;46;37;54;52;57;99;2;57;69;45;38;26;54;80;85;129
Région de Bruxelles Capitale;Parodontologie;19;7;12;0;0;2;3;1;0;0;1;0;0;0;2;2;0;4;0;1;2;0;1
Région de Bruxelles Capitale;Orthodontie;70;41;29;0;3;8;2;6;4;8;5;2;3;0;2;8;3;2;6;0;4;1;3
Brabant flamand;Toutes les spécialités;1292;721;571;5;47;62;56;61;95;87;111;117;80;2;24;34;25;31;39;30;108;129;149
Brabant flamand;Dentisterie générale;1169;638;531;5;44;55;50;53;82;72;100;105;72;2;22;29;23;25;35;28;103;122;142
Brabant flamand;Parodontologie;39;20;19;0;0;2;2;0;6;5;2;3;0;0;2;4;1;3;3;1;2;1;2
Brabant flamand;Orthodontie;84;63;21;0;3;5;4;8;7;10;9;9;8;0;0;1;1;3;1;1;3;6;5
Flandre occidentale;Toutes les spécialités;1058;486;572;4;47;58;33;48;60;32;62;87;55;1;21;16;15;21;15;20;68;156;239
Flandre occidentale;Dentisterie générale;996;447;549;4;45;49;32;42;57;27;56;83;52;1;19;15;13;18;12;18;63;154;236
Flandre occidentale;Parodontologie;22;15;7;0;1;5;0;3;2;3;1;0;0;0;2;0;2;1;0;1;1;0;0
Flandre occidentale;Orthodontie;40;24;16;0;1;4;1;3;1;2;5;4;3;0;0;1;0;2;3;1;4;2;3
Flandre orientale;Toutes les spécialités;1279;652;627;7;83;75;33;48;82;57;78;93;96;2;33;46;14;29;33;35;93;145;197
Flandre orientale;Dentisterie générale;1160;577;583;7;78;60;26;43;70;44;72;87;90;2;29;37;9;24;31;32;85;141;193
Flandre orientale;Parodontologie;40;22;18;0;2;5;3;2;4;6;0;0;0;0;2;6;4;2;1;2;1;0;0
Flandre orientale;Orthodontie;79;53;26;0;3;10;4;3;8;7;6;6;6;0;2;3;1;3;1;1;7;4;4
Anvers;Toutes les spécialités;1412;694;718;7;52;90;57;46;64;69;121;109;79;1;30;39;29;35;29;41;124;181;209
Anvers;Dentisterie générale;1302;617;685;7;48;77;48;39;59;55;108;103;73;1;29;37;24;34;26;40;117;174;203
Anvers;Parodontologie;31;18;13;0;2;3;3;4;1;3;1;0;1;0;0;2;2;1;2;0;3;1;2
Anvers;Orthodontie;79;59;20;0;2;10;6;3;4;11;12;6;5;0;1;0;3;0;1;1;4;6;4
Limbourg;Toutes les spécialités;711;337;374;3;32;35;22;35;41;27;49;65;28;0;17;20;12;19;13;9;61;96;127
Limbourg;Dentisterie générale;661;305;356;3;31;32;17;33;40;25;42;57;25;0;15;18;10;18;13;8;60;89;125
Limbourg;Parodontologie;12;7;5;0;0;1;0;2;0;1;3;0;0;0;2;0;0;1;0;1;1;0;0
Limbourg;Orthodontie;38;25;13;0;1;2;5;0;1;1;4;8;3;0;0;2;2;0;0;0;0;7;2
Brabant Wallon;Toutes les spécialités;596;330;266;4;18;27;23;27;33;35;33;61;69;0;6;18;16;14;19;19;37;49;88
