Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Homme;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23
;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
Belgique;Toutes les spécialités;6689.0;3877;2812;353;2627;771;70;28;16;8;3;1;209;1846;648;65;22;10;6;3;2;1
;Gériatrie;137.0;101;36;3;58;38;1;1;0;0;0;0;1;21;12;2;0;0;0;0;0;0
;Médecine d'urgence;585.0;349;236;27;217;89;10;3;2;1;0;0;9;126;81;12;2;4;1;0;1;0
;Médecine légale;14.0;10;4;1;5;4;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
;Gestion des données de santé;1.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;Anesthésie-réanimation;616.0;265;351;12;184;59;7;3;0;0;0;0;22;246;73;7;3;0;0;0;0;0
;Chirurgie;395.0;208;187;19;134;53;0;2;0;0;0;0;14;123;49;1;0;0;0;0;0;0
;Neurochirurgie;74.0;26;48;3;16;7;0;0;0;0;0;0;1;33;13;1;0;0;0;0;0;0
;"Chirurgie plastique, reconstructive et
esthétique";71.0;38;33;5;24;9;0;0;0;0;0;0;3;16;13;1;0;0;0;0;0;0
;Urologie;165.0;77;88;5;50;21;1;0;0;0;0;0;6;54;27;1;0;0;0;0;0;0
;Orthopédie;314.0;84;230;6;49;27;2;0;0;0;0;0;15;146;63;6;0;0;0;0;0;0
;Neurologie;201.0;129;72;13;91;20;4;1;0;0;0;0;9;53;10;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";148.0;125;23;8;92;21;2;2;0;0;0;0;2;17;4;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en
psychiatrie adulte";333.0;192;141;12;144;28;6;2;0;0;0;0;8;98;32;1;2;0;0;0;0;0
;Pneumologie;104.0;64;40;1;38;25;0;0;0;0;0;0;1;26;13;0;0;0;0;0;0;0
