gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle kinesitherapeuten;39948;24067;15881;1593;4145;2850;1800;2329;2431;2103;2065;1875;2876;701;2660;1683;833;1253;1557;1233;1320;1470;3171
Vlaams Gewest;Alle kinesitherapeuten;22514;14082;8432;903;2430;1525;1169;1424;1610;1281;1148;1068;1524;320;1282;768;461;700;839;639;721;824;1878
Waals Gewest;Alle kinesitherapeuten;14212;8137;6075;546;1323;1069;521;806;714;720;769;661;1008;295;1034;681;283;474;631;521;534;544;1078
Brussels Hoofdstedelijk Gewest;Alle kinesitherapeuten;3222;1848;1374;144;392;256;110;99;107;102;148;146;344;86;344;234;89;79;87;73;65;102;215
Vlaams Brabant;Alle kinesitherapeuten;4830;3068;1762;194;491;394;254;307;317;276;257;236;342;73;273;191;110;165;172;125;146;151;356
West-Vlaanderen;Alle kinesitherapeuten;4198;2498;1700;167;403;233;164;262;324;227;199;215;304;55;182;93;76;159;166;143;161;210;455
Oost-Vlaanderen;Alle kinesitherapeuten;5177;3367;1810;204;575;333;298;381;406;300;273;214;383;70;296;140;89;140;183;135;192;167;398
Antwerpen;Alle kinesitherapeuten;5529;3483;2046;212;665;364;316;312;361;333;304;282;334;74;351;219;125;138;195;150;159;201;434
Limburg;Alle kinesitherapeuten;2780;1666;1114;126;296;201;137;162;202;145;115;121;161;48;180;125;61;98;123;86;63;95;235
Waals Brabant;Alle kinesitherapeuten;2468;1580;888;94;217;197;95;152;139;116;170;166;234;42;143;109;55;69;99;75;80;88;128
Henegouwen;Alle kinesitherapeuten;4260;2209;2051;128;357;261;139;201;207;211;211;186;308;91;323;227;78;147;209;174;178;182;442
Luik;Alle kinesitherapeuten;4107;2388;1719;177;399;317;142;252;205;220;215;194;267;77;303;179;73;146;178;157;154;166;286
Namen;Alle kinesitherapeuten;2029;1154;875;89;192;145;81;109;85;117;109;88;139;50;139;88;40;65;99;78;78;78;160
Luxemburg;Alle kinesitherapeuten;1348;806;542;58;158;149;64;92;78;56;64;27;60;35;126;78;37;47;46;37;44;30;62
Brussels Hoofdstedelijk Gewest;Alle kinesitherapeuten;3222;1848;1374;144;392;256;110;99;107;102;148;146;344;86;344;234;89;79;87;73;65;102;215
België;Zonder bijzondere beroepsbekwaamheid (BB);36395;21564;14831;1593;3965;2223;1350;1960;2151;1873;1872;1748;2829;701;2603;1466;707;1098;1411;1137;1218;1384;3106
Vlaams Gewest;Zonder bijzondere beroepsbekwaamheid (BB);19736;12110;7626;903;2271;1019;793;1153;1389;1100;1014;980;1488;320;1239;615;360;580;727;567;635;753;1830
Waals Gewest;Zonder bijzondere beroepsbekwaamheid (BB);13601;7710;5891;546;1308;975;469;719;667;679;716;633;998;295;1023;636;266;447;604;502;522;533;1063
Brussels Hoofdstedelijk Gewest;Zonder bijzondere beroepsbekwaamheid (BB);3058;1744;1314;144;386;229;88;88;95;94;142;135;343;86;341;215;81;71;80;68;61;98;213
Vlaams Brabant;Zonder bijzondere beroepsbekwaamheid (BB);4275;2667;1608;194;460;293;174;249;261;247;235;216;338;73;268;154;90;147;147;113;131;136;349
West-Vlaanderen;Zonder bijzondere beroepsbekwaamheid (BB);3619;2099;1520;167;369;131;107;201;277;188;170;194;295;55;174;67;53;120;144;126;144;196;441
Oost-Vlaanderen;Zonder bijzondere beroepsbekwaamheid (BB);4474;2846;1628;204;537;200;186;304;350;243;247;201;374;70;284;107;66;111;157;122;169;154;388
Antwerpen;Zonder bijzondere beroepsbekwaamheid (BB);4901;3043;1858;212;629;245;228;261;319;295;266;262;326;74;338;180;102;121;171;131;136;179;426
Limburg;Zonder bijzondere beroepsbekwaamheid (BB);2467;1455;1012;126;276;150;98;138;182;127;96;107;155;48;175;107;49;81;108;75;55;88;226
Waals Brabant;Zonder bijzondere beroepsbekwaamheid (BB);2279;1443;836;94;210;169;73;133;124;102;154;155;229;42;139;93;49;63;91;71;77;87;124
Henegouwen;Zonder bijzondere beroepsbekwaamheid (BB);4128;2125;2003;128;356;243;131;184;197;199;198;182;307;91;321;215;75;138;204;169;175;179;436
Luik;Zonder bijzondere beroepsbekwaamheid (BB);3910;2246;1664;177;395;280;131;218;192;208;198;183;264;77;301;170;71;136;167;149;150;160;283
Namen;Zonder bijzondere beroepsbekwaamheid (BB);1961;1106;855;89;190;138;74;94;79;115;103;86;138;50;137;81;37;63;97;77;77;77;159
Luxemburg;Zonder bijzondere beroepsbekwaamheid (BB);1323;790;533;58;157;145;60;90;75;55;63;27;60;35;125;77;34;47;45;36;43;30;61
Brussels Hoofdstedelijk Gewest;Zonder bijzondere beroepsbekwaamheid (BB);3058;1744;1314;144;386;229;88;88;95;94;142;135;343;86;341;215;81;71;80;68;61;98;213
België;Cardiovasculaire kinesitherapie;164;95;69;0;9;14;10;15;17;13;12;5;0;0;2;9;9;8;6;10;11;11;3
België;Manuele therapie;1570;833;737;0;90;292;179;96;65;44;36;18;13;0;46;177;97;109;92;57;62;60;37
België;Neurologische kinesitherapie;418;314;104;0;25;82;51;44;33;34;24;17;4;0;3;13;14;16;22;16;7;6;7
België;Pediatrische kinesitherapie;793;716;77;0;36;169;144;115;80;63;60;34;15;0;2;9;4;15;13;8;9;7;10
België;Bekkenbodemreëducatie en perinatale kinesitherapie;569;549;20;0;9;69;72;103;90;82;59;51;14;0;0;0;2;0;3;2;5;2;6
België;Respiratoire kinesitherapie;415;301;114;0;22;63;52;48;35;36;24;14;7;0;6;16;7;20;16;7;18;15;9
