Territoire;Specialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;8413;3881;4532;49;303;286;460;435;563;720;599;255;211;22;119;192;211;213;515;1004;926;535;795
Région Flandre;TOUTES SPECIALITES;4928;2281;2647;39;171;155;292;261;355;428;357;124;99;17;74;80;123;98;267;602;606;306;474
Région Wallonie;TOUTES SPECIALITES;2506;1145;1361;8;87;77;125;131;142;229;184;89;73;2;25;64;52;73;180;298;259;184;224
Région de Bruxelles-capitale;TOUTES SPECIALITES;979;455;524;2;45;54;43;43;66;63;58;42;39;3;20;48;36;42;68;104;61;45;97
Prov Brabant flamand;TOUTES SPECIALITES;1115;596;519;11;33;38;87;73;98;116;89;22;29;2;21;11;32;28;66;118;114;52;75
Prov Flandre occidentale;TOUTES SPECIALITES;920;387;533;9;39;39;53;38;43;72;53;24;17;2;9;18;16;15;30;121;126;80;116
Prov Flandre orientale;TOUTES SPECIALITES;1057;485;572;8;37;27;66;59;69;78;80;42;19;6;20;18;36;20;64;103;134;61;110
Prov Anvers;TOUTES SPECIALITES;1220;546;674;8;43;26;50;60;111;110;85;25;28;6;14;18;26;31;78;175;145;64;117
Prov Limbourg;TOUTES SPECIALITES;616;267;349;3;19;25;36;31;34;52;50;11;6;1;10;15;13;4;29;85;87;49;56
Prov Brabant wallon;TOUTES SPECIALITES;500;272;228;1;17;15;29;34;30;49;52;23;22;0;4;8;11;14;28;41;46;37;39
Prov Hainaut;TOUTES SPECIALITES;661;297;364;4;24;11;36;41;36;66;49;13;17;0;8;20;12;16;52;69;85;41;61
Prov Liège;TOUTES SPECIALITES;889;375;514;3;38;41;37;30;47;82;50;29;18;1;11;24;18;27;63;135;77;72;86
Prov Namur;TOUTES SPECIALITES;307;136;171;0;5;6;16;18;20;19;22;18;12;1;1;10;9;9;24;29;36;21;31
Prov Luxembourg;TOUTES SPECIALITES;149;65;84;0;3;4;7;8;9;13;11;6;4;0;1;2;2;7;13;24;15;13;7
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;979;455;524;2;45;54;43;43;66;63;58;42;39;3;20;48;36;42;68;104;61;45;97
Belgique;DENTISTERIE GENERALE;7878;3535;4343;49;283;244;416;378;495;671;557;241;201;22;111;170;192;197;485;966;890;523;787
Belgique;PARODONTOLOGIE;137;77;60;0;10;13;15;19;13;3;3;1;0;0;6;10;8;8;11;10;5;2;0
Belgique;ORTHODONTIE;398;269;129;0;10;29;29;38;55;46;39;13;10;0;2;12;11;8;19;28;31;10;8
Région Flandre;DENTISTERIE GENERALE;4590;2063;2527;39;156;133;264;227;310;394;328;118;94;17;67;67;112;85;252;575;582;303;467
Région Flandre;PARODONTOLOGIE;101;60;41;0;7;7;13;16;10;3;3;1;0;0;6;5;6;7;4;8;4;1;0
Région Flandre;ORTHODONTIE;237;158;79;0;8;15;15;18;35;31;26;5;5;0;1;8;5;6;11;19;20;2;7
Région Wallonie;DENTISTERIE GENERALE;2361;1049;1312;8;83;62;115;110;131;217;173;81;69;2;24;58;48;71;167;291;250;177;224
Région Wallonie;PARODONTOLOGIE;25;13;12;0;2;4;2;3;2;0;0;0;0;0;0;3;1;1;5;1;1;0;0
Région Wallonie;ORTHODONTIE;120;83;37;0;2;11;8;18;9;12;11;8;4;0;1;3;3;1;8;6;8;7;0
Région de Bruxelles-capitale;DENTISTERIE GENERALE;927;423;504;2;44;49;37;41;54;60;56;42;38;3;20;45;32;41;66;100;58;43;96
Région de Bruxelles-capitale;PARODONTOLOGIE;11;4;7;0;1;2;0;0;1;0;0;0;0;0;0;2;1;0;2;1;0;1;0
Région de Bruxelles-capitale;ORTHODONTIE;41;28;13;0;0;3;6;2;11;3;2;0;1;0;0;1;3;1;0;3;3;1;1
Prov Brabant flamand;DENTISTERIE GENERALE;1020;535;485;11;31;33;80;60;89;105;80;20;26;2;21;8;28;23;61;110;108;50;74
Prov Brabant flamand;PARODONTOLOGIE;31;17;14;0;2;1;3;6;1;1;3;0;0;0;0;1;1;5;2;3;1;1;0
Prov Brabant flamand;ORTHODONTIE;64;44;20;0;0;4;4;7;8;10;6;2;3;0;0;2;3;0;3;5;5;1;1
Prov Flandre occidentale;DENTISTERIE GENERALE;869;356;513;9;37;34;49;34;40;64;49;23;17;2;7;17;14;11;28;118;123;80;113
Prov Flandre occidentale;PARODONTOLOGIE;15;10;5;0;1;1;3;3;1;1;0;0;0;0;2;0;1;0;1;1;0;0;0
Prov Flandre occidentale;ORTHODONTIE;36;21;15;0;1;4;1;1;2;7;4;1;0;0;0;1;1;4;1;2;3;0;3
Prov Flandre orientale;DENTISTERIE GENERALE;980;436;544;8;32;21;57;51;60;73;76;40;18;6;18;13;33;18;60;97;129;61;109
Prov Flandre orientale;PARODONTOLOGIE;23;14;9;0;3;1;3;5;2;0;0;0;0;0;2;2;2;1;1;0;1;0;0
Prov Flandre orientale;ORTHODONTIE;54;35;19;0;2;5;6;3;7;5;4;2;1;0;0;3;1;1;3;6;4;0;1
Prov Anvers;DENTISTERIE GENERALE;1138;492;646;8;37;23;44;53;92;105;79;24;27;6;11;16;24;30;74;170;137;63;115
Prov Anvers;PARODONTOLOGIE;21;12;9;0;1;3;2;1;4;0;0;1;0;0;2;0;2;0;0;3;2;0;0
Prov Anvers;ORTHODONTIE;61;42;19;0;5;0;4;6;15;5;6;0;1;0;1;2;0;1;4;2;6;1;2
Prov Limbourg;DENTISTERIE GENERALE;583;244;339;3;19;22;34;29;29;47;44;11;6;1;10;13;13;3;29;80;85;49;56
Prov Limbourg;PARODONTOLOGIE;11;7;4;0;0;1;2;1;2;1;0;0;0;0;0;2;0;1;0;1;0;0;0
Prov Limbourg;ORTHODONTIE;22;16;6;0;0;2;0;1;3;4;6;0;0;0;0;0;0;0;0;4;2;0;0
Prov Brabant wallon;DENTISTERIE GENERALE;458;244;214;1;17;12;25;26;26;48;49;20;20;0;4;7;10;14;25;39;43;33;39
Prov Brabant wallon;PARODONTOLOGIE;6;1;5;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;1;1;0;0
Prov Brabant wallon;ORTHODONTIE;36;27;9;0;0;3;4;7;4;1;3;3;2;0;0;0;1;0;1;1;2;4;0
Prov Hainaut;DENTISTERIE GENERALE;635;279;356;4;24;10;33;36;35;62;46;13;16;0;8;19;12;16;49;67;84;40;61
Prov Hainaut;PARODONTOLOGIE;3;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Prov Hainaut;ORTHODONTIE;23;16;7;0;0;1;2;4;1;4;3;0;1;0;0;1;0;0;2;2;1;1;0
Prov Liège;DENTISTERIE GENERALE;836;342;494;3;34;34;35;26;44;78;46;24;18;1;10;21;16;25;60;132;72;71;86
Prov Liège;PARODONTOLOGIE;11;7;4;0;2;3;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
Prov Liège;ORTHODONTIE;42;26;16;0;2;4;2;3;2;4;4;5;0;0;1;2;1;1;2;3;5;1;0
Prov Namur;DENTISTERIE GENERALE;291;124;167;0;5;3;15;14;18;18;21;18;12;1;1;9;9;9;22;29;36;20;31
Prov Namur;PARODONTOLOGIE;5;3;2;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Prov Namur;ORTHODONTIE;11;9;2;0;0;2;0;4;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0
Prov Luxembourg;DENTISTERIE GENERALE;141;60;81;0;3;3;7;8;8;11;11;6;3;0;1;2;1;7;11;24;15;13;7
Prov Luxembourg;PARODONTOLOGIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxembourg;ORTHODONTIE;8;5;3;0;0;1;0;0;1;2;0;0;1;0;0;0;1;0;2;0;0;0;0
Prov Région de Bruxelles-capitale;DENTISTERIE GENERALE;927;423;504;2;44;49;37;41;54;60;56;42;38;3;20;45;32;41;66;100;58;43;96
Prov Région de Bruxelles-capitale;PARODONTOLOGIE;11;4;7;0;1;2;0;0;1;0;0;0;0;0;0;2;1;0;2;1;0;1;0
Prov Région de Bruxelles-capitale;ORTHODONTIE;41;28;13;0;0;3;6;2;11;3;2;0;1;0;0;1;3;1;0;3;3;1;1
