Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Man;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21
;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64
België;Alle specialiteiten;6425.0;3685;2740;338;2547;676;78;22;11;10;3;201;1896;556;50;16;14;4;2;1
;Geriatrie;128.0;99;29;5;59;33;2;0;0;0;0;1;14;13;1;0;0;0;0;0
;Urgentiegeneeskunde;528.0;285;243;20;176;75;10;2;1;1;0;9;143;73;7;4;6;1;0;0
;Gerechtelijke geneeskunde;14.0;9;5;1;6;2;0;0;0;0;0;0;4;1;0;0;0;0;0;0
;Anesthesie-reanimatie;673.0;295;378;16;217;46;12;4;0;0;0;18;273;76;6;2;3;0;0;0
;Heelkunde;393.0;198;195;16;134;46;2;0;0;0;0;19;133;40;2;1;0;0;0;0
;Neurochirurgie;70.0;23;47;1;19;2;1;0;0;0;0;4;31;12;0;0;0;0;0;0
;"Plastische, reconstructieve en esthetische
heelkunde";62.0;32;30;5;15;12;0;0;0;0;0;0;17;12;1;0;0;0;0;0
;Urologie;149.0;70;79;5;47;17;1;0;0;0;0;1;53;24;1;0;0;0;0;0
;Orthopedische heelkunde;308.0;91;217;4;59;28;0;0;0;0;0;10;148;54;3;1;1;0;0;0
;Neurologie;185.0;121;64;19;76;24;1;1;0;0;0;11;43;10;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";148.0;127;21;6;89;26;5;0;1;0;0;0;18;3;0;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";314.0;182;132;16;122;31;7;2;1;3;0;13;91;28;0;0;0;0;0;0
;Pneumologie;77.0;44;33;1;20;22;1;0;0;0;0;1;16;16;0;0;0;0;0;0
;Gastro-enterologie;103.0;64;39;0;35;27;1;1;0;0;0;0;21;17;1;0;0;0;0;0
;Cardiologie;124.0;51;73;0;26;25;0;0;0;0;0;2;36;30;4;0;1;0;0;0
;Inwendige geneeskunde;913.0;516;397;86;386;39;2;3;0;0;0;49;306;36;4;2;0;0;0;0
;Reumatologie;36.0;25;11;0;12;12;1;0;0;0;0;0;8;3;0;0;0;0;0;0
;Acute geneeskunde;21.0;9;12;0;6;2;1;0;0;0;0;0;9;2;1;0;0;0;0;0
;Gynaecologie-verloskunde;344.0;296;48;27;227;40;2;0;0;0;0;4;36;8;0;0;0;0;0;0
;Oftalmologie;174.0;94;80;16;68;5;5;0;0;0;0;9;61;7;2;0;1;0;0;0
;Otorhinolaryngologie;135.0;88;47;6;75;7;0;0;0;0;0;3;38;6;0;0;0;0;0;0
;Stomatologie;80.0;29;51;4;24;1;0;0;0;0;0;5;37;9;0;0;0;0;0;0
;Dermato-venereologie;123.0;103;20;15;81;7;0;0;0;0;0;1;18;1;0;0;0;0;0;0
;Pediatrie;491.0;409;82;45;306;55;3;0;0;0;0;9;63;10;0;0;0;0;0;0
;Fysische geneeskunde en revalidatie;122.0;65;57;5;53;6;0;1;0;0;0;5;46;6;0;0;0;0;0;0
;Klinische biologie;78.0;36;42;0;23;10;3;0;0;0;0;4;29;5;3;1;0;0;0;0
;Rontgendiagnose;281.0;110;171;7;77;22;2;2;0;0;0;13;130;22;4;2;0;0;0;0
;Radiotherapie - oncologie;55.0;25;30;2;19;4;0;0;0;0;0;4;18;6;1;1;0;0;0;0
;Nucleaire geneeskunde;38.0;16;22;2;11;3;0;0;0;0;0;2;12;7;0;1;0;0;0;0
;Pathologische anatomie;71.0;45;26;0;34;10;0;1;0;0;0;2;19;3;2;0;0;0;0;0
;Medische oncologie;65.0;39;26;4;17;16;2;0;0;0;0;0;14;11;1;0;0;0;0;0
;Klinische genetica;22.0;16;6;4;9;2;1;0;0;0;0;2;3;1;0;0;0;0;0;0
;Arbeidsgeneeskunde;100.0;73;27;0;19;19;13;5;8;6;3;0;8;4;6;1;2;3;2;1
Vlaams Gewest;Alle specialiteiten;3291.0;1900;1391;205;1305;327;37;13;4;7;2;125;984;246;22;6;4;2;2;0
;Geriatrie;44.0;32;12;0;19;13;0;0;0;0;0;0;6;6;0;0;0;0;0;0
;Urgentiegeneeskunde;222.0;126;96;10;78;34;3;1;0;0;0;8;55;28;3;1;1;0;0;0
;Gerechtelijke geneeskunde;9.0;7;2;1;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
