territoire;specialite;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUTES SPECIALITES;195;133;62;84;41;5;1;1;1;0;0;0;0;40;15;5;2;0;0;0;0;0;0
Région Flandre;TOUTES SPECIALITES;118;77;41;58;18;1;0;0;0;0;0;0;0;33;5;3;0;0;0;0;0;0;0
Région Wallonie;TOUTES SPECIALITES;34;28;6;18;8;1;0;1;0;0;0;0;0;1;4;0;1;0;0;0;0;0;0
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;43;28;15;8;15;3;1;0;1;0;0;0;0;6;6;2;1;0;0;0;0;0;0
Prov Brabant flamand;TOUTES SPECIALITES;24;15;9;11;3;1;0;0;0;0;0;0;0;5;3;1;0;0;0;0;0;0;0
Prov Flandre occidentale;TOUTES SPECIALITES;20;14;6;13;1;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0
Prov Flandre orientale;TOUTES SPECIALITES;31;19;12;10;9;0;0;0;0;0;0;0;0;9;2;1;0;0;0;0;0;0;0
Prov Anvers;TOUTES SPECIALITES;28;17;11;15;2;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0
Prov Limbourg;TOUTES SPECIALITES;15;12;3;9;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
Prov Brabant wallon;TOUTES SPECIALITES;2;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Hainaut;TOUTES SPECIALITES;6;5;1;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Liège;TOUTES SPECIALITES;23;20;3;13;5;1;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
Prov Namur;TOUTES SPECIALITES;2;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Luxembourg;TOUTES SPECIALITES;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;43;28;15;8;15;3;1;0;1;0;0;0;0;6;6;2;1;0;0;0;0;0;0
Belgique;DENTISTERIE GENERALE;136;89;47;70;15;3;0;0;1;0;0;0;0;34;11;1;1;0;0;0;0;0;0
Belgique;PARODONTOLOGIE;21;12;9;4;7;0;1;0;0;0;0;0;0;4;3;2;0;0;0;0;0;0;0
Belgique;ORTHODONTIE;38;32;6;10;19;2;0;1;0;0;0;0;0;2;1;2;1;0;0;0;0;0;0
Région Flandre;DENTISTERIE GENERALE;84;54;30;50;3;1;0;0;0;0;0;0;0;28;2;0;0;0;0;0;0;0;0
Région Flandre;PARODONTOLOGIE;16;7;9;3;4;0;0;0;0;0;0;0;0;4;3;2;0;0;0;0;0;0;0
