territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_50-54;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59
Belgique;Toutes les spécialités;335;204;131;74;96;25;7;1;1;40;60;19;5;2;2;2;1
Belgique;Dentisterie générale;255;150;105;58;61;22;7;1;1;35;43;15;5;2;2;2;1
Belgique;Parodontologie;27;13;14;3;9;1;0;0;0;4;8;2;0;0;0;0;0
Belgique;Orthodontie;53;41;12;13;26;2;0;0;0;1;9;2;0;0;0;0;0
Région flamande;Toutes les spécialités;171;110;61;50;44;10;5;0;1;21;21;13;1;1;1;2;1
Région flamande;Dentisterie générale;121;71;50;38;19;8;5;0;1;20;14;10;1;1;1;2;1
Région flamande;Parodontologie;20;12;8;3;8;1;0;0;0;1;5;2;0;0;0;0;0
Région flamande;Orthodontie;30;27;3;9;17;1;0;0;0;0;2;1;0;0;0;0;0
Région wallonne;Toutes les spécialités;78;43;35;16;21;5;1;0;0;14;17;3;1;0;0;0;0
Région wallonne;Dentisterie générale;62;35;27;12;17;5;1;0;0;10;13;3;1;0;0;0;0
Région wallonne;Parodontologie;5;1;4;0;1;0;0;0;0;3;1;0;0;0;0;0;0
Région wallonne;Orthodontie;11;7;4;4;3;0;0;0;0;1;3;0;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;86;51;35;8;31;10;1;1;0;5;22;3;3;1;1;0;0
Région de Bruxelles Capitale;Dentisterie générale;72;44;28;8;25;9;1;1;0;5;16;2;3;1;1;0;0
Région de Bruxelles Capitale;Parodontologie;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Région de Bruxelles Capitale;Orthodontie;12;7;5;0;6;1;0;0;0;0;4;1;0;0;0;0;0
Brabant flamand;Toutes les spécialités;53;34;19;15;15;1;3;0;0;4;10;5;0;0;0;0;0
Brabant flamand;Dentisterie générale;30;18;12;10;4;1;3;0;0;3;7;2;0;0;0;0;0
Brabant flamand;Parodontologie;11;5;6;1;4;0;0;0;0;1;3;2;0;0;0;0;0
Brabant flamand;Orthodontie;12;11;1;4;7;0;0;0;0;0;0;1;0;0;0;0;0
Flandre occidentale;Toutes les spécialités;21;14;7;6;7;1;0;0;0;5;2;0;0;0;0;0;0
Flandre occidentale;Dentisterie générale;14;9;5;5;3;1;0;0;0;5;0;0;0;0;0;0;0
Flandre occidentale;Parodontologie;3;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0
Flandre occidentale;Orthodontie;4;3;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0
Flandre orientale;Toutes les spécialités;52;35;17;14;13;7;1;0;0;7;4;3;1;1;1;0;0
Flandre orientale;Dentisterie générale;38;22;16;10;6;5;1;0;0;7;3;3;1;1;1;0;0
Flandre orientale;Parodontologie;5;4;1;1;2;1;0;0;0;0;1;0;0;0;0;0;0
Flandre orientale;Orthodontie;9;9;0;3;5;1;0;0;0;0;0;0;0;0;0;0;0
Anvers;Toutes les spécialités;29;17;12;7;7;1;1;0;1;1;4;5;0;0;0;1;1
Anvers;Dentisterie générale;24;13;11;6;4;1;1;0;1;1;3;5;0;0;0;1;1
Anvers;Orthodontie;5;4;1;1;3;0;0;0;0;0;1;0;0;0;0;0;0
Limbourg;Toutes les spécialités;16;10;6;8;2;0;0;0;0;4;1;0;0;0;0;1;0
Limbourg;Dentisterie générale;15;9;6;7;2;0;0;0;0;4;1;0;0;0;0;1;0
Limbourg;Parodontologie;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Brabant Wallon;Toutes les spécialités;9;7;2;4;3;0;0;0;0;1;1;0;0;0;0;0;0
Brabant Wallon;Dentisterie générale;7;5;2;3;2;0;0;0;0;1;1;0;0;0;0;0;0
Brabant Wallon;Parodontologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Brabant Wallon;Orthodontie;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Hainaut;Toutes les spécialités;20;14;6;4;6;3;1;0;0;3;3;0;0;0;0;0;0
Hainaut;Dentisterie générale;20;14;6;4;6;3;1;0;0;3;3;0;0;0;0;0;0
Liège;Toutes les spécialités;33;14;19;4;9;1;0;0;0;8;8;2;1;0;0;0;0
Liège;Dentisterie générale;22;11;11;3;7;1;0;0;0;4;4;2;1;0;0;0;0
Liège;Parodontologie;4;0;4;0;0;0;0;0;0;3;1;0;0;0;0;0;0
Liège;Orthodontie;7;3;4;1;2;0;0;0;0;1;3;0;0;0;0;0;0
Namur;Toutes les spécialités;11;5;6;3;2;0;0;0;0;2;3;1;0;0;0;0;0
Namur;Dentisterie générale;8;2;6;1;1;0;0;0;0;2;3;1;0;0;0;0;0
Namur;Orthodontie;3;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Luxembourg;Toutes les spécialités;5;3;2;1;1;1;0;0;0;0;2;0;0;0;0;0;0
Luxembourg;Dentisterie générale;5;3;2;1;1;1;0;0;0;0;2;0;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;86;51;35;8;31;10;1;1;0;5;22;3;3;1;1;0;0
Région de Bruxelles Capitale;Dentisterie générale;72;44;28;8;25;9;1;1;0;5;16;2;3;1;1;0;0
Région de Bruxelles Capitale;Parodontologie;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Région de Bruxelles Capitale;Orthodontie;12;7;5;0;6;1;0;0;0;0;4;1;0;0;0;0;0
