Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Man;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
België;Alle specialiteiten;10089.0;5086;5003;52;521;596;400;372;512;466;608;749;810;8;263;352;227;236;246;253;663;1038;1717
;Algemeen tandarts;9330.0;4595;4735;52;497;521;351;326;458;397;540;700;753;8;253;304;205;210;222;239;618;1004;1672
;Parodontologie;206.0;116;90;0;7;24;16;15;15;21;11;4;3;0;7;21;11;13;8;7;14;4;5
;Orthodontie;553.0;375;178;0;17;51;33;31;39;48;57;45;54;0;3;27;11;13;16;7;31;30;40
Vlaams Gewest;Alle specialiteiten;5878.0;2988;2890;33;272;342;233;218;339;276;385;458;432;7;128;180;114;118;143;117;364;662;1057
;Algemeen tandarts;5397.0;2672;2725;33;260;290;202;193;302;232;341;421;398;7;121;150;102;102;131;104;341;636;1031
;Parodontologie;149.0;88;61;0;4;19;10;8;14;18;8;4;3;0;6;16;8;6;5;7;6;4;3
;Orthodontie;332.0;228;104;0;8;33;21;17;23;26;36;33;31;0;1;14;4;10;7;6;17;22;23
Waals Gewest;Alle specialiteiten;2928.0;1460;1468;15;155;145;117;101;131;136;161;233;266;0;73;83;64;69;73;87;215;288;516
;Algemeen tandarts;2737.0;1335;1402;15;146;135;103;85;119;115;146;224;247;0;71;75;58;64;67;86;199;282;500
;Parodontologie;39.0;20;19;0;2;3;4;5;1;3;2;0;0;0;1;4;2;4;2;0;5;0;1
;Orthodontie;152.0;105;47;0;7;7;10;11;11;18;13;9;19;0;1;4;4;1;4;1;11;6;15
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;1283.0;638;645;4;94;109;50;53;42;54;62;58;112;1;62;89;49;49;30;49;84;88;144
;Algemeen tandarts;1196.0;588;608;4;91;96;46;48;37;50;53;55;108;1;61;79;45;44;24;49;78;86;141
;Parodontologie;18.0;8;10;0;1;2;2;2;0;0;1;0;0;0;0;1;1;3;1;0;3;0;1
;Orthodontie;69.0;42;27;0;2;11;2;3;5;4;8;3;4;0;1;9;3;2;5;0;3;2;2
Vlaams Brabant;Alle specialiteiten;1327.0;744;583;3;54;64;63;59;95;81;106;120;99;3;29;37;34;22;43;29;88;122;176
;Algemeen tandarts;1200.0;660;540;3;52;56;56;51;85;67;94;108;88;3;28;30;32;18;38;23;84;116;168
;Parodontologie;40.0;22;18;0;0;3;3;0;5;6;1;2;2;0;1;5;1;2;2;3;1;2;1
;Orthodontie;87.0;62;25;0;2;5;4;8;5;8;11;10;9;0;0;2;1;2;3;3;3;4;7
West-Vlaanderen;Alle specialiteiten;1075.0;497;578;7;43;63;42;38;60;42;45;77;80;2;19;24;13;20;18;17;52;142;271
;Algemeen tandarts;1011.0;455;556;7;40;54;40;32;57;36;42;71;76;2;19;22;11;17;15;15;49;138;268
;Parodontologie;24.0;18;6;0;2;5;1;3;2;4;0;1;0;0;0;1;2;1;0;1;1;0;0
;Orthodontie;40.0;24;16;0;1;4;1;3;1;2;3;5;4;0;0;1;0;2;3;1;2;4;3
Oost-Vlaanderen;Alle specialiteiten;1291.0;667;624;8;80;83;34;45;82;61;74;87;113;1;37;50;18;22;36;31;79;124;226
;Algemeen tandarts;1172.0;592;580;8;78;68;25;40;70;49;66;82;106;1;33;39;14;18;34;28;71;121;221
;Parodontologie;39.0;21;18;0;1;4;4;1;4;6;1;0;0;0;3;7;3;1;1;2;1;0;0
