territoire;special;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUS LES PHARMACIENS;18618;12993;5625;647;1845;1336;1440;1508;1495;1129;844;1227;1522;151;523;346;483;445;531;502;435;740;1469
Région Flandre;TOUS LES PHARMACIENS;10941;7571;3370;471;1121;780;836;864;861;667;464;702;805;106;285;174;273;254;269;293;262;513;941
Région Wallonie;TOUS LES PHARMACIENS;5965;4217;1748;147;522;403;479;532;518;364;294;412;546;38;167;113;154;154;210;165;126;176;445
Région Région de Bruxelles-capitale;TOUS LES PHARMACIENS;1712;1205;507;29;202;153;125;112;116;98;86;113;171;7;71;59;56;37;52;44;47;51;83
Prov Brabant flamand;TOUS LES PHARMACIENS;2421;1749;672;98;227;182;210;188;215;161;114;171;183;15;64;44;60;59;66;68;68;80;148
Prov Flandre occidentale;TOUS LES PHARMACIENS;2006;1362;644;90;177;144;147;165;146;115;82;126;170;16;42;24;43;35;43;49;51;109;232
Prov Flandre orientale;TOUS LES PHARMACIENS;2686;1831;855;131;290;155;226;213;210;140;117;168;181;30;68;38;75;79;65;59;61;156;224
Prov Anvers;TOUS LES PHARMACIENS;2817;1925;892;103;304;222;177;220;209;200;115;179;196;25;87;52;67;67;76;94;69;119;236
Prov Limbourg;TOUS LES PHARMACIENS;1011;704;307;49;123;77;76;78;81;51;36;58;75;20;24;16;28;14;19;23;13;49;101
Prov Brabant wallon;TOUS LES PHARMACIENS;1003;728;275;10;81;68;84;91;108;52;67;77;90;1;21;21;27;34;28;35;19;22;67
Prov Hainaut;TOUS LES PHARMACIENS;1704;1190;514;50;136;104;141;163;137;119;92;129;119;15;49;38;53;44;62;53;38;73;89
Prov Liège;TOUS LES PHARMACIENS;2005;1399;606;51;182;137;133;164;161;114;81;119;257;14;64;34;43;46;74;45;43;47;196
Prov Namur;TOUS LES PHARMACIENS;883;646;237;28;91;60;94;80;74;60;40;66;53;7;22;14;22;17;31;22;22;24;56
Prov Luxembourg;TOUS LES PHARMACIENS;370;254;116;8;32;34;27;34;38;19;14;21;27;1;11;6;9;13;15;10;4;10;37
Prov Région de Bruxelles-capitale;TOUS LES PHARMACIENS;1712;1205;507;29;202;153;125;112;116;98;86;113;171;7;71;59;56;37;52;44;47;51;83
Belgique;SANS AGREMENT;17370;11963;5407;603;1607;1174;1309;1403;1405;1068;793;1123;1478;150;482;323;463;430;507;488;423;698;1443
Belgique;PHARMACIE HOSPITALIERE;1248;1030;218;44;238;162;131;105;90;61;51;104;44;1;41;23;20;15;24;14;12;42;26
Région Flandre;SANS AGREMENT;10185;6941;3244;447;971;685;754;802;807;628;434;633;780;105;267;161;259;246;260;285;254;484;923
Région Wallonie;SANS AGREMENT;5581;3900;1681;129;455;356;441;497;485;345;276;388;528;38;149;110;151;148;198;161;124;164;438
Région Région de Bruxelles-capitale;SANS AGREMENT;1604;1122;482;27;181;133;114;104;113;95;83;102;170;7;66;52;53;36;49;42;45;50;82
Région Flandre;PHARMACIE HOSPITALIERE;756;630;126;24;150;95;82;62;54;39;30;69;25;1;18;13;14;8;9;8;8;29;18
Région Wallonie;PHARMACIE HOSPITALIERE;384;317;67;18;67;47;38;35;33;19;18;24;18;0;18;3;3;6;12;4;2;12;7
Région Région de Bruxelles-capitale;PHARMACIE HOSPITALIERE;108;83;25;2;21;20;11;8;3;3;3;11;1;0;5;7;3;1;3;2;2;1;1
Prov Brabant flamand;SANS AGREMENT;2271;1624;647;92;204;158;191;180;204;156;109;150;180;14;60;39;58;59;65;65;66;75;146
Prov Brabant flamand;PHARMACIE HOSPITALIERE;150;125;25;6;23;24;19;8;11;5;5;21;3;1;4;5;2;0;1;3;2;5;2
Prov Flandre occidentale;SANS AGREMENT;1872;1252;620;88;151;124;132;157;136;108;77;113;166;16;36;23;42;32;41;49;48;103;230
Prov Flandre occidentale;PHARMACIE HOSPITALIERE;134;110;24;2;26;20;15;8;10;7;5;13;4;0;6;1;1;3;2;0;3;6;2
Prov Flandre orientale;SANS AGREMENT;2476;1653;823;124;237;137;195;197;198;132;112;148;173;30;68;34;68;77;63;58;59;147;219
Prov Flandre orientale;PHARMACIE HOSPITALIERE;210;178;32;7;53;18;31;16;12;8;5;20;8;0;0;4;7;2;2;1;2;9;5
