Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Man;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21
;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64
België;Alle specialiteiten;6595.0;3778;2817;343;2586;723;72;29;13;7;5;233;1889;598;57;19;13;5;1;2
;Geriatrie;139.0;105;34;5;55;42;2;1;0;0;0;1;19;13;1;0;0;0;0;0
;Urgentiegeneeskunde;559.0;315;244;29;195;73;11;5;1;1;0;8;137;84;5;4;5;0;0;1
;Gerechtelijke geneeskunde;11.0;7;4;1;4;2;0;0;0;0;0;0;3;1;0;0;0;0;0;0
;Beheer van gezondheidsgegevens;1.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Anesthesie-reanimatie;655.0;296;359;18;202;62;9;4;1;0;0;24;258;67;8;1;1;0;0;0
;Heelkunde;400.0;205;195;15;133;55;2;0;0;0;0;16;133;44;1;0;1;0;0;0
;Neurochirurgie;69.0;22;47;3;15;4;0;0;0;0;0;3;35;9;0;0;0;0;0;0
;"Plastische, reconstructieve en esthetische
heelkunde";65.0;34;31;3;23;8;0;0;0;0;0;0;14;16;1;0;0;0;0;0
;Urologie;162.0;75;87;5;51;16;3;0;0;0;0;9;50;26;1;1;0;0;0;0
;Orthopedische heelkunde;316.0;83;233;4;49;29;1;0;0;0;0;17;152;60;4;0;0;0;0;0
;Neurologie;188.0;121;67;16;80;21;3;1;0;0;0;12;44;11;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";145.0;121;24;8;88;21;2;2;0;0;0;3;17;4;0;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";322.0;184;138;14;132;29;6;2;0;1;0;12;92;33;0;1;0;0;0;0
;Pneumologie;85.0;50;35;0;34;15;1;0;0;0;0;0;19;16;0;0;0;0;0;0
