Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Homme;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14
;;;Femme;Homme;30-34;35-39;40-44;45-49;55-59;30-34;35-39;40-44;45-49;50-54
Belgique;Toutes les spécialités;190.0;108;82;84;12;6;5;1;68;5;4;3;2
;Réadaptation fonctionnelle et professionnelle des handicapés;29.0;14;15;9;1;1;3;0;9;4;1;0;1
;Chirurgie orale et maxillo - faciale;8.0;4;4;4;0;0;0;0;4;0;0;0;0
;Soins intensifs;49.0;24;25;20;1;1;1;1;22;1;1;1;0
;Neurologie pédiatrique;14.0;12;2;12;0;0;0;0;2;0;0;0;0
;Néphrologie;14.0;7;7;7;0;0;0;0;7;0;0;0;0
;Médecine d'urgence;28.0;14;14;8;2;3;1;0;9;0;2;2;1
;Endocrino-diabétologie;11.0;7;4;4;2;1;0;0;4;0;0;0;0
;Néonatologie;6.0;4;2;3;1;0;0;0;2;0;0;0;0
;Oncologie;19.0;13;6;9;4;0;0;0;6;0;0;0;0
;Hématologie et oncologie pédiatrique;5.0;5;0;4;1;0;0;0;0;0;0;0;0
;Hématologie clinique;7.0;4;3;4;0;0;0;0;3;0;0;0;0
Région flamande;Toutes les spécialités;122.0;64;58;51;7;4;2;0;51;2;3;1;1
;Réadaptation fonctionnelle et professionnelle des handicapés;19.0;7;12;5;1;0;1;0;9;2;0;0;1
;Chirurgie orale et maxillo - faciale;4.0;1;3;1;0;0;0;0;3;0;0;0;0
;Soins intensifs;38.0;18;20;16;1;0;1;0;19;0;1;0;0
;Neurologie pédiatrique;7.0;6;1;6;0;0;0;0;1;0;0;0;0
;Néphrologie;6.0;4;2;4;0;0;0;0;2;0;0;0;0
;Médecine d'urgence;20.0;10;10;6;1;3;0;0;7;0;2;1;0
;Endocrino-diabétologie;8.0;4;4;2;1;1;0;0;4;0;0;0;0
;Néonatologie;3.0;3;0;2;1;0;0;0;0;0;0;0;0
;Oncologie;10.0;7;3;5;2;0;0;0;3;0;0;0;0
;Hématologie et oncologie pédiatrique;2.0;2;0;2;0;0;0;0;0;0;0;0;0
;Hématologie clinique;5.0;2;3;2;0;0;0;0;3;0;0;0;0
Région wallonne;Toutes les spécialités;35.0;21;14;16;1;1;2;1;9;2;0;2;1
;Réadaptation fonctionnelle et professionnelle des handicapés;6.0;4;2;2;0;1;1;0;0;2;0;0;0
;Chirurgie orale et maxillo - faciale;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Soins intensifs;5.0;3;2;2;0;0;0;1;1;0;0;1;0
;Neurologie pédiatrique;4.0;3;1;3;0;0;0;0;1;0;0;0;0
;Néphrologie;4.0;1;3;1;0;0;0;0;3;0;0;0;0
;Médecine d'urgence;5.0;3;2;1;1;0;1;0;0;0;0;1;1
;Néonatologie;1.0;0;1;0;0;0;0;0;1;0;0;0;0
;Oncologie;6.0;3;3;3;0;0;0;0;3;0;0;0;0
;Hématologie et oncologie pédiatrique;2.0;2;0;2;0;0;0;0;0;0;0;0;0
;Hématologie clinique;1.0;1;0;1;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;33.0;23;10;17;4;1;1;0;8;1;1;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;4.0;3;1;2;0;0;1;0;0;0;1;0;0
;Chirurgie orale et maxillo - faciale;3.0;2;1;2;0;0;0;0;1;0;0;0;0
;Soins intensifs;6.0;3;3;2;0;1;0;0;2;1;0;0;0
;Neurologie pédiatrique;3.0;3;0;3;0;0;0;0;0;0;0;0;0
