territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Toutes les spécialités;10089;5086;5003;52;521;596;400;372;512;466;608;749;810;8;263;352;227;236;246;253;663;1038;1717
Belgique;Dentisterie générale;9330;4595;4735;52;497;521;351;326;458;397;540;700;753;8;253;304;205;210;222;239;618;1004;1672
Belgique;Parodontologie;206;116;90;0;7;24;16;15;15;21;11;4;3;0;7;21;11;13;8;7;14;4;5
Belgique;Orthodontie;553;375;178;0;17;51;33;31;39;48;57;45;54;0;3;27;11;13;16;7;31;30;40
Région flamande;Toutes les spécialités;5878;2988;2890;33;272;342;233;218;339;276;385;458;432;7;128;180;114;118;143;117;364;662;1057
Région flamande;Dentisterie générale;5397;2672;2725;33;260;290;202;193;302;232;341;421;398;7;121;150;102;102;131;104;341;636;1031
Région flamande;Parodontologie;149;88;61;0;4;19;10;8;14;18;8;4;3;0;6;16;8;6;5;7;6;4;3
Région flamande;Orthodontie;332;228;104;0;8;33;21;17;23;26;36;33;31;0;1;14;4;10;7;6;17;22;23
Région wallonne;Toutes les spécialités;2928;1460;1468;15;155;145;117;101;131;136;161;233;266;0;73;83;64;69;73;87;215;288;516
Région wallonne;Dentisterie générale;2737;1335;1402;15;146;135;103;85;119;115;146;224;247;0;71;75;58;64;67;86;199;282;500
Région wallonne;Parodontologie;39;20;19;0;2;3;4;5;1;3;2;0;0;0;1;4;2;4;2;0;5;0;1
Région wallonne;Orthodontie;152;105;47;0;7;7;10;11;11;18;13;9;19;0;1;4;4;1;4;1;11;6;15
Région de Bruxelles Capitale;Toutes les spécialités;1283;638;645;4;94;109;50;53;42;54;62;58;112;1;62;89;49;49;30;49;84;88;144
Région de Bruxelles Capitale;Dentisterie générale;1196;588;608;4;91;96;46;48;37;50;53;55;108;1;61;79;45;44;24;49;78;86;141
Région de Bruxelles Capitale;Parodontologie;18;8;10;0;1;2;2;2;0;0;1;0;0;0;0;1;1;3;1;0;3;0;1
Région de Bruxelles Capitale;Orthodontie;69;42;27;0;2;11;2;3;5;4;8;3;4;0;1;9;3;2;5;0;3;2;2
Brabant flamand;Toutes les spécialités;1327;744;583;3;54;64;63;59;95;81;106;120;99;3;29;37;34;22;43;29;88;122;176
Brabant flamand;Dentisterie générale;1200;660;540;3;52;56;56;51;85;67;94;108;88;3;28;30;32;18;38;23;84;116;168
Brabant flamand;Parodontologie;40;22;18;0;0;3;3;0;5;6;1;2;2;0;1;5;1;2;2;3;1;2;1
Brabant flamand;Orthodontie;87;62;25;0;2;5;4;8;5;8;11;10;9;0;0;2;1;2;3;3;3;4;7
Flandre occidentale;Toutes les spécialités;1075;497;578;7;43;63;42;38;60;42;45;77;80;2;19;24;13;20;18;17;52;142;271
Flandre occidentale;Dentisterie générale;1011;455;556;7;40;54;40;32;57;36;42;71;76;2;19;22;11;17;15;15;49;138;268
Flandre occidentale;Parodontologie;24;18;6;0;2;5;1;3;2;4;0;1;0;0;0;1;2;1;0;1;1;0;0
Flandre occidentale;Orthodontie;40;24;16;0;1;4;1;3;1;2;3;5;4;0;0;1;0;2;3;1;2;4;3
Flandre orientale;Toutes les spécialités;1291;667;624;8;80;83;34;45;82;61;74;87;113;1;37;50;18;22;36;31;79;124;226
Flandre orientale;Dentisterie générale;1172;592;580;8;78;68;25;40;70;49;66;82;106;1;33;39;14;18;34;28;71;121;221
Flandre orientale;Parodontologie;39;21;18;0;1;4;4;1;4;6;1;0;0;0;3;7;3;1;1;2;1;0;0
Flandre orientale;Orthodontie;80;54;26;0;1;11;5;4;8;6;7;5;7;0;1;4;1;3;1;1;7;3;5
Anvers;Toutes les spécialités;1466;734;732;13;68;90;70;40;64;62;116;112;99;1;29;47;33;37;32;33;105;177;238
Anvers;Dentisterie générale;1348;652;696;13;63;75;60;37;54;52;101;106;91;1;28;42;30;34;30;32;97;172;230
Anvers;Parodontologie;34;20;14;0;1;6;2;3;2;1;4;0;1;0;1;2;2;1;2;0;3;1;2
Anvers;Orthodontie;84;62;22;0;4;9;8;0;8;9;11;6;7;0;0;3;1;2;0;1;5;4;6
Limbourg;Toutes les spécialités;719;346;373;2;27;42;24;36;38;30;44;62;41;0;14;22;16;17;14;7;40;97;146
Limbourg;Dentisterie générale;666;313;353;2;27;37;21;33;36;28;38;54;37;0;13;17;15;15;14;6;40;89;144
Limbourg;Parodontologie;12;7;5;0;0;1;0;1;1;1;2;1;0;0;1;1;0;1;0;1;0;1;0
Limbourg;Orthodontie;41;26;15;0;0;4;3;2;1;1;4;7;4;0;0;4;1;1;0;0;0;7;2
Brabant Wallon;Toutes les spécialités;610;343;267;0;22;33;26;24;36;35;31;58;78;0;6;17;17;13;21;15;37;38;103
Brabant Wallon;Dentisterie générale;561;312;249;0;22;29;25;20;30;29;27;58;72;0;6;15;15;12;20;15;33;37;96
Brabant Wallon;Parodontologie;8;2;6;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;2;0;1
Brabant Wallon;Orthodontie;41;29;12;0;0;4;1;3;6;5;4;0;6;0;0;1;1;0;1;0;2;1;6
Hainaut;Toutes les spécialités;713;339;374;4;22;34;28;20;35;36;41;62;57;0;16;22;16;17;17;21;53;69;143
Hainaut;Dentisterie générale;682;319;363;4;21;33;27;18;32;32;40;58;54;0;15;21;16;17;17;21;49;66;141
Hainaut;Parodontologie;4;3;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
Hainaut;Orthodontie;27;17;10;0;1;0;1;2;2;3;1;4;3;0;1;1;0;0;0;0;3;3;2
Liège;Toutes les spécialités;1070;514;556;7;84;54;47;44;37;37;53;79;72;0;37;37;23;25;21;33;82;125;173
Liège;Dentisterie générale;987;459;528;7;77;50;37;36;35;30;48;75;64;0;36;32;20;22;17;33;77;123;168
