Territoire-Spécialité;Unnamed: 1;Unnamed: 2;Total;Genre;Unnamed: 5;Femme;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Homme;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
;;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
;Belgique;Tous les pharmaciens;21986.0;15825;6161;590;2032;2152;1507;1457;1493;1516;1341;871;2866;113;522;651;432;439;473;495;511;480;2045
;Région flamande;Tous les pharmaciens;13208.0;9526;3682;396;1361;1383;911;866;858;832;815;493;1611;81;310;351;234;247;272;250;298;280;1359
;Région wallonne;Tous les pharmaciens;6787.0;4910;1877;159;463;556;459;472;521;578;420;303;979;27;138;194;128;146;159;198;169;145;573
;"Région de Bruxelles
Capitale";Tous les pharmaciens;1991.0;1389;602;35;208;213;137;119;114;106;106;75;276;5;74;106;70;46;42;47;44;55;113
;Brabant flamand;Tous les pharmaciens;2823.0;2081;742;65;241;254;216;219;206;193;192;126;369;11;59;60;71;54;73;61;67;74;212
;Flandre occidentale;Tous les pharmaciens;2352.0;1686;666;86;238;203;159;133;162;140;144;90;331;13;35;44;25;38;41;37;47;52;334
;Flandre orientale;Tous les pharmaciens;3426.0;2449;977;107;410;400;196;227;212;214;194;106;383;34;97;97;59;60;80;73;65;63;349
;Anvers;Tous les pharmaciens;3435.0;2463;972;107;367;384;253;211;199;208;215;138;381;19;90;117;58;65;63;60;94;77;329
;Limbourg;Tous les pharmaciens;1172.0;847;325;31;105;142;87;76;79;77;70;33;147;4;29;33;21;30;15;19;25;14;135
;Brabant Wallon;Tous les pharmaciens;1204.0;890;314;14;66;85;90;88;99;116;69;65;198;0;15;31;21;26;32;35;31;23;100
;Hainaut;Tous les pharmaciens;1919.0;1375;544;47;124;159;119;125;164;157;125;101;254;6;40;58;37;51;48;51;49;49;155
;Liège;Tous les pharmaciens;2182.0;1558;624;55;168;178;148;133;146;186;128;88;328;12;54;70;41;39;47;71;49;50;191
;Namur;Tous les pharmaciens;1044.0;766;278;23;69;93;72;92;81;77;75;39;145;8;22;26;20;23;18;25;32;17;87
