gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_min20;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_min20;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);171792;149553;22239;1;5793;11665;13921;17016;16800;19408;21136;16431;11385;15997;0;875;2097;2498;2962;2668;2810;3272;2601;1361;1095
Gewest Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);111629;96405;15224;1;3948;7182;8697;10783;10930;12884;14048;10642;7211;10079;0;596;1195;1486;1757;1693;2067;2417;2004;1127;882
Gewest Wallonië;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);51195;45352;5843;0;1540;3583;4415;5392;5150;5705;6184;4984;3633;4766;0;227;694;785;1019;839;632;735;524;202;186
Gewest Brussels hoofdstedelijk gewest;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);8968;7796;1172;0;305;900;809;841;720;819;904;805;541;1152;0;52;208;227;186;136;111;120;73;32;27
Prov Vlaams Brabant;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);18520;15870;2650;0;566;1028;1195;1621;1767;2326;2623;1938;1292;1514;0;87;180;199;273;274;349;489;427;215;157
Prov West-Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);24384;21208;3176;0;1078;1812;2043;2428;2256;2514;2930;2363;1555;2229;0;173;260;342;374;356;381;473;413;241;163
Prov Oost-Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);26227;22669;3558;1;854;1501;2043;2581;2716;3039;3272;2461;1735;2466;0;120;272;356;442;405;486;599;467;263;148
Prov Antwerpen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);26483;22870;3613;0;891;1580;1992;2418;2589;3202;3534;2487;1584;2593;0;113;272;349;395;414;520;592;482;257;219
Prov Limburg;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);16015;13788;2227;0;559;1261;1424;1735;1602;1803;1689;1393;1045;1277;0;103;211;240;273;244;331;264;215;151;195
Prov Waals Brabant;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);5059;4633;426;0;130;261;306;504;483;581;802;589;397;580;0;18;54;55;61;66;59;55;38;9;11
Prov Henegouwen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);18735;16557;2178;0;551;1243;1570;2000;1999;2226;2249;1808;1291;1620;0;82;235;297;373;304;248;295;221;67;56
Prov Luik;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);16013;14004;2009;0;550;1262;1509;1782;1557;1614;1698;1491;1087;1454;0;72;254;284;341;285;202;227;181;72;91
Prov Namen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);7660;6833;827;0;196;555;677;720;741;835;948;757;581;823;0;33;115;103;158;129;89;97;50;35;18
Prov Luxemburg;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);3728;3325;403;0;113;262;353;386;370;449;487;339;277;289;0;22;36;46;86;55;34;61;34;19;10
Prov Brussels hoofdstedelijk gewest;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);8968;7796;1172;0;305;900;809;841;720;819;904;805;541;1152;0;52;208;227;186;136;111;120;73;32;27
België;GEEN ERKENNING;151244;133015;18229;1;5138;9477;11441;14263;14294;17014;19060;15235;11122;15970;0;752;1659;1915;2301;2078;2241;2730;2213;1265;1075
België;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;9257;6401;2856;0;366;1098;1072;1136;985;746;537;350;95;16;0;112;363;451;485;398;372;345;242;70;18
België;BIJZONDERE BEROEPSTITEL - GERIATRIE;1960;1605;355;0;23;151;205;273;245;295;256;125;32;0;0;2;12;33;61;61;71;72;34;8;1
België;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;2470;2166;304;0;63;246;342;351;364;319;274;178;23;6;0;4;25;40;55;44;44;41;44;7;0
België;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;3274;3164;110;0;193;527;538;537;437;394;327;179;31;1;0;4;20;17;15;18;15;17;4;0;0
België;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;3020;2764;256;0;7;163;333;429;406;531;566;260;67;2;0;0;13;41;43;42;45;33;32;6;1
België;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;532;481;51;0;1;26;33;70;80;114;91;56;7;3;0;1;3;8;2;9;9;15;4;0;0
Gewest Vlaanderen;GEEN ERKENNING;98461;85915;12546;1;3631;6022;7301;9036;9259;11233;12550;9789;7030;10063;0;534;974;1148;1363;1314;1632;1981;1689;1045;866
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;5488;3675;1813;0;195;607;599;674;584;403;320;223;62;8;0;57;181;262;281;238;266;266;185;63;14
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - GERIATRIE;1468;1183;285;0;14;90;136;206;181;234;202;97;23;0;0;1;10;21;40;48;62;62;33;7;1
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;1600;1396;204;0;31;135;209;228;248;228;184;113;16;4;0;3;10;24;37;25;32;33;36;4;0
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;1693;1639;54;0;69;190;226;276;267;257;213;122;19;0;0;1;4;5;4;8;13;15;4;0;0
Gewest Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;2361;2174;187;0;5;124;232;328;314;426;479;213;52;1;0;0;11;24;29;29;36;28;26;3;1
Gewest Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;332;297;35;0;1;19;16;47;47;74;57;32;1;3;0;0;2;6;0;7;7;10;3;0;0
Gewest Wallonië;GEEN ERKENNING;44879;40181;4698;0;1257;2739;3509;4494;4421;5049;5689;4696;3569;4758;0;176;511;582;791;647;512;645;460;190;184
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;3347;2428;919;0;153;408;412;422;368;318;200;114;27;6;0;47;155;161;180;147;100;69;51;7;2
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - GERIATRIE;402;349;53;0;6;51;56;56;57;49;42;26;6;0;0;1;2;10;17;10;6;7;0;0;0
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;695;614;81;0;21;90;103;105;98;73;71;48;4;1;0;1;14;9;15;17;11;5;7;2;0
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;1292;1251;41;0;101;267;252;229;143;114;93;41;10;1;0;1;12;10;6;9;1;2;0;0;0
Gewest Wallonië;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;572;516;56;0;2;38;90;94;74;92;74;39;13;0;0;0;1;13;12;11;6;5;5;3;0
Gewest Wallonië;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;169;159;10;0;0;6;11;21;25;38;29;24;5;0;0;1;0;2;1;2;0;3;1;0;0
Gewest Brussels hoofdstedelijk gewest;GEEN ERKENNING;7904;6919;985;0;250;716;631;733;614;732;821;750;523;1149;0;42;174;185;147;117;97;104;64;30;25
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;422;298;124;0;18;83;61;40;33;25;17;13;6;2;0;8;27;28;24;13;6;10;6;0;2
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - GERIATRIE;90;73;17;0;3;10;13;11;7;12;12;2;3;0;0;0;0;2;4;3;3;3;1;1;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;175;156;19;0;11;21;30;18;18;18;19;17;3;1;0;0;1;7;3;2;1;3;1;1;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;289;274;15;0;23;70;60;32;27;23;21;16;2;0;0;2;4;2;5;1;1;0;0;0;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;87;74;13;0;0;1;11;7;18;13;13;8;2;1;0;0;1;4;2;2;3;0;1;0;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;31;25;6;0;0;1;6;2;8;2;5;0;1;0;0;0;1;0;1;0;2;2;0;0;0
Prov Vlaams Brabant;GEEN ERKENNING;16216;14047;2169;0;491;826;975;1348;1505;2020;2339;1775;1258;1510;0;78;148;153;218;210;276;384;350;201;151
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1078;728;350;0;40;114;100;109;105;96;88;60;15;1;0;7;28;42;43;42;47;69;54;12;6
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - GERIATRIE;251;201;50;0;4;9;19;35;29;40;44;17;4;0;0;1;2;0;7;11;8;14;6;1;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;293;253;40;0;7;15;40;34;50;42;39;19;5;2;0;1;1;4;3;5;10;7;8;1;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;409;394;15;0;24;56;48;61;45;63;57;36;4;0;0;0;0;0;0;2;3;8;2;0;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;220;204;16;0;0;3;12;28;31;50;50;24;6;0;0;0;0;1;1;4;5;2;3;0;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;59;57;2;0;0;5;1;10;8;16;9;7;0;1;0;0;0;0;0;0;0;2;0;0;0
Prov West-Vlaanderen;GEEN ERKENNING;21247;18718;2529;0;1026;1570;1724;2008;1851;2111;2550;2136;1519;2223;0;149;208;264;280;265;281;364;342;220;156
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1129;738;391;0;39;122;120;140;124;75;49;49;14;6;0;23;41;55;56;44;42;67;39;18;6
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - GERIATRIE;315;248;67;0;3;27;41;47;28;42;36;20;4;0;0;0;3;7;8;11;16;12;9;1;0
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;322;281;41;0;3;21;40;55;63;54;24;19;2;0;0;1;2;6;12;7;4;5;4;0;0
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;318;310;8;0;4;30;37;43;60;57;50;28;1;0;0;0;0;0;0;2;3;3;0;0;0
Prov West-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;764;700;64;0;3;38;82;119;99;131;158;59;11;0;0;0;4;7;12;11;16;7;6;0;1
Prov West-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;79;66;13;0;0;5;4;11;11;10;19;6;0;0;0;0;2;4;0;1;2;4;0;0;0
Prov Oost-Vlaanderen;GEEN ERKENNING;23063;20087;2976;1;798;1241;1686;2124;2282;2647;2900;2263;1680;2465;0;113;223;274;347;324;393;511;404;241;146
