Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Homme;Unnamed: 12;Unnamed: 13;Unnamed: 14
;;;Femme;Homme;25-29;30-34;35-39;40-44;45-49;55-59;30-34;35-39;40-44;45-49
Belgique;Toutes les spécialités;197.0;105;92;1;82;7;10;3;2;78;7;5;2
;Réadaptation fonctionnelle et professionnelle des handicapés;28.0;15;13;0;9;1;3;2;0;9;2;2;0
;Chirurgie orale et maxillo - faciale;18.0;6;12;0;6;0;0;0;0;12;0;0;0
;Soins intensifs;66.0;30;36;0;26;1;2;0;1;33;2;0;1
;Neurologie pédiatrique;12.0;12;0;0;12;0;0;0;0;0;0;0;0
;Néphrologie;10.0;5;5;0;5;0;0;0;0;5;0;0;0
;Médecine d'urgence;23.0;8;15;1;2;1;3;0;1;8;3;3;1
;Endocrino-diabétologie;10.0;7;3;0;6;0;0;1;0;3;0;0;0
;Néonatologie;6.0;6;0;0;5;1;0;0;0;0;0;0;0
;Oncologie;13.0;10;3;0;7;2;1;0;0;3;0;0;0
;Hématologie et oncologie pédiatrique;5.0;4;1;0;2;1;1;0;0;1;0;0;0
;Hématologie clinique;6.0;2;4;0;2;0;0;0;0;4;0;0;0
Région flamande;Toutes les spécialités;139.0;73;66;1;58;5;5;2;2;61;3;1;1
;Réadaptation fonctionnelle et professionnelle des handicapés;20.0;10;10;0;7;1;1;1;0;9;1;0;0
;Chirurgie orale et maxillo - faciale;13.0;5;8;0;5;0;0;0;0;8;0;0;0
;Soins intensifs;48.0;22;26;0;21;0;0;0;1;25;0;0;1
;Neurologie pédiatrique;6.0;6;0;0;6;0;0;0;0;0;0;0;0
;Néphrologie;3.0;2;1;0;2;0;0;0;0;1;0;0;0
;Médecine d'urgence;19.0;8;11;1;2;1;3;0;1;8;2;1;0
;Endocrino-diabétologie;6.0;4;2;0;3;0;0;1;0;2;0;0;0
;Néonatologie;5.0;5;0;0;4;1;0;0;0;0;0;0;0
;Oncologie;11.0;8;3;0;6;1;1;0;0;3;0;0;0
;Hématologie et oncologie pédiatrique;3.0;2;1;0;1;1;0;0;0;1;0;0;0
;Hématologie clinique;5.0;1;4;0;1;0;0;0;0;4;0;0;0
Région wallonne;Toutes les spécialités;36.0;16;20;0;12;1;3;0;0;14;2;3;1
;Réadaptation fonctionnelle et professionnelle des handicapés;3.0;1;2;0;0;0;1;0;0;0;1;1;0
;Chirurgie orale et maxillo - faciale;3.0;0;3;0;0;0;0;0;0;3;0;0;0
;Soins intensifs;11.0;4;7;0;2;1;1;0;0;7;0;0;0
;Neurologie pédiatrique;4.0;4;0;0;4;0;0;0;0;0;0;0;0
;Néphrologie;5.0;2;3;0;2;0;0;0;0;3;0;0;0
;Médecine d'urgence;4.0;0;4;0;0;0;0;0;0;0;1;2;1
;Endocrino-diabétologie;3.0;2;1;0;2;0;0;0;0;1;0;0;0
;Hématologie et oncologie pédiatrique;2.0;2;0;0;1;0;1;0;0;0;0;0;0
;Hématologie clinique;1.0;1;0;0;1;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;22.0;16;6;0;12;1;2;1;0;3;2;1;0
;Réadaptation fonctionnelle et professionnelle des handicapés;5.0;4;1;0;2;0;1;1;0;0;0;1;0
;Chirurgie orale et maxillo - faciale;2.0;1;1;0;1;0;0;0;0;1;0;0;0
;Soins intensifs;7.0;4;3;0;3;0;1;0;0;1;2;0;0
;Neurologie pédiatrique;2.0;2;0;0;2;0;0;0;0;0;0;0;0
;Néphrologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0
;Endocrino-diabétologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Néonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Oncologie;2.0;2;0;0;1;1;0;0;0;0;0;0;0
Brabant flamand;Toutes les spécialités;46.0;26;20;0;19;2;2;1;2;19;0;0;1
;Réadaptation fonctionnelle et professionnelle des handicapés;5.0;5;0;0;4;0;1;0;0;0;0;0;0
;Chirurgie orale et maxillo - faciale;2.0;0;2;0;0;0;0;0;0;2;0;0;0
;Soins intensifs;20.0;9;11;0;8;0;0;0;1;10;0;0;1
