territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Tous les professionnels de la santé mentale;13591;11771;1820;427;2580;2398;1988;1637;1131;665;499;305;141;13;191;244;245;244;218;176;207;157;125
Région flamande;Tous les professionnels de la santé mentale;9379;8220;1159;382;1940;1750;1402;1098;699;422;300;162;65;11;136;155;151;162;127;106;135;100;76
Région wallonne;Tous les professionnels de la santé mentale;3092;2619;473;31;447;469;431;430;343;174;146;98;50;1;37;60;76;54;67;53;50;41;34
Région de Bruxelles Capitale;Tous les professionnels de la santé mentale;1120;932;188;14;193;179;155;109;89;69;53;45;26;1;18;29;18;28;24;17;22;16;15
Brabant flamand;Tous les professionnels de la santé mentale;2060;1814;246;78;393;340;291;246;181;121;92;50;22;3;26;28;32;33;29;21;33;21;20
Flandre occidentale;Tous les professionnels de la santé mentale;1262;1105;157;82;273;221;185;147;83;53;36;18;7;1;16;21;14;25;17;11;25;15;12
Flandre orientale;Tous les professionnels de la santé mentale;2681;2304;377;106;556;454;377;327;214;130;72;50;18;2;45;53;48;59;45;38;39;28;20
Anvers;Tous les professionnels de la santé mentale;2298;2019;279;83;469;503;351;257;155;89;67;29;16;2;37;36;44;34;26;29;28;28;15
Limbourg;Tous les professionnels de la santé mentale;1078;978;100;33;249;232;198;121;66;29;33;15;2;3;12;17;13;11;10;7;10;8;9
Brabant Wallon;Tous les professionnels de la santé mentale;634;547;87;4;61;92;93;84;90;45;34;29;15;0;5;14;11;12;12;10;10;6;7
Hainaut;Tous les professionnels de la santé mentale;760;642;118;12;106;124;93;106;86;48;32;22;13;0;7;11;19;14;20;13;9;9;16
Liège;Tous les professionnels de la santé mentale;1076;908;168;10;188;149;167;152;97;53;49;31;12;1;17;18;31;21;20;19;20;16;5
Namur;Tous les professionnels de la santé mentale;456;379;77;5;61;78;61;66;45;22;22;10;9;0;5;15;12;6;8;9;10;7;5
Luxembourg;Tous les professionnels de la santé mentale;166;143;23;0;31;26;17;22;25;6;9;6;1;0;3;2;3;1;7;2;1;3;1
Région de Bruxelles Capitale;Tous les professionnels de la santé mentale;1120;932;188;14;193;179;155;109;89;69;53;45;26;1;18;29;18;28;24;17;22;16;15
Belgique;Psychologue clinicien;12141;10423;1718;362;2219;2093;1786;1461;1019;619;454;277;133;12;170;230;235;232;205;168;199;150;117
Région flamande;Psychologue clinicien;7967;6908;1059;317;1591;1452;1203;929;591;377;257;134;57;10;115;141;142;151;114;98;127;93;68
Région wallonne;Psychologue clinicien;3072;2601;471;31;441;467;430;428;339;173;144;98;50;1;37;60;75;53;67;53;50;41;34
Région de Bruxelles Capitale;Psychologue clinicien;1102;914;188;14;187;174;153;104;89;69;53;45;26;1;18;29;18;28;24;17;22;16;15
Brabant flamand;Psychologue clinicien;1777;1551;226;66;339;281;252;213;156;104;79;42;19;2;23;25;28;33;26;21;31;20;17
Flandre occidentale;Psychologue clinicien;1038;898;140;66;216;186;155;109;66;46;33;16;5;1;12;19;14;22;15;10;23;14;10
Flandre orientale;Psychologue clinicien;2283;1942;341;89;447;366;325;289;182;119;64;45;16;2;38;45;45;54;39;36;37;27;18
Anvers;Psychologue clinicien;1991;1730;261;70;386;438;303;219;135;82;59;23;15;2;32;36;43;31;24;26;27;26;14
Limbourg;Psychologue clinicien;878;787;91;26;203;181;168;99;52;26;22;8;2;3;10;16;12;11;10;5;9;6;9
Brabant Wallon;Psychologue clinicien;626;539;87;4;60;91;93;82;88;45;32;29;15;0;5;14;11;12;12;10;10;6;7
Hainaut;Psychologue clinicien;757;639;118;12;104;124;93;106;86;47;32;22;13;0;7;11;19;14;20;13;9;9;16
Liège;Psychologue clinicien;1071;905;166;10;187;149;166;152;96;53;49;31;12;1;17;18;30;20;20;19;20;16;5
Namur;Psychologue clinicien;453;376;77;5;60;77;61;66;44;22;22;10;9;0;5;15;12;6;8;9;10;7;5
Luxembourg;Psychologue clinicien;165;142;23;0;30;26;17;22;25;6;9;6;1;0;3;2;3;1;7;2;1;3;1
Région de Bruxelles Capitale;Psychologue clinicien;1102;914;188;14;187;174;153;104;89;69;53;45;26;1;18;29;18;28;24;17;22;16;15
Belgique;Orthopédagogue clinicien;1450;1348;102;65;361;305;202;176;112;46;45;28;8;1;21;14;10;12;13;8;8;7;8
Région flamande;Orthopédagogue clinicien;1412;1312;100;65;349;298;199;169;108;45;43;28;8;1;21;14;9;11;13;8;8;7;8
Région wallonne;Orthopédagogue clinicien;20;18;2;0;6;2;1;2;4;1;2;0;0;0;0;0;1;1;0;0;0;0;0
Région de Bruxelles Capitale;Orthopédagogue clinicien;18;18;0;0;6;5;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brabant flamand;Orthopédagogue clinicien;283;263;20;12;54;59;39;33;25;17;13;8;3;1;3;3;4;0;3;0;2;1;3
Flandre occidentale;Orthopédagogue clinicien;224;207;17;16;57;35;30;38;17;7;3;2;2;0;4;2;0;3;2;1;2;1;2
Flandre orientale;Orthopédagogue clinicien;398;362;36;17;109;88;52;38;32;11;8;5;2;0;7;8;3;5;6;2;2;1;2
Anvers;Orthopédagogue clinicien;307;289;18;13;83;65;48;38;20;7;8;6;1;0;5;0;1;3;2;3;1;2;1
Limbourg;Orthopédagogue clinicien;200;191;9;7;46;51;30;22;14;3;11;7;0;0;2;1;1;0;0;2;1;2;0
Brabant Wallon;Orthopédagogue clinicien;8;8;0;0;1;1;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Hainaut;Orthopédagogue clinicien;3;3;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Liège;Orthopédagogue clinicien;5;3;2;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Namur;Orthopédagogue clinicien;3;3;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxembourg;Orthopédagogue clinicien;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Orthopédagogue clinicien;18;18;0;0;6;5;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
