gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle kinesitherapeuten;35533;21238;14295;1316;3544;1851;1988;2630;2168;2043;2094;1604;2000;678;2127;1000;902;1642;1325;1248;1486;1477;2410
Vlaams Gewest;Alle kinesitherapeuten;19927;12304;7623;729;1907;1042;1278;1716;1370;1145;1201;911;1005;308;1000;445;515;921;693;644;833;860;1404
Waals Gewest;Alle kinesitherapeuten;12707;7240;5467;479;1269;641;614;804;683;762;734;539;715;300;861;393;303;625;565;518;559;511;832
Brussels Hoofdstedelijk Gewest;Alle kinesitherapeuten;2899;1694;1205;108;368;168;96;110;115;136;159;154;280;70;266;162;84;96;67;86;94;106;174
Vlaams Brabant;Alle kinesitherapeuten;4287;2726;1561;162;451;234;286;340;291;270;255;222;215;61;225;109;105;206;134;138;148;183;252
West-Vlaanderen;Alle kinesitherapeuten;3759;2182;1577;139;309;133;213;345;243;209;222;165;204;60;134;63;105;195;148;135;217;174;346
Oost-Vlaanderen;Alle kinesitherapeuten;4574;2941;1633;162;428;254;327;443;321;271;276;205;254;68;202;74;105;203;140;167;185;191;298
Antwerpen;Alle kinesitherapeuten;4861;3020;1841;188;473;275;312;382;335;287;329;214;225;80;265;134;122;193;173;136;198;205;335
Limburg;Alle kinesitherapeuten;2446;1435;1011;78;246;146;140;206;180;108;119;105;107;39;174;65;78;124;98;68;85;107;173
Waals Brabant;Alle kinesitherapeuten;2198;1397;801;81;217;114;107;163;111;143;172;121;168;44;142;67;39;100;85;66;90;70;98
Henegouwen;Alle kinesitherapeuten;3863;1978;1885;121;319;153;162;216;201;216;216;134;240;94;276;124;88;198;197;162;204;174;368
Luik;Alle kinesitherapeuten;3678;2143;1535;150;388;193;189;232;200;233;200;178;180;83;236;99;98;174;170;166;154;157;198
Namen;Alle kinesitherapeuten;1801;1024;777;70;190;87;86;103;103;115;100;73;97;35;111;54;34;107;76;81;75;84;120
Luxemburg;Alle kinesitherapeuten;1167;698;469;57;155;94;70;90;68;55;46;33;30;44;96;49;44;46;37;43;36;26;48
Brussels Hoofdstedelijk Gewest;Alle kinesitherapeuten;2899;1694;1205;108;368;168;96;110;115;136;159;154;280;70;266;162;84;96;67;86;94;106;174
België;Zonder bijzondere beroepsbekwaamheid (BB);32498;19079;13419;1316;3115;1428;1639;2318;1951;1846;1943;1537;1986;678;2011;870;783;1495;1225;1161;1403;1413;2380
Vlaams Gewest;Zonder bijzondere beroepsbekwaamheid (BB);17507;10585;6922;729;1558;689;1005;1473;1185;998;1093;863;992;308;906;349;416;809;609;573;764;809;1379
Waals Gewest;Zonder bijzondere beroepsbekwaamheid (BB);12233;6895;5338;479;1202;600;553;747;655;719;702;524;714;300;846;369;289;600;551;508;548;499;828
Brussels Hoofdstedelijk Gewest;Zonder bijzondere beroepsbekwaamheid (BB);2758;1599;1159;108;355;139;81;98;111;129;148;150;280;70;259;152;78;86;65;80;91;105;173
