Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Man;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23
;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
België;Alle specialiteiten;6689.0;3877;2812;353;2627;771;70;28;16;8;3;1;209;1846;648;65;22;10;6;3;2;1
;Geriatrie;137.0;101;36;3;58;38;1;1;0;0;0;0;1;21;12;2;0;0;0;0;0;0
;Urgentiegeneeskunde;585.0;349;236;27;217;89;10;3;2;1;0;0;9;126;81;12;2;4;1;0;1;0
;Gerechtelijke geneeskunde;14.0;10;4;1;5;4;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
;Beheer van gezondheidsgegevens;1.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;Anesthesie-reanimatie;616.0;265;351;12;184;59;7;3;0;0;0;0;22;246;73;7;3;0;0;0;0;0
;Heelkunde;395.0;208;187;19;134;53;0;2;0;0;0;0;14;123;49;1;0;0;0;0;0;0
;Neurochirurgie;74.0;26;48;3;16;7;0;0;0;0;0;0;1;33;13;1;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";71.0;38;33;5;24;9;0;0;0;0;0;0;3;16;13;1;0;0;0;0;0;0
;Urologie;165.0;77;88;5;50;21;1;0;0;0;0;0;6;54;27;1;0;0;0;0;0;0
;Orthopedische heelkunde;314.0;84;230;6;49;27;2;0;0;0;0;0;15;146;63;6;0;0;0;0;0;0
;Neurologie;201.0;129;72;13;91;20;4;1;0;0;0;0;9;53;10;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";148.0;125;23;8;92;21;2;2;0;0;0;0;2;17;4;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";333.0;192;141;12;144;28;6;2;0;0;0;0;8;98;32;1;2;0;0;0;0;0
;Pneumologie;104.0;64;40;1;38;25;0;0;0;0;0;0;1;26;13;0;0;0;0;0;0;0
;Gastro-enterologie;144.0;90;54;1;49;38;1;0;1;0;0;0;2;31;21;0;0;0;0;0;0;0
;Cardiologie;161.0;65;96;3;29;33;0;0;0;0;0;0;1;59;34;2;0;0;0;0;0;0
;Inwendige geneeskunde;883.0;503;380;77;387;38;1;0;0;0;0;0;54;277;45;3;0;1;0;0;0;0
;Reumatologie;46.0;30;16;0;12;18;0;0;0;0;0;0;1;9;6;0;0;0;0;0;0;0
;Acute geneeskunde;6.0;2;4;0;1;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
;Gynaecologie-verloskunde;348.0;306;42;34;220;47;4;1;0;0;0;0;1;28;11;1;1;0;0;0;0;0
;Oftalmologie;166.0;91;75;18;66;6;1;0;0;0;0;0;10;56;8;1;0;0;0;0;0;0
;Otorhinolaryngologie;147.0;95;52;10;76;8;1;0;0;0;0;0;5;40;6;1;0;0;0;0;0;0
;Stomatologie;76.0;30;46;4;20;6;0;0;0;0;0;0;3;37;5;1;0;0;0;0;0;0
;Dermato-venereologie;140.0;120;20;14;91;14;1;0;0;0;0;0;1;14;5;0;0;0;0;0;0;0
;Pediatrie;498.0;424;74;52;310;59;3;0;0;0;0;0;5;54;14;1;0;0;0;0;0;0
;Fysische geneeskunde en revalidatie;135.0;68;67;3;54;9;0;1;0;1;0;0;5;46;16;0;0;0;0;0;0;0
;Klinische biologie;72.0;30;42;3;18;6;1;2;0;0;0;0;3;29;7;2;0;1;0;0;0;0
;Röntgendiagnose;296.0;108;188;11;76;15;3;2;1;0;0;0;18;130;30;6;4;0;0;0;0;0
;Radiotherapie-oncologie;60.0;30;30;3;19;8;0;0;0;0;0;0;3;16;9;2;0;0;0;0;0;0
;Nucleaire geneeskunde;42.0;16;26;1;14;0;1;0;0;0;0;0;5;12;9;0;0;0;0;0;0;0
;Pathologische anatomie;72.0;49;23;1;32;13;1;2;0;0;0;0;1;17;4;1;0;0;0;0;0;0
;Medische oncologie;61.0;39;22;2;24;12;1;0;0;0;0;0;0;10;12;0;0;0;0;0;0;0
;Klinische genetica;37.0;27;10;1;13;10;1;1;1;0;0;0;0;5;2;3;0;0;0;0;0;0
;Arbeidsgeneeskunde;131.0;81;50;0;13;29;15;4;10;6;3;1;0;12;10;8;9;4;5;1;1;0
;"Verzekeringsgeneeskunde en
medische expertise";10.0;4;6;0;1;0;2;1;0;0;0;0;0;0;1;1;1;0;0;2;0;1
Vlaams Gewest;Alle specialiteiten;3475.0;2003;1472;206;1389;344;32;18;7;5;2;0;135;998;291;25;13;3;5;2;0;0
;Geriatrie;53.0;38;15;0;24;14;0;0;0;0;0;0;0;10;4;1;0;0;0;0;0;0
;Urgentiegeneeskunde;256.0;156;100;19;99;34;3;1;0;0;0;0;6;60;28;3;2;0;1;0;0;0
;Gerechtelijke geneeskunde;9.0;7;2;1;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;Anesthesie-reanimatie;322.0;141;181;7;100;26;5;3;0;0;0;0;13;126;36;3;3;0;0;0;0;0
;Heelkunde;195.0;102;93;7;68;25;0;2;0;0;0;0;6;66;21;0;0;0;0;0;0;0
;Neurochirurgie;46.0;14;32;3;8;3;0;0;0;0;0;0;1;24;7;0;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";43.0;22;21;4;14;4;0;0;0;0;0;0;2;10;8;1;0;0;0;0;0;0
;Urologie;105.0;50;55;4;34;12;0;0;0;0;0;0;5;34;15;1;0;0;0;0;0;0
;Orthopedische heelkunde;166.0;40;126;2;26;11;1;0;0;0;0;0;12;85;27;2;0;0;0;0;0;0
;Neurologie;107.0;70;37;9;45;11;4;1;0;0;0;0;7;28;2;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";79.0;64;15;6;48;9;0;1;0;0;0;0;2;10;3;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";194.0;108;86;9;80;12;5;2;0;0;0;0;6;61;18;0;1;0;0;0;0;0
;Pneumologie;49.0;29;20;0;20;9;0;0;0;0;0;0;0;13;7;0;0;0;0;0;0;0
;Gastro-enterologie;73.0;48;25;0;29;18;0;0;1;0;0;0;0;15;10;0;0;0;0;0;0;0
;Cardiologie;64.0;25;39;0;14;11;0;0;0;0;0;0;0;22;16;1;0;0;0;0;0;0
;Inwendige geneeskunde;498.0;294;204;47;226;20;1;0;0;0;0;0;33;148;21;1;0;1;0;0;0;0
;Reumatologie;22.0;12;10;0;5;7;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0
;Acute geneeskunde;5.0;2;3;0;1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
;Gynaecologie-verloskunde;177.0;156;21;19;111;24;1;1;0;0;0;0;0;15;5;0;1;0;0;0;0;0
;Oftalmologie;95.0;60;35;11;45;4;0;0;0;0;0;0;6;28;1;0;0;0;0;0;0;0
;Otorhinolaryngologie;91.0;66;25;9;52;5;0;0;0;0;0;0;3;19;2;1;0;0;0;0;0;0
;Stomatologie;48.0;18;30;1;15;2;0;0;0;0;0;0;2;26;2;0;0;0;0;0;0;0
;Dermato-venereologie;78.0;68;10;9;52;7;0;0;0;0;0;0;1;7;2;0;0;0;0;0;0;0
;Pediatrie;231.0;198;33;26;147;24;1;0;0;0;0;0;4;23;6;0;0;0;0;0;0;0
;Fysische geneeskunde en revalidatie;79.0;43;36;2;35;4;0;1;0;1;0;0;4;23;9;0;0;0;0;0;0;0
;Klinische biologie;42.0;18;24;2;8;5;1;2;0;0;0;0;3;17;3;1;0;0;0;0;0;0
;Röntgendiagnose;149.0;37;112;4;23;6;1;2;1;0;0;0;13;79;12;4;4;0;0;0;0;0
;Radiotherapie-oncologie;34.0;13;21;2;7;4;0;0;0;0;0;0;3;13;4;1;0;0;0;0;0;0
;Nucleaire geneeskunde;18.0;7;11;1;6;0;0;0;0;0;0;0;3;5;3;0;0;0;0;0;0;0
;Pathologische anatomie;42.0;29;13;1;19;6;1;2;0;0;0;0;0;9;3;1;0;0;0;0;0;0
;Medische oncologie;23.0;17;6;0;12;4;1;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0
;Klinische genetica;25.0;17;8;1;7;7;1;0;1;0;0;0;0;4;2;2;0;0;0;0;0;0
;Arbeidsgeneeskunde;55.0;33;22;0;5;13;5;0;4;4;2;0;0;6;5;2;2;2;4;1;0;0
;"Verzekeringsgeneeskunde en
medische expertise";2.0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Waals Gewest;Alle specialiteiten;1759.0;1056;703;106;705;212;21;4;5;2;0;1;47;473;159;16;3;3;0;0;1;1
;Geriatrie;50.0;34;16;3;20;11;0;0;0;0;0;0;1;10;5;0;0;0;0;0;0;0
;Urgentiegeneeskunde;199.0;113;86;7;73;29;1;0;2;1;0;0;2;44;33;4;0;2;0;0;1;0
;Gerechtelijke geneeskunde;3.0;1;2;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;Beheer van gezondheidsgegevens;1.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;Anesthesie-reanimatie;177.0;83;94;5;57;19;2;0;0;0;0;0;3;72;16;3;0;0;0;0;0;0
;Heelkunde;120.0;64;56;9;38;17;0;0;0;0;0;0;7;33;16;0;0;0;0;0;0;0
;Neurochirurgie;14.0;7;7;0;5;2;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";15.0;11;4;1;7;3;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
;Urologie;26.0;10;16;0;4;5;1;0;0;0;0;0;1;10;5;0;0;0;0;0;0;0
;Orthopedische heelkunde;85.0;29;56;3;18;8;0;0;0;0;0;0;2;31;21;2;0;0;0;0;0;0
;Neurologie;40.0;22;18;2;17;3;0;0;0;0;0;0;2;12;4;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";39.0;35;4;0;28;5;1;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";54.0;40;14;3;31;5;1;0;0;0;0;0;1;10;3;0;0;0;0;0;0;0
;Pneumologie;36.0;24;12;1;11;12;0;0;0;0;0;0;1;8;3;0;0;0;0;0;0;0
;Gastro-enterologie;43.0;25;18;1;14;10;0;0;0;0;0;0;2;11;5;0;0;0;0;0;0;0
;Cardiologie;49.0;16;33;3;8;5;0;0;0;0;0;0;1;25;7;0;0;0;0;0;0;0
;Inwendige geneeskunde;207.0;114;93;15;90;9;0;0;0;0;0;0;12;73;8;0;0;0;0;0;0;0
;Reumatologie;12.0;9;3;0;7;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
;Gynaecologie-verloskunde;96.0;86;10;10;64;10;2;0;0;0;0;0;1;8;0;1;0;0;0;0;0;0
;Oftalmologie;30.0;19;11;6;12;0;1;0;0;0;0;0;1;9;1;0;0;0;0;0;0;0
;Otorhinolaryngologie;25.0;13;12;1;10;1;1;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0
;Stomatologie;13.0;7;6;2;3;2;0;0;0;0;0;0;1;4;0;1;0;0;0;0;0;0
;Dermato-venereologie;26.0;23;3;3;16;3;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
;Pediatrie;162.0;137;25;19;98;19;1;0;0;0;0;0;0;18;6;1;0;0;0;0;0;0
;Fysische geneeskunde en revalidatie;35.0;15;20;1;11;3;0;0;0;0;0;0;1;16;3;0;0;0;0;0;0;0
;Klinische biologie;13.0;4;9;1;3;0;0;0;0;0;0;0;0;7;1;0;0;1;0;0;0;0
;Röntgendiagnose;66.0;32;34;7;20;5;0;0;0;0;0;0;3;28;3;0;0;0;0;0;0;0
;Radiotherapie-oncologie;16.0;12;4;1;8;3;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0
;Nucleaire geneeskunde;8.0;4;4;0;4;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0
;Pathologische anatomie;18.0;11;7;0;7;4;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0;0
;Medische oncologie;22.0;13;9;2;9;2;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0
;Klinische genetica;5.0;5;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Arbeidsgeneeskunde;50.0;35;15;0;7;13;9;2;2;1;0;1;0;4;5;3;3;0;0;0;0;0
;"Verzekeringsgeneeskunde en
medische expertise";4.0;2;2;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Brussels Hoofdstedelijk
Gewest";Alle specialiteiten;1455.0;818;637;41;533;215;17;6;4;1;1;0;27;375;198;24;6;4;1;1;1;0
;Geriatrie;34.0;29;5;0;14;13;1;1;0;0;0;0;0;1;3;1;0;0;0;0;0;0
;Urgentiegeneeskunde;130.0;80;50;1;45;26;6;2;0;0;0;0;1;22;20;5;0;2;0;0;0;0
;Gerechtelijke geneeskunde;2.0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Anesthesie-reanimatie;117.0;41;76;0;27;14;0;0;0;0;0;0;6;48;21;1;0;0;0;0;0;0
;Heelkunde;80.0;42;38;3;28;11;0;0;0;0;0;0;1;24;12;1;0;0;0;0;0;0
;Neurochirurgie;14.0;5;9;0;3;2;0;0;0;0;0;0;0;3;5;1;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";13.0;5;8;0;3;2;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0
;Urologie;34.0;17;17;1;12;4;0;0;0;0;0;0;0;10;7;0;0;0;0;0;0;0
;Orthopedische heelkunde;63.0;15;48;1;5;8;1;0;0;0;0;0;1;30;15;2;0;0;0;0;0;0
;Neurologie;54.0;37;17;2;29;6;0;0;0;0;0;0;0;13;4;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";30.0;26;4;2;16;7;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";85.0;44;41;0;33;11;0;0;0;0;0;0;1;27;11;1;1;0;0;0;0;0
;Pneumologie;19.0;11;8;0;7;4;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0
;Gastro-enterologie;28.0;17;11;0;6;10;1;0;0;0;0;0;0;5;6;0;0;0;0;0;0;0
;Cardiologie;48.0;24;24;0;7;17;0;0;0;0;0;0;0;12;11;1;0;0;0;0;0;0
;Inwendige geneeskunde;178.0;95;83;15;71;9;0;0;0;0;0;0;9;56;16;2;0;0;0;0;0;0
;Reumatologie;12.0;9;3;0;0;9;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
;Acute geneeskunde;1.0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;Gynaecologie-verloskunde;75.0;64;11;5;45;13;1;0;0;0;0;0;0;5;6;0;0;0;0;0;0;0
;Oftalmologie;41.0;12;29;1;9;2;0;0;0;0;0;0;3;19;6;1;0;0;0;0;0;0
;Otorhinolaryngologie;31.0;16;15;0;14;2;0;0;0;0;0;0;2;11;2;0;0;0;0;0;0;0
;Stomatologie;15.0;5;10;1;2;2;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0
;Dermato-venereologie;36.0;29;7;2;23;4;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0
;Pediatrie;105.0;89;16;7;65;16;1;0;0;0;0;0;1;13;2;0;0;0;0;0;0;0
;Fysische geneeskunde en revalidatie;21.0;10;11;0;8;2;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0
;Klinische biologie;17.0;8;9;0;7;1;0;0;0;0;0;0;0;5;3;1;0;0;0;0;0;0
;Röntgendiagnose;81.0;39;42;0;33;4;2;0;0;0;0;0;2;23;15;2;0;0;0;0;0;0
;Radiotherapie-oncologie;10.0;5;5;0;4;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0
;Nucleaire geneeskunde;16.0;5;11;0;4;0;1;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0
;Pathologische anatomie;12.0;9;3;0;6;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;Medische oncologie;16.0;9;7;0;3;6;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0
;Klinische genetica;7.0;5;2;0;2;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;Arbeidsgeneeskunde;26.0;13;13;0;1;3;1;2;4;1;1;0;0;2;0;3;4;2;1;0;1;0
;"Verzekeringsgeneeskunde en
medische expertise";4.0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
Vlaams Brabant;Alle specialiteiten;1000.0;586;414;38;405;117;10;9;6;0;1;0;21;266;111;9;3;0;4;0;0;0
;Geriatrie;22.0;13;9;0;7;6;0;0;0;0;0;0;0;6;2;1;0;0;0;0;0;0
;Urgentiegeneeskunde;65.0;39;26;2;23;13;1;0;0;0;0;0;1;15;7;1;1;0;1;0;0;0
;Gerechtelijke geneeskunde;1.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Anesthesie-reanimatie;98.0;41;57;1;28;9;2;1;0;0;0;0;1;38;18;0;0;0;0;0;0;0
;Heelkunde;42.0;21;21;1;10;9;0;1;0;0;0;0;0;15;6;0;0;0;0;0;0;0
;Neurochirurgie;11.0;3;8;0;2;1;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";11.0;6;5;0;5;1;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0
;Urologie;20.0;11;9;1;7;3;0;0;0;0;0;0;0;5;3;1;0;0;0;0;0;0
;Orthopedische heelkunde;39.0;11;28;1;8;2;0;0;0;0;0;0;2;16;9;1;0;0;0;0;0;0
;Neurologie;29.0;17;12;2;9;6;0;0;0;0;0;0;2;9;1;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";30.0;23;7;0;15;7;0;1;0;0;0;0;1;5;1;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";61.0;35;26;2;25;4;2;2;0;0;0;0;1;16;8;0;1;0;0;0;0;0
;Pneumologie;16.0;9;7;0;6;3;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0
;Gastro-enterologie;21.0;13;8;0;7;5;0;0;1;0;0;0;0;3;5;0;0;0;0;0;0;0
;Cardiologie;25.0;12;13;0;7;5;0;0;0;0;0;0;0;5;7;1;0;0;0;0;0;0
;Inwendige geneeskunde;129.0;80;49;10;65;5;0;0;0;0;0;0;4;37;8;0;0;0;0;0;0;0
;Reumatologie;7.0;3;4;0;1;2;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0
;Gynaecologie-verloskunde;51.0;43;8;4;29;8;1;1;0;0;0;0;0;3;4;0;1;0;0;0;0;0
;Oftalmologie;27.0;16;11;1;15;0;0;0;0;0;0;0;1;9;1;0;0;0;0;0;0;0
;Otorhinolaryngologie;26.0;19;7;3;16;0;0;0;0;0;0;0;1;4;1;1;0;0;0;0;0;0
;Stomatologie;17.0;10;7;0;8;2;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0
;Dermato-venereologie;28.0;24;4;0;23;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
;Pediatrie;78.0;67;11;7;46;13;1;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0
;Fysische geneeskunde en revalidatie;22.0;13;9;1;11;1;0;0;0;0;0;0;1;5;3;0;0;0;0;0;0;0
;Klinische biologie;14.0;3;11;0;1;1;0;1;0;0;0;0;2;7;2;0;0;0;0;0;0;0
;Röntgendiagnose;44.0;12;32;0;7;3;0;1;1;0;0;0;2;22;7;1;0;0;0;0;0;0
;Radiotherapie-oncologie;13.0;4;9;1;2;1;0;0;0;0;0;0;1;5;2;1;0;0;0;0;0;0
;Nucleaire geneeskunde;3.0;2;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Pathologische anatomie;18.0;12;6;0;11;0;0;1;0;0;0;0;0;5;1;0;0;0;0;0;0;0
;Medische oncologie;11.0;9;2;0;6;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;Klinische genetica;8.0;5;3;0;1;3;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0
;Arbeidsgeneeskunde;12.0;8;4;0;2;0;2;0;3;0;1;0;0;1;0;0;0;0;3;0;0;0
;"Verzekeringsgeneeskunde en
medische expertise";1.0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Alle specialiteiten;416.0;221;195;39;152;25;4;0;0;1;0;0;28;139;23;1;2;1;1;0;0;0
;Geriatrie;3.0;2;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;28.0;19;9;5;11;3;0;0;0;0;0;0;0;7;1;0;1;0;0;0;0;0
;Anesthesie-reanimatie;33.0;11;22;1;8;2;0;0;0;0;0;0;5;16;1;0;0;0;0;0;0;0
;Heelkunde;23.0;7;16;0;6;1;0;0;0;0;0;0;2;10;4;0;0;0;0;0;0;0
;Neurochirurgie;4.0;3;1;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";7.0;2;5;0;2;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0
;Urologie;15.0;7;8;1;6;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0
;Orthopedische heelkunde;27.0;9;18;0;6;3;0;0;0;0;0;0;2;10;6;0;0;0;0;0;0;0
;Neurologie;12.0;8;4;1;6;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";8.0;7;1;1;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";29.0;14;15;2;11;0;1;0;0;0;0;0;1;12;2;0;0;0;0;0;0;0
;Pneumologie;5.0;4;1;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Gastro-enterologie;10.0;8;2;0;5;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;Cardiologie;6.0;1;5;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0
;Inwendige geneeskunde;68.0;36;32;8;25;3;0;0;0;0;0;0;8;22;2;0;0;0;0;0;0;0
;Reumatologie;3.0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Gynaecologie-verloskunde;12.0;10;2;1;7;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;Oftalmologie;14.0;8;6;3;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
;Otorhinolaryngologie;15.0;9;6;2;7;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0
;Stomatologie;4.0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
;Dermato-venereologie;9.0;9;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Pediatrie;22.0;21;1;5;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Fysische geneeskunde en revalidatie;13.0;6;7;1;5;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0
;Klinische biologie;6.0;3;3;0;1;1;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
;Röntgendiagnose;20.0;3;17;2;1;0;0;0;0;0;0;0;2;14;0;0;1;0;0;0;0;0
;Radiotherapie-oncologie;2.0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;Nucleaire geneeskunde;5.0;3;2;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
