Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Homme;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
Belgique;Toutes les spécialités;10295.0;5224;5071;24;531;655;448;334;515;475;571;710;961;16;238;411;242;247;250;241;534;996;1896
;Dentisterie générale;9512.0;4719;4793;24;506;578;395;290;459;412;500;661;894;16;226;365;215;219;228;224;500;955;1845
;Parodontologie;214.0;120;94;0;8;24;18;13;18;19;13;3;4;0;9;18;14;12;8;8;10;9;6
;Orthodontie;569.0;385;184;0;17;53;35;31;38;44;58;46;63;0;3;28;13;16;14;9;24;32;45
Région flamande;Toutes les spécialités;5964.0;3055;2909;13;272;369;263;192;333;290;363;421;539;8;111;198;127;113;149;110;284;611;1198
;Dentisterie générale;5472.0;2729;2743;13;258;317;227;168;295;254;316;385;496;8;103;172;112;98;139;95;268;581;1167
;Parodontologie;152.0;89;63;0;4;18;11;7;16;16;10;3;4;0;7;14;11;5;5;7;3;7;4
;Orthodontie;340.0;237;103;0;10;34;25;17;22;20;37;33;39;0;1;12;4;10;5;8;13;23;27
Région wallonne;Toutes les spécialités;3001.0;1515;1486;9;166;163;132;92;138;137;144;228;306;6;68;101;52;86;70;85;180;291;547
;Dentisterie générale;2801.0;1384;1417;9;156;153;118;75;127;114;130;218;284;6;65;93;46;79;66;83;166;282;531
;Parodontologie;42.0;21;21;0;3;2;5;4;2;3;2;0;0;0;2;3;2;5;1;1;5;1;1
;Orthodontie;158.0;110;48;0;7;8;9;13;9;20;12;10;22;0;1;5;4;2;3;1;9;8;15
Région de Bruxelles Capitale;Toutes les spécialités;1330.0;654;676;2;93;123;53;50;44;48;64;61;116;2;59;112;63;48;31;46;70;94;151
;Dentisterie générale;1239.0;606;633;2;92;108;50;47;37;44;54;58;114;2;58;100;57;42;23;46;66;92;147
;Parodontologie;20.0;10;10;0;1;4;2;2;0;0;1;0;0;0;0;1;1;2;2;0;2;1;1
;Orthodontie;71.0;38;33;0;0;11;1;1;7;4;9;3;2;0;1;11;5;4;6;0;2;1;3
Brabant flamand;Toutes les spécialités;1362.0;763;599;1;57;69;66;54;95;85;97;110;129;1;35;33;40;19;43;35;67;124;202
;Dentisterie générale;1231.0;676;555;1;55;61;56;47;85;71;86;99;115;1;32;31;35;15;39;29;63;116;194
;Parodontologie;42.0;22;20;0;1;2;4;0;5;6;1;1;2;0;3;2;4;2;1;4;1;2;1
;Orthodontie;89.0;65;24;0;1;6;6;7;5;8;10;10;12;0;0;0;1;2;3;2;3;6;7
Flandre occidentale;Toutes les spécialités;1067.0;507;560;1;52;61;45;37;60;41;44;77;89;0;14;27;11;20;16;18;34;122;298
